date,ticker,cap,setup_type,score,grade,recommendation,pct_from_9ema,prior_day_range_atr,rvol_score,consecutive_up_days,gap_pct,pct_change_3,pct_change_15,pct_change_30,pct_from_50mav,current_price,atr_pct,proper_setup?,alternate_setup?
10/25/2021,DWACW,Medium,3DGapFade,5,A+,GO,2.6749,9.04,5.76,5,0.4893,56.0588,59.625,,,29.1,0.2019,N,
10/22/2021,DWACW,Medium,3DGapFade,5,A+,GO,3.3038,11.14,15.01,4,3.0195,24.0889,21.58,,,11.29,0.0909,N,
10/25/2021,DWACU,Medium,3DGapFade,5,A+,GO,2.0131,8.75,2.69,2,0.3116,9.7021,9.7232,9.8514,,108.84,0.0935,N,
1/28/2021,KOSS,Medium,3DGapFade,5,A+,GO,2.7037,10.42,5.76,3,0.2759,8.6667,18.0164,22.6735,13.4838,58,0.092,Y,
10/25/2021,DWAC,Medium,3DGapFade,5,A+,GO,1.8985,8.7,3.58,2,0.2772,8.4578,8.496,,,94.2,0.1306,N,RightSidePopFade
10/25/2021,PHUN,Medium,3DGapFade,5,A+,GO,2.3305,10.73,16.65,3,0.3638,7.3238,8.9205,7.4038,6.6269,437,0.1976,N,RightSidePopFade
3/9/2021,EYES,Large,3DGapFade,5,A+,GO,1.6469,4.2,5.93,2,0.5922,7.2308,3.8238,4.6316,3.9593,11.77,0.123,Y,
7/22/2021,NURO,Medium,3DGapFade,5,A+,GO,1.6362,8.13,4.79,3,0.8548,5.3804,5.0997,5.0997,4.5479,166.4,0.1355,Y,
2/4/2021,SAVA,Medium,3DGapFade,5,A+,GO,1.3255,3.46,5.19,4,0.1458,2.8256,6.6812,10.2323,6.1946,62.82,0.1003,Y,
1/6/2021,CHEK,Medium,3DGapFade,5,A+,GO,1.0941,5.38,7.61,4,0.052,2.7609,4.0882,3.876,3.4718,34.6,0.1353,N,
1/29/2021,NAKD,Medium,3DGapFade,5,A+,GO,0.8129,7.27,3.15,2,0.6187,2.5486,3.0882,8.4429,3.5957,20.85,0.2275,N,
1/5/2021,CHEK,Small,3DGapFade,5,A+,GO,1.416,7.58,15.62,3,0.6552,2.3643,3.2647,3.7744,3.0384,29,0.0894,Y,
4/6/2021,ACY,Medium,3DGapFade,5,A+,GO,0.4506,3.36,4.73,2,0.177,2.231,0.2946,-0.1074,0.2089,11.47,0.2066,N,
7/21/2021,NURO,Medium,3DGapFade,5,A+,GO,1.1532,10.4,19.9,2,0.7341,2.1084,1.8686,1.997,1.9592,80.32,0.078,N,IntradayCapitch
10/21/2021,HX,Medium,3DGapFade,5,A+,GO,1.3122,6.32,12.11,8,0.1648,1.8291,7.4241,9.6011,5.9307,18.87,0.0916,Y,
2/5/2021,LIZI,Medium,3DGapFade,5,A+,GO,1.142,4.22,7.66,4,0.1215,1.8081,2.6964,3.0028,2.7112,144.9,0.0902,Y,
2/3/2021,SAVA,Medium,3DGapFade,5,A+,GO,1.1924,6.33,9.62,3,0.1317,1.7972,5.7775,5.8955,4.2229,39.6,0.1209,N,
11/30/2021,ADGI,Medium,3DGapFade,5,A+,GO,0.7948,5.01,12.19,3,0.0506,1.5003,1.4378,0.3929,0.5137,46.83,0.0856,Y,
6/9/2021,CLOV,Medium,3DGapFade,5,A+,GO,0.9147,5,12.81,6,0.2641,1.4611,2.1779,1.3972,1.608,22.15,0.0778,Y,
2/26/2021,GME,Medium,3DGapFade,5,A+,GO,0.5583,4.16,3.56,2,0.0803,1.4178,1.0323,2.4627,0.8147,27.18,0.1849,N,
2/11/2021,KALV,Medium,3DGapFade,5,A+,GO,0.6498,1.77,2.11,4,0.0918,1.3997,1.3515,1.3951,1.0895,37.46,0.0932,N,
1/20/2021,SENS,Medium,3DGapFade,5,A+,GO,1.0108,5.4,8.23,5,0.1684,1.375,2,5.6279,3.5857,57,0.0961,Y,
2/4/2021,LIZI,Medium,3DGapFade,5,A+,GO,0.7587,5.28,11.35,3,0.2835,1.3288,1.1795,1.3876,1.32,85,0.0919,N,
8/11/2021,FULC,Medium,3DGapFade,5,A+,GO,0.8605,6.3,19.3,5,0.26,1.3173,1.0672,0.9737,1.0815,18.77,0.0847,N,
2/11/2021,SNDL,Medium,3DGapFade,5,A+,GO,0.9295,3.32,3.34,3,0.3424,1.3047,3.4616,5.3853,3.0352,29.5,0.1135,Y,
1/27/2021,GME,Large,3DGapFade,5,A+,GO,1.1923,3.57,3.27,4,1.3978,1.2763,7.5193,10.118,5.3287,36.99,0.1323,Y,
7/1/2021,CUEN,Medium,3DGapFade,5,A+,GO,0.9128,4.84,19.52,7,0.1254,1.2701,1.2618,1.5492,1.341,80.86,0.1146,N,
12/10/2021,ISIG,Medium,3DGapFade,5,A+,GO,0.8367,4.89,3.2,2,0.1596,1.264,3.6443,2.2639,2.1946,23.5,0.1626,N,RightSidePopFade
1/7/2021,NCTY,Medium,3DGapFade,5,A+,GO,1.1637,4.24,6.82,5,0.4574,1.2492,4.243,2.6765,3.5228,148.9,0.0999,Y,
6/28/2021,MRIN,Medium,3DGapFade,5,A+,GO,0.6056,4.31,5,4,0.4199,1.2281,1.3091,1.7021,1.2908,22.86,0.0939,N,
2/10/2021,KALV,Medium,3DGapFade,5,A+,GO,0.7615,5.66,18.46,3,0.1012,1.2025,1.0628,0.9964,0.9069,33.5,0.0921,N,
6/29/2021,MRIN,Medium,3DGapFade,5,A+,GO,1.207,4.14,10.16,5,0.244,1.1368,3.7468,3.9669,3.2069,45,0.0821,N,
11/26/2021,BFRI,Medium,3DGapFade,5,A+,GO,0.5822,3.8,16.7,2,0.3793,1.1134,0.4663,,,104.4,0.1316,N,
1/4/2021,BTBT,Medium,3DGapFade,5,A+,GO,0.8769,4.31,6.87,4,0.173,1.0748,2.701,2.8848,2.5971,21.91,0.1118,Y,
10/5/2021,XENE,Medium,3DGapFade,5,A+,GO,0.6724,3.2,18.33,3,0.0216,1.0615,0.7908,0.893,0.8173,31.5,0.0707,N,
3/22/2021,UPST,Medium,3DGapFade,5,A+,GO,0.5376,1.71,2.97,3,0.0212,1.0609,0.8797,0.6651,0.8011,125.28,0.1039,N,
10/1/2021,PALT,Medium,3DGapFade,5,A+,GO,0.7512,2.94,7.29,2,0.1788,1.0172,2.02,2.0461,,10.57,0.1491,N,
4/27/2021,MVIS,Medium,3DGapFade,5,A+,GO,0.65,3.2,6.97,4,0.045,1.0122,0.7258,0.4833,0.7038,26.44,0.0952,Y,
2/2/2021,NVAX,Medium,3DGapFade,5,A+,GO,0.5653,1.99,2.45,4,0.0044,1.0021,1.3034,1.0364,1.142,268.3,0.0701,Y,
11/30/2021,ISPC,Medium,3DGapFade,5,A+,GO,0.6987,4.04,4.05,2,0.118,1.002,2.539,1.9941,1.9446,408.4,0.1943,N,
1/8/2021,NCTY,Medium,3DGapFade,5,A+,GO,0.9159,4.89,3.89,6,0.0023,0.9977,4.8163,3.4358,3.7614,171,0.1401,N,
12/30/2021,ISIG,Medium,3DGapFade,5,A+,GO,0.4225,1.23,1.83,2,0.3082,0.9965,0.2057,3.3761,1.3991,23.04,0.2859,N,
2/26/2021,CDXC,Medium,3DGapFade,5,A+,GO,0.8314,7.76,17.56,2,0.0859,0.9644,2.7706,3.0828,2.2755,18.74,0.094,N,
2/11/2021,GSAT,Medium,3DGapFade,5,A+,GO,0.5724,2.88,4.05,6,0.0292,0.9512,0.9355,5.7606,2.4004,36,0.1042,N,RightSidePopFade
6/15/2021,NOVN,Medium,3DGapFade,5,A+,GO,0.5188,2.66,5.59,6,0.0121,0.9192,0.2393,0.3555,0.4667,17.35,0.1235,N,
1/27/2021,PBI,Medium,3DGapFade,5,A+,GO,0.6051,7.12,8.36,3,0.0448,0.8957,0.9956,1.3581,1.1504,13.63,0.0735,Y,
7/6/2021,MRIN,Medium,3DGapFade,5,A+,GO,0.8433,2.03,1.89,2,0.3386,0.891,11.297,12.0903,5.9278,121.74,0.1632,Y,
8/30/2021,SPRT,Medium,3DGapFade,5,A+,GO,0.7569,6.89,5.38,7,0.3973,0.8861,2.3887,4.9977,2.8325,26.33,0.184,N,
2/10/2021,OGI,Medium,3DGapFade,5,A+,GO,0.5955,4.03,4.96,2,0.3501,0.8675,1.4278,2.1214,1.5788,17.48,0.0894,N,
6/22/2021,TRCH,Large,3DGapFade,5,A+,GO,0.737,2.77,7.28,2,0.0141,0.837,2.7434,3.9353,2.7624,19.84,0.1021,N,
1/25/2021,POLA,Medium,3DGapFade,5,A+,GO,0.7258,3.06,3.54,2,0.0271,0.821,3.9424,5.0051,2.939,165.2,0.1136,N,
2/11/2021,OGI,Medium,3DGapFade,5,A+,GO,0.7693,3.01,4.51,3,0.075,0.8182,2.4483,3.4118,2.3557,24,0.0869,Y,
1/26/2021,GME,Large,3DGapFade,5,A+,GO,0.6208,6.81,3.89,3,0.1533,0.7846,3.4516,4.4384,2.7173,19.2,0.1876,N,
1/26/2021,ATOS,Medium,3DGapFade,5,A+,GO,0.7063,3.52,4.31,5,0.1275,0.7844,2.1368,2.3737,1.342,44.7,0.0945,N,2DGapFade
2/10/2021,GSAT,Medium,3DGapFade,5,A+,GO,0.5903,5.08,4.23,5,0.399,0.7778,0.5182,4.6216,2.1321,31.2,0.0965,N,
2/11/2021,ITRM,Medium,3DGapFade,5,A+,GO,0.4878,2.09,3.5,4,0.0769,0.7727,0.4,1.8384,1.2754,40.95,0.1224,N,
2/10/2021,VERU,Medium,3DGapFade,5,A+,GO,0.5081,4.36,6.48,2,0.1619,0.7687,1.1579,1.1269,1.2894,192.7,0.1182,Y,
2/2/2021,DVAX,Medium,3DGapFade,5,A+,GO,0.5297,5.54,12.47,2,0.0088,0.7407,1.0874,1.0832,1.0047,10.27,0.0814,N,
4/12/2021,RICE,Medium,3DGapFade,5,A+,GO,0.3979,3.9,3.25,2,0.0145,0.7129,0.6845,0.5842,0.5606,17.3,0.0471,N,
6/30/2021,NTLA,Medium,3DGapFade,5,A+,GO,0.4468,2.33,2.71,5,0.0214,0.7067,0.885,1.2847,0.9634,151.61,0.0688,N,IntradayCapitch
9/14/2021,ISEE,Medium,3DGapFade,5,A+,GO,0.3116,1.71,1.95,2,0.0041,0.702,0.4644,0.7118,0.5441,14.79,0.0828,N,
8/27/2021,SPRT,Medium,3DGapFade,5,A+,GO,0.6213,2.74,4.63,6,0.9614,0.6881,1.763,3.9373,2.066,19.7,0.1049,N,IntradayCapitch
2/1/2021,NVAX,Medium,3DGapFade,5,A+,GO,0.5011,4.1,7.07,3,0.0977,0.6843,0.8131,0.8278,0.8147,220.94,0.0701,N,
6/7/2021,LEDS,Medium,3DGapFade,5,A+,GO,0.5281,3,3.54,2,0.2758,0.6735,1.4463,4.6319,2.0941,20.5,0.1739,,
2/17/2021,CCIV,Medium,3DGapFade,5,A+,GO,0.4435,3.07,1.73,2,0.0374,0.673,1.1563,4.249,1.9404,52.7,0.1141,N,
2/10/2021,HTBX,Medium,3DGapFade,5,A+,GO,0.4657,4.02,13.52,2,0.0231,0.6631,0.7712,1.2393,0.8526,12.54,0.1089,,
1/25/2021,GME,Large,3DGapFade,5,A+,GO,0.6242,4.57,5.13,2,0.4879,0.6618,2.4506,3.7592,2.3608,16.25,0.116,,
6/14/2021,NOVN,Medium,3DGapFade,5,A+,GO,0.4766,2.73,17.25,5,0.0493,0.6569,0.1292,0.0715,0.2432,14.68,0.1269,,
2/10/2021,TLRY,Medium,3DGapFade,5,A+,GO,0.5255,2.86,2.88,2,0.5544,0.6466,1.2539,4.0597,2.0532,423.5,0.0927,,
1/8/2021,MARA,Medium,3DGapFade,5,A+,GO,0.5522,2.01,2.46,4,0.1208,0.6453,1.7169,3.554,2.5182,22.36,0.1294,,
6/16/2021,TRCH,Medium,3DGapFade,5,A+,GO,0.4633,4.15,13.36,3,0.146,0.625,1.214,1.535,1.2703,10.14,0.087,,
5/28/2021,AMC,Medium,3DGapFade,5,A+,GO,0.5659,4.73,5.02,4,0.1995,0.6161,1.7886,1.8424,1.3493,265.2,0.0913,Y,
11/8/2021,SAVA,Medium,3DGapFade,5,A+,GO,0.4247,1.28,2.06,2,0.0242,0.6045,0.8124,0.3266,0.7034,64.94,0.0984,,
6/8/2021,LEDS,Medium,3DGapFade,5,A+,GO,0.5541,1.92,1.53,3,0.0785,0.6026,1.8205,5.4191,2.4495,24.2,0.1739,,
8/6/2021,BTBT,Large,3DGapFade,5,A+,GO,0.5128,2.26,1.66,2,0.0051,0.582,2.4617,1.3507,1.1445,15.82,0.1315,N,
2/16/2021,CAN,Medium,3DGapFade,5,A+,GO,0.5344,3.18,2.31,10,0.1956,0.5768,1.4885,1.199,1.5102,13.04,0.089,N,
1/14/2021,GME,Large,3DGapFade,5,A+,GO,0.4759,6.35,8.4,3,0.2131,0.5747,0.6136,0.9873,1.0303,7.85,0.0934,,
11/18/2021,IONQ,Medium,3DGapFade,5,A+,GO,0.383,2.44,2.32,2,0.0884,0.5641,1.2744,3.0629,,31,0.1029,,
1/29/2021,CTRM,Medium,3DGapFade,5,A+,GO,0.3948,3.96,2.11,3,0.1969,0.5621,1.5502,2.7983,1.6571,61,0.1656,,
1/12/2021,ACST,Medium,3DGapFade,5,A+,GO,0.4456,2,2.26,3,0.0144,0.5608,1.7132,1.7701,1.4332,33.6,0.1558,N,
2/2/2021,INO,Medium,3DGapFade,5,A+,GO,0.4045,3.29,4.93,2,0.1185,0.5489,0.8668,0.5821,0.5997,203.52,0.0878,,
