date,ticker,cap,setup_type,score,grade,recommendation,pct_from_9ema,prior_day_range_atr,rvol_score,consecutive_up_days,gap_pct,pct_change_3,pct_change_15,pct_change_30,pct_from_50mav,current_price,atr_pct,proper_setup?,alternate_setup?,notes
1/28/2021,KOSS,Medium,3DGapFade,5,A+,GO,2.703675348,10.42456254,5.759706989,3,0.275862069,8.666666667,18.01639344,22.67346939,13.4837854,58.0,0.091957882,Y,,
10/25/2021,DWAC,Medium,3DGapFade,5,A+,GO,1.898541548,8.703505482,3.576082977,2,0.277176221,8.457831325,8.495967742,,,94.2,0.130557249,N,RightSidePopFade,
10/25/2021,PHUN,Medium,3DGapFade,5,A+,GO,2.330523571,10.72582046,16.64606245,3,0.363844394,7.323809524,8.920544835,7.403846154,6.626873122,437.0,0.197576005,N,RightSidePopFade,
3/9/2021,EYES,Large,3DGapFade,5,A+,GO,1.646852096,4.199744423,5.925783725,2,0.592183517,7.230769231,3.823770492,4.631578947,3.959339317,11.77,0.122999757,Y,,
7/22/2021,NURO,Medium,3DGapFade,5,A+,GO,1.63615575,8.133242423,4.787652081,3,0.854807692,5.380368098,5.099706745,5.099706745,4.547850208,166.4,0.13548386,Y,,
7/1/2021,S,Medium,3DGapFade,4,A,GO,1.809762985,1.601422732,0.798386369,3,0.041882353,4.035545024,4.498059508,,,42.5,0.079194286,N,,
6/1/2021,VTNR,Small,3DGapFade,4,A,GO,1.350013263,3.937048134,8.583609104,3,0.216389245,3.387640449,4.785185185,5.1015625,3.711915535,7.81,0.089435705,Y,,not A+
7/12/2021,SGOC,Small,3DGapFade,4,A,GO,1.471662367,10.09473295,18.51664811,2,0.737487232,3.045454545,3.846534653,4.5625,3.578660356,9.79,0.165895228,N,IntradayCapitch,
2/4/2021,SAVA,Medium,3DGapFade,5,A+,GO,1.325476014,3.455974818,5.187302468,4,0.1457879,2.825581254,6.68119238,10.23234816,6.194624102,62.8214,0.100344446,Y,,
1/6/2021,CHEK,Medium,3DGapFade,5,A+,GO,1.094078439,5.383136501,7.605985915,4,0.052023121,2.760869565,4.088235294,3.875986471,3.471797947,34.6,0.135297275,N,,
7/29/2021,NTEC,Small,3DGapFade,0,F,NO-GO,0.704383942,0.787512147,0.792979173,2,0.098360656,2.560311284,1.990196078,1.304785894,1.367922951,9.15,0.106845433,N,,
1/5/2021,CHEK,Small,3DGapFade,5,A+,GO,1.415966725,7.579488903,15.62465569,3,0.655172414,2.364269142,3.264705882,3.774448469,3.038446006,29.0,0.089433744,Y,,
9/27/2021,APOP,Medium,3DGapFade,4,A,GO,1.205052887,2.288288968,0.043077462,2,0.406118143,2.291666667,1.834080717,3.861538462,2.71866787,18.96,0.089925407,N,,
7/21/2021,NURO,Medium,3DGapFade,5,A+,GO,1.153191103,10.3950597,19.89959479,2,0.734063745,2.108359133,1.868571429,1.997014925,1.959207734,80.32,0.077994451,N,IntradayCapitch,
2/9/2021,BSQR,Small,3DGapFade,4,A,GO,1.054081792,3.57185703,6.485166224,6,0.092267135,1.994736842,2.010582011,3.214814815,2.46465323,5.69,0.156958323,N,IntradayCapitch,
1/27/2021,KOSS,Small,3DGapFade,3,B,CAUTION,0.970385164,4.812273554,11.00984595,2,0.752,1.994011976,2.215434084,3.209462873,2.462989987,10.0,0.107641429,N,IntradayCapitch,
10/21/2021,HX,Medium,3DGapFade,5,A+,GO,1.312201538,6.319966928,12.10508575,8,0.164811871,1.829085457,7.424107143,9.601123596,5.930661068,18.87,0.091566356,Y,,
2/5/2021,LIZI,Medium,3DGapFade,5,A+,GO,1.142038021,4.217005784,7.656288898,4,0.121463078,1.808139535,2.696428571,3.002762431,2.711197623,144.9,0.090173519,Y,,
2/3/2021,SAVA,Medium,3DGapFade,5,A+,GO,1.192365372,6.33337661,9.619200685,3,0.131674242,1.797183039,5.7774564,5.895470929,4.222896333,39.6,0.120869589,N,,
2/10/2021,BSQR,Small,3DGapFade,3,B,CAUTION,1.156015804,4.306905767,4.049313221,7,0.207369048,1.63322884,3.565217391,4.874125874,3.717246027,8.4,0.153684524,Y,,
3/12/2021,ENTX,Small,3DGapFade,4,A,GO,0.961345508,6.448184234,19.6245876,5,0.542079208,1.573248408,1.137566138,1.90647482,1.538957921,4.04,0.149708274,N,,
11/30/2021,ADGI,Medium,3DGapFade,5,A+,GO,0.794751047,5.01110713,12.19269898,3,0.050608584,1.500266951,1.437792816,0.39292088,0.513721434,46.83,0.085566487,Y,,
6/9/2021,CLOV,Medium,3DGapFade,5,A+,GO,0.9146633,4.99834135,12.80755373,6,0.264108352,1.461111111,2.177905308,1.397186147,1.608030142,22.15,0.077768462,Y,,
2/26/2021,GME,Medium,3DGapFade,5,A+,GO,0.558264061,4.162740291,3.560467988,2,0.080290628,1.417834112,1.032336449,2.462738854,0.814743603,27.1825,0.184881292,N,,
2/11/2021,KALV,Medium,3DGapFade,5,A+,GO,0.649767518,1.772278746,2.107525447,4,0.091831287,1.399743754,1.351537979,1.395140665,1.089515607,37.46,0.093237549,N,,
1/20/2021,SENS,Medium,3DGapFade,5,A+,GO,1.010766131,5.404418477,8.231908166,5,0.168421053,1.375,2.0,5.627906977,3.585738835,57.0,0.096087719,Y,,hesitate to say A+ but counts
1/14/2021,CPSH,Small,3DGapFade,2,F,NO-GO,0.66424111,3.552520284,10.3141375,2,0.134048257,1.33125,1.762962963,2.469767442,2.050251462,7.46,0.122255841,N,IntradayCapitch,
2/4/2021,LIZI,Medium,3DGapFade,5,A+,GO,0.758657465,5.275963632,11.3503296,3,0.283529412,1.328767123,1.179487179,1.387640449,1.319995633,85.0,0.091870588,N,,
8/11/2021,FULC,Medium,3DGapFade,5,A+,GO,0.860461901,6.299673068,19.29665376,5,0.259989345,1.317283951,1.067180617,0.973711882,1.081485096,18.77,0.084738565,N,,
2/11/2021,SNDL,Medium,3DGapFade,5,A+,GO,0.929487263,3.316544306,3.33763783,3,0.342372881,1.3046875,3.461584997,5.385281385,3.035236506,29.5,0.113452785,Y,,
5/28/2021,VTNR,Small,3DGapFade,3,B,CAUTION,0.812209764,4.223884145,16.60732934,2,0.523809524,1.286532951,1.891304348,2.093023256,1.607331896,3.99,0.097903688,N,2DGapFade,
1/27/2021,GME,Large,3DGapFade,5,A+,GO,1.192341433,3.565897583,3.269157654,4,1.39782403,1.27626519,7.519286126,10.11795642,5.328745798,36.995,0.132276756,Y,,
7/20/2021,AEHR,Small,3DGapFade,2,F,NO-GO,0.781761235,5.211533916,12.40451181,2,0.114241002,1.274021352,1.402255639,1.332116788,1.470138003,6.39,0.075671809,Y,,
7/1/2021,CUEN,Medium,3DGapFade,5,A+,GO,0.912778724,4.839339926,19.52478073,7,0.125401929,1.270072993,1.261818182,1.549180328,1.341010745,80.86,0.114615296,N,,
