expiration,symbol,strike,right,ask_size,bid_size,ask_exchange,ask_condition,bid_exchange,ask,bid,bid_condition,timestamp,mid,spread,spread_pct,is_primary,exp_date,dte,moneyness,moneyness_label,atm_dist,entry_mid,entry_ask,max_mid,max_bid,raw_return_pct,realistic_return_pct,spread_cost_pct,time_to_max_min,time_to_max_bid_min,volume_during_window,avg_spread_pct_window,delta,theta,vega,rho,implied_vol,return_score,spread_score,volume_score,oi_score,composite_score,rank,trade_date,entry_time,side,net_pnl,news_type,tags,setup_type,underlying_price,hold_window,trade_idx
2026-03-06,USO,97.0,put,44,1,76,50,7,1.29,1.2,50,2026-03-05T15:04:32.841,1.245,0.09000000000000008,0.07228915662650608,True,2026-03-06,1,-0.005943840951014535,ATM,0.5799999999999983,1.245,1.29,2.2,2.07,0.7670682730923695,0.6046511627906975,0.16241711030167194,4.0,4.0,640,0.12471584877000516,-0.4615,-0.9367,2.0614,-0.1328,0.9482,40.0,20.833333333333336,16.666666666666668,7.5,85.0,1,2026-03-05,2026-03-05 15:04:33,-1,26681,,"news,[VPN],[US]",news,97.58,5,7
2026-03-06,USO,96.0,put,188,3,22,50,60,1.04,0.84,50,2026-03-05T15:04:32.999,0.94,0.20000000000000007,0.2127659574468086,True,2026-03-06,1,-0.016191842590694797,ATM,1.5799999999999983,0.94,1.04,1.8,1.55,0.9148936170212768,0.49038461538461536,0.42450900163666144,4.0,4.0,718,0.1376615401272926,,,,,,26.666666666666664,16.666666666666664,20.0,7.5,70.83333333333333,2,2026-03-05,2026-03-05 15:04:33,-1,26681,,"news,[VPN],[US]",news,97.58,5,7
2026-03-06,USO,95.0,put,24,1,1,50,60,0.74,0.62,50,2026-03-05T15:04:32.929,0.6799999999999999,0.12,0.17647058823529413,True,2026-03-06,1,-0.02643984423037506,OTM,2.5799999999999983,0.6799999999999999,0.74,1.21,1.15,0.7794117647058825,0.554054054054054,0.22535771065182852,4.0,4.0,353,0.15131110916260132,-0.3009,-0.7995,1.8076,-0.086,0.9218,33.333333333333336,12.5,13.333333333333332,7.5,66.66666666666667,3,2026-03-05,2026-03-05 15:04:33,-1,26681,,"news,[VPN],[US]",news,97.58,5,7
2026-03-06,USO,100.0,put,19,76,4,50,76,2.81,2.6,50,2026-03-05T15:04:32.981,2.705,0.20999999999999996,0.077634011090573,True,2026-03-06,1,0.024800163968026253,ITM,2.4200000000000017,2.705,2.81,2.705,0.0,0.0,0.0,0.0,0.0,0.0,0,0.077634011090573,,,,,,6.666666666666666,25.0,5.0,7.5,44.166666666666664,4,2026-03-05,2026-03-05 15:04:33,-1,26681,,"news,[VPN],[US]",news,97.58,5,7
2026-03-06,USO,98.0,put,1,2,1,50,7,1.76,1.6,50,2026-03-05T15:04:32.930,1.6800000000000002,0.15999999999999992,0.09523809523809518,True,2026-03-06,1,0.004304160688665727,ATM,0.4200000000000017,1.6800000000000002,1.76,2.64,2.58,0.5714285714285714,0.46590909090909094,0.10551948051948046,4.0,4.0,12,0.15928745986315324,-0.5482,-0.8503,2.0558,-0.1578,0.8644,20.0,4.166666666666666,10.0,7.5,41.666666666666664,5,2026-03-05,2026-03-05 15:04:33,-1,26681,,"news,[VPN],[US]",news,97.58,5,7
2026-03-06,USO,99.0,put,24,22,47,50,47,2.24,2.0,50,2026-03-05T15:04:32.948,2.12,0.2400000000000002,0.11320754716981142,True,2026-03-06,1,0.01455216232834599,ATM,1.4200000000000017,2.12,2.24,0.0,3.2,-1.0,0.4285714285714285,-1.4285714285714284,0.0,4.0,0,0.15227334287203773,,,,,,13.333333333333332,8.333333333333332,5.0,7.5,34.166666666666664,6,2026-03-05,2026-03-05 15:04:33,-1,26681,,"news,[VPN],[US]",news,97.58,5,7
2026-03-06,USO,95.0,put,24,1,1,50,60,0.74,0.62,50,2026-03-05T15:04:32.929,0.6799999999999999,0.12,0.17647058823529413,True,2026-03-06,1,-0.02643984423037506,OTM,2.5799999999999983,0.6799999999999999,0.74,1.26,1.2,0.8529411764705884,0.6216216216216216,0.23131955484896682,7.0,10.0,1226,0.11100649586929011,-0.3009,-0.7995,1.8076,-0.086,0.9218,40.0,16.666666666666664,20.0,7.5,84.16666666666666,1,2026-03-05,2026-03-05 15:04:33,-1,26681,,"news,[VPN],[US]",news,97.58,15,7
2026-03-06,USO,97.0,put,44,1,76,50,7,1.29,1.2,50,2026-03-05T15:04:32.841,1.245,0.09000000000000008,0.07228915662650608,True,2026-03-06,1,-0.005943840951014535,ATM,0.5799999999999983,1.245,1.29,2.2,2.07,0.7670682730923695,0.6046511627906975,0.16241711030167194,4.0,4.0,845,0.10175657079018792,-0.4615,-0.9367,2.0614,-0.1328,0.9482,33.333333333333336,25.0,13.333333333333332,7.5,79.16666666666667,2,2026-03-05,2026-03-05 15:04:33,-1,26681,,"news,[VPN],[US]",news,97.58,15,7
2026-03-06,USO,96.0,put,188,3,22,50,60,1.04,0.84,50,2026-03-05T15:04:32.999,0.94,0.20000000000000007,0.2127659574468086,True,2026-03-06,1,-0.016191842590694797,ATM,1.5799999999999983,0.94,1.04,1.8,1.6,0.9148936170212768,0.5384615384615385,0.37643207855973826,4.0,10.0,1055,0.10454006263626707,,,,,,26.666666666666664,20.833333333333336,16.666666666666668,7.5,71.66666666666667,3,2026-03-05,2026-03-05 15:04:33,-1,26681,,"news,[VPN],[US]",news,97.58,15,7
2026-03-06,USO,98.0,put,1,2,1,50,7,1.76,1.6,50,2026-03-05T15:04:32.930,1.6800000000000002,0.15999999999999992,0.09523809523809518,True,2026-03-06,1,0.004304160688665727,ATM,0.4200000000000017,1.6800000000000002,1.76,2.86,2.63,0.7023809523809521,0.49431818181818177,0.20806277056277034,8.0,10.0,16,0.11495475930158477,-0.5482,-0.8503,2.0558,-0.1578,0.8644,20.0,12.5,6.666666666666666,7.5,46.666666666666664,4,2026-03-05,2026-03-05 15:04:33,-1,26681,,"news,[VPN],[US]",news,97.58,15,7
