expiration,symbol,strike,right,ask_size,bid_size,ask_exchange,ask_condition,bid_exchange,ask,bid,bid_condition,timestamp,mid,spread,spread_pct,is_primary,exp_date,dte,moneyness,moneyness_label,atm_dist,entry_mid,entry_ask,max_mid,max_bid,raw_return_pct,realistic_return_pct,spread_cost_pct,time_to_max_min,time_to_max_bid_min,volume_during_window,avg_spread_pct_window,delta,theta,vega,rho,implied_vol,target_0.5x_hit,target_0.5x_time_min,target_0.5x_option_bid,target_0.5x_option_return,target_1.0x_hit,target_1.0x_time_min,target_1.0x_option_bid,target_1.0x_option_return,target_1.5x_hit,target_1.5x_time_min,target_1.5x_option_bid,target_1.5x_option_return,return_score,spread_score,volume_score,oi_score,composite_score,rank,trade_date,entry_time,side,source,setup_type,trade_grade,cap,atr_pct,entry_offset,underlying_price,hold_window,target_0.5x_level,target_1.0x_level,target_1.5x_level,trade_idx
2026-02-06,FIG,20.0,call,34,10,76,50,22,1.1,0.65,50,2026-02-04T10:00:00.000,0.875,0.45000000000000007,0.5142857142857143,True,2026-02-06,2,0.006436159238329132,ATM,0.12790000000000035,0.875,1.1,1.5,1.4,0.7142857142857143,0.27272727272727254,0.44155844155844176,26.0,27.0,106,0.30180782603045037,0.5094,-0.2021,0.6237,0.0572,1.4515,True,7.0,0.82,-0.25454545454545463,True,29.0,1.2,0.09090909090909079,False,,,,20.0,12.5,10.0,7.5,50.0,1,2026-02-04,2026-02-04 10:00:00,1,bounce,3DGapFade_weakstock,A,Medium,0.059475438,low+0,19.8721,30,20.4630509257399,21.0540018514798,21.6449527772197,2
2026-02-06,FIG,20.0,call,34,10,76,50,22,1.1,0.65,50,2026-02-04T10:00:00.000,0.875,0.45000000000000007,0.5142857142857143,True,2026-02-06,2,0.006436159238329132,ATM,0.12790000000000035,0.875,1.1,1.95,1.75,1.2285714285714284,0.5909090909090908,0.6376623376623376,40.0,41.0,118,0.28706013656825735,0.5094,-0.2021,0.6237,0.0572,1.4515,True,7.0,0.82,-0.25454545454545463,True,29.0,1.2,0.09090909090909079,True,40.0,1.5,0.36363636363636354,20.0,12.5,10.0,7.5,50.0,1,2026-02-04,2026-02-04 10:00:00,1,bounce,3DGapFade_weakstock,A,Medium,0.059475438,low+0,19.8721,60,20.4630509257399,21.0540018514798,21.6449527772197,2
2026-02-06,FIG,20.0,call,34,10,76,50,22,1.1,0.65,50,2026-02-04T10:00:00.000,0.875,0.45000000000000007,0.5142857142857143,True,2026-02-06,2,0.006436159238329132,ATM,0.12790000000000035,0.875,1.1,1.95,1.75,1.2285714285714284,0.5909090909090908,0.6376623376623376,40.0,41.0,118,0.355120633741467,0.5094,-0.2021,0.6237,0.0572,1.4515,True,7.0,0.82,-0.25454545454545463,True,29.0,1.2,0.09090909090909079,True,40.0,1.5,0.36363636363636354,20.0,12.5,10.0,7.5,50.0,1,2026-02-04,2026-02-04 10:00:00,1,bounce,3DGapFade_weakstock,A,Medium,0.059475438,low+0,19.8721,120,20.4630509257399,21.0540018514798,21.6449527772197,2
2026-01-26,SLV,105.0,put,5,5,5,50,46,1.2,1.17,50,2026-01-26T13:04:00.000,1.185,0.030000000000000027,0.025316455696202552,True,2026-01-26,0,-0.013529675376103565,ATM,1.440100000000001,1.185,1.2,3.45,3.15,1.9113924050632911,1.625,0.2863924050632911,30.0,30.0,13947,0.051949409329880146,-0.3593,-7.2031,0.7291,-0.0132,2.416,True,7.0,1.77,0.4750000000000001,True,8.0,1.94,0.6166666666666667,True,8.0,1.94,0.6166666666666667,31.11111111111111,25.0,15.555555555555555,7.5,79.16666666666667,1,2026-01-26,2026-01-26 13:04:00,-1,reversal,3DGapFade,B,ETF,0.03733172,high+0,106.4401,30,104.453303995014,102.466507990028,100.479711985042,5
2026-01-26,SLV,104.0,put,1,20,73,50,46,0.91,0.86,50,2026-01-26T13:04:00.000,0.885,0.050000000000000044,0.056497175141242986,True,2026-01-26,0,-0.022924630848712102,OTM,2.440100000000001,0.885,0.91,2.65,2.42,1.9943502824858756,1.659340659340659,0.33500962314521665,30.0,30.0,16831,0.059285784003465736,-0.2859,-6.6944,0.6631,-0.0104,2.4687,True,7.0,1.32,0.45054945054945056,True,8.0,1.46,0.6043956043956042,True,8.0,1.46,0.6043956043956042,40.0,11.11111111111111,17.77777777777778,7.5,76.38888888888889,2,2026-01-26,2026-01-26 13:04:00,-1,reversal,3DGapFade,B,ETF,0.03733172,high+0,106.4401,30,104.453303995014,102.466507990028,100.479711985042,5
2026-01-26,SLV,105.5,put,4,2,46,50,60,1.39,1.35,50,2026-01-26T13:04:00.000,1.37,0.039999999999999813,0.029197080291970663,True,2026-01-26,0,-0.008832197639799295,ATM,0.940100000000001,1.37,1.39,3.8,3.4,1.773722627737226,1.4460431654676258,0.3276794622696002,30.0,30.0,18950,0.05743944566180192,-0.3998,-7.4059,0.7534,-0.0147,2.4042,True,7.0,2.03,0.46043165467625896,True,8.0,2.22,0.5971223021582737,True,8.0,2.22,0.5971223021582737,22.22222222222222,13.88888888888889,20.0,7.5,63.611111111111114,3,2026-01-26,2026-01-26 13:04:00,-1,reversal,3DGapFade,B,ETF,0.03733172,high+0,106.4401,30,104.453303995014,102.466507990028,100.479711985042,5
2026-01-26,SLV,103.5,put,82,48,69,50,69,0.79,0.72,50,2026-01-26T13:04:00.000,0.755,0.07000000000000006,0.09271523178807956,True,2026-01-26,0,-0.02762210858501637,OTM,2.940100000000001,0.755,0.79,2.31,2.09,2.0596026490066226,1.6455696202531642,0.4140330287534584,30.0,30.0,4631,0.07408659994094365,-0.2524,-6.341,0.6229,-0.0092,2.4892,True,7.0,1.16,0.46835443037974667,True,8.0,1.25,0.5822784810126581,True,8.0,1.25,0.5822784810126581,35.55555555555556,2.7777777777777777,11.11111111111111,7.5,56.94444444444444,4,2026-01-26,2026-01-26 13:04:00,-1,reversal,3DGapFade,B,ETF,0.03733172,high+0,106.4401,30,104.453303995014,102.466507990028,100.479711985042,5
2026-01-26,SLV,104.5,put,74,118,69,50,42,1.06,0.98,50,2026-01-26T13:04:00.000,1.02,0.08000000000000007,0.07843137254901968,True,2026-01-26,0,-0.018227153112407832,ATM,1.940100000000001,1.02,1.06,3.05,2.77,1.9901960784313724,1.6132075471698113,0.37698853126156107,30.0,30.0,6199,0.06436552174002523,-0.3212,-6.9684,0.6986,-0.0118,2.4394,True,7.0,1.51,0.4245283018867924,True,8.0,1.7,0.6037735849056602,True,8.0,1.7,0.6037735849056602,26.666666666666664,8.333333333333332,13.333333333333332,7.5,55.83333333333333,5,2026-01-26,2026-01-26 13:04:00,-1,reversal,3DGapFade,B,ETF,0.03733172,high+0,106.4401,30,104.453303995014,102.466507990028,100.479711985042,5
2026-01-26,SLV,106.0,put,41,1,11,50,60,1.62,1.59,50,2026-01-26T13:04:00.000,1.605,0.030000000000000027,0.018691588785046745,True,2026-01-26,0,-0.004134719903495027,ATM,0.44010000000000105,1.605,1.62,4.03,3.95,1.5109034267912775,1.4382716049382716,0.07263182185300598,30.0,30.0,3164,0.05559075383790089,-0.442,-7.6132,0.7698,-0.0163,2.4189,True,7.0,2.3,0.4197530864197529,True,8.0,2.52,0.5555555555555555,True,8.0,2.52,0.5555555555555555,17.77777777777778,19.444444444444446,8.88888888888889,7.5,53.611111111111114,6,2026-01-26,2026-01-26 13:04:00,-1,reversal,3DGapFade,B,ETF,0.03733172,high+0,106.4401,30,104.453303995014,102.466507990028,100.479711985042,5
2026-01-26,SLV,107.0,put,5,20,69,50,1,2.09,2.04,50,2026-01-26T13:04:00.000,2.065,0.04999999999999982,0.024213075060532604,True,2026-01-26,0,0.00526023556911351,ATM,0.559899999999999,2.065,2.09,5.2,4.85,1.5181598062953996,1.3205741626794258,0.19758564361597375,30.0,30.0,1753,0.05532931819678773,-0.5275,-7.4985,0.7762,-0.0195,2.3632,True,7.0,2.97,0.42105263157894757,True,8.0,3.2,0.5311004784688997,True,8.0,3.2,0.5311004784688997,13.333333333333332,22.22222222222222,6.666666666666666,7.5,49.72222222222222,7,2026-01-26,2026-01-26 13:04:00,-1,reversal,3DGapFade,B,ETF,0.03733172,high+0,106.4401,30,104.453303995014,102.466507990028,100.479711985042,5
