date,ticker,cap,setup_type,score,grade,recommendation,selloff_total_pct,consecutive_down_days,pct_off_30d_high,gap_pct,prior_day_range_atr,prior_day_rvol,pct_from_200mav,pct_from_50mav,pct_change_3,pct_change_15,pct_change_30,pct_off_52wk_high,current_price,atr_pct,bounce_day_return,bounce_low_to_close,bounce_day_close_position
2024-01-02,FLNC,Medium,GapFade_strongstock,3,F,NO-GO,-0.0719844357976653,3,-0.14208633093525178,-0.0159329140461217,0.4515207185139819,0.3046098977051679,0.05107636168925827,0.13398091488724387,-0.05507131537242461,0.08755129958960337,0.3054187192118228,-0.23850574712643674,23.85,0.07336028751123091,0.016190881976992016,0.03202077022933804,0.4302325581395363
2024-01-02,AAOI,Medium,GapFade_strongstock,4,C,NO-GO,-0.15559440559440554,3,-0.1976744186046511,-0.02587991718426501,1.9870329578986743,2.1393283497970774,1.2991515036117622,0.35388927820602667,-0.14209591474245112,-0.022267206477732858,0.5058456742010912,-0.1976744186046511,19.32,0.1156436705116829,-0.006907545164718332,0.06739006282124498,0.7919463087248328
2024-01-02,LABU,Medium,GapFade_strongstock,3,F,NO-GO,-0.05420285359801495,2,-0.08848298967415714,-0.03156513896859879,0.7611630835904475,0.9991264460115222,0.20900633893214512,0.5487074000711056,-0.05690868321348498,0.3761705968633646,0.9484025559105431,-0.21613110539845756,121.97,0.07453759121095353,0.06451066711818482,0.07755591738795097,0.5930537352555703
2024-01-03,HUT,Medium,GapFade_strongstock,7,A+,GO,-0.2609970674486804,3,-0.31596091205211735,-0.07142857142857145,1.3983028232908155,1.374420364378053,0.08920220260889847,0.14007546213773195,-0.2188468691878487,0.4245336348219331,0.32631578947368417,-0.4461538461538462,12.6,0.1487063492063492,0.05384615384615392,0.06915239540429216,0.6007532956685501
2024-01-03,MARA,Medium,GapFade_strongstock,7,A+,GO,-0.20903759917212827,3,-0.2674121405750799,-0.09725250763192327,1.3872280205200778,1.2591199851011352,0.9305937649314758,0.6216636727535042,-0.18427605834222696,0.5651877133105802,1.293,-0.2674121405750799,22.93,0.12326646314871346,0.13212560386473426,0.149337910740559,0.9062499999999996
2024-01-03,RIVN,Medium,GapFade_strongstock,3,F,NO-GO,-0.10895270270270263,3,-0.14279910623603484,-0.027014218009478685,0.8569620384491681,1.321998294689173,0.14253843883764325,0.13662073497882982,-0.10365335598980449,0.11345646437994734,0.2634730538922157,-0.24803991446899493,21.1,0.06525863236289778,-0.010228933268387766,0.033570701932858604,0.6600000000000001
2024-01-03,NIO,Large,GapFade_weakstock,5,B,CAUTION,-0.10710498409331917,2,-0.12016718913270641,-0.0356294536817103,0.9686067629507888,1.0204622634820615,-0.08333287971737907,0.08181724740466634,-0.10710498409331917,0.0963541666666667,0.1393775372124493,-0.4796044499381953,8.42,0.06866389548693588,0.04679802955665035,0.04938271604938276,0.8695652173913035
2024-01-03,TLRY,Medium,GapFade_strongstock,3,F,NO-GO,-0.09387755102040819,2,-0.11904761904761905,-0.018018018018017955,1.173746406898755,1.0060484851369311,0.02431596917824009,0.1747274843898825,-0.078838174273859,0.20652173913043484,0.21311475409836056,-0.3470588235294118,22.2,0.0805920205920206,0.055045871559632996,0.08490566037735853,0.5834683954619125
2024-01-03,RIOT,Large,GapFade_strongstock,7,A+,GO,-0.1537616694124108,3,-0.17813333333333334,-0.09214795587280986,1.317736630463769,0.973066583548514,0.26607498269519503,0.1962521056676422,-0.12443181818181824,0.09914407988587737,0.4704198473282442,-0.2537530266343825,15.41,0.08864234726986189,0.07505360972122938,0.09381818181818176,0.8716216216216208
2024-01-03,COIN,Medium,GapFade_strongstock,4,C,NO-GO,-0.15683112974309366,2,-0.1628155184374833,-0.06935237123916367,1.8875082930211944,1.8276039756341727,0.86619662810578,0.3121598948130873,-0.158188452457609,0.13664686277351096,0.5838465421504291,-0.1628155184374833,156.88,0.06828490383914909,0.04273972602739732,0.05641523835958639,0.6696869851729823
2024-01-03,ON,Medium,GapFade_weakstock,3,F,NO-GO,-0.051141658900279593,4,-0.06128230335621833,-0.025414364640884066,1.330669783351707,1.3382344366260315,-0.05033183003213365,0.08366506301089932,-0.041539185690750775,0.025818639798488627,0.16307296872768814,-0.2685226762460709,81.45,0.031739279137069185,-0.0008818342151674626,0.022563176895306857,0.7898181161709624
2024-01-03,CVNA,Medium,GapFade_strongstock,4,C,NO-GO,-0.10592755214050494,2,-0.21920309826345788,-0.048496009821976625,0.6869568257297676,0.6396181970010005,0.6109652440923856,0.2838498155795843,-0.1099981788380987,0.22696459954807932,0.5257571027162035,-0.21920309826345788,48.87,0.1045229325616066,0.004086021505376295,0.023903508771929743,0.4585033441298941
2024-01-03,WIX,Medium,GapFade_strongstock,4,C,NO-GO,-0.06416052026330402,3,-0.07391929128142102,-0.032372881355932144,1.2268872450686963,1.6212391836248057,0.31397630945255633,0.18380356084098218,-0.056226505638646736,0.1320030698388335,0.21913420807934697,-0.07391929128142102,118.0,0.032740980629539944,0.0282010860045542,0.0282010860045542,0.7453703703703712
2024-01-03,CLSK,Medium,GapFade_strongstock,4,C,NO-GO,-0.14060031595576614,3,-0.19764011799410028,-0.10386029411764712,1.4376929055179306,0.8240100535831016,1.1449306791130476,0.5509180066142092,-0.17009916094584276,0.23636363636363636,1.7614213197969546,-0.19764011799410028,10.88,0.11826418067226888,0.08410256410256413,0.10104166666666674,0.6787963610916729
