date,ticker,run_points,run_pct,absolute_val_run_pct,run_duration,price_over_time,absolute_val_price_over_time,gap_pct,vol_acceleration,vol_on_reversal_day,vol_on_start_of_run,reversal_pts,reversal_pct,absolute_val_reversal_pct,reversal_duration,trade_grade,cap,Day,Setup,spy_pct_open_lohi,spy_pct_gap,gap_together,move_together,close_green_red,hit_green_red,hit_prior_day_hilo,atr_pct,short_long,atr_pct_move,exhaustion_gap,15m_vol,premarket_vol,reversal_time_start,time_to_high_lo,30d_avg_vol
12/2/2020,XPEV,-13.25,-18.76,18.76,45.5,-0.412302,0.4123,-10.22,-0.8618,60535508,99.907751,11.37,19.82,19.82,6.5,A,Medium,,,0.59%,-0.33%,YES,YES,NO,YES,YES,9.91,LONG,1.89,YES,8106402,3641267,,,57840186.32
1/27/2021,AMC,-14.19,-55.58,55.58,1,-55.581669,55.5817,,27.4958,250482656.6,181.86221,5.66,49.05,49.05,1,A,Medium,,,0.03%,,,YES,NO,NO,NO,1.97,LONG,28.17,NO,4134748.8,57154228.4,,,34247843.78
1/28/2021,GME,-368.57,-76.07,76.07,3,-25.356366,25.3564,3.76,-17.8154,233466832,138.641522,196.96,164.15,164.15,1,A,Medium,,,1.48%,,,,YES,YES,YES,6.45,LONG,11.8,NO,9856916,31880448,,,236404523.4
2/23/2021,NIO,-10.18,-17.01,17.01,52,-0.3271,0.3271,-9.98,1.9675,142006701,40.233076,10.41,20.96,20.96,13,A,Medium,,,1.11%,-0.61%,YES,YES,YES,YES,YES,7.59,LONG,2.24,YES,27559785,5503120,,,72726194
3/10/2021,GME,-163.91,-47.09,47.09,1,-47.085691,47.0857,9.13,256.0214,285954696,30.26086,95.8,52.01,52.01,1,A,Medium,,,0.44%,0.65%,NO,YES,NO,YES,YES,15.78,LONG,2.98,NO,17127728,7340856,,,158008189.5
1/24/2022,QQQ,-54.62,-14.05,14.05,42,-0.33451,0.3345,-1.65,2.8918,198692027,77.994,19.15,5.73,5.73,3.25,A,ETF,,,1.93%,-1.36%,YES,YES,NO,YES,YES,2.15,LONG,6.55,YES,13511860,6183834,,,71732027.85
5/12/2022,COIN,-84.17,-67.34,67.34,32.5,-2.071877,2.0719,-9.64,1.5835,58633989,7.324,33.17,81.24,81.24,9.5,A,Medium,,,1.65%,-0.86%,YES,YES,NO,YES,YES,19.42,LONG,3.47,YES,10332955,2681577,,,12264042.95
5/12/2022,MSTR,-222.53,-62.4,62.4,32.5,-1.919992,1.92,-8.92,0.118,4632911,0.859,67.29,50.7,50.7,2,A,Small,,,1.65%,-0.86%,YES,YES,NO,YES,YES,18.8,LONG,3.32,YES,725135,239094,,,926089.8636
5/12/2022,ARKK,-12.65,-26.49,26.49,52,-0.509464358,0.5095,-2.73,1.147987769,77876739,37.096809,9.01,25.67,25.67,26,A,ETF,,,1.65%,-0.86%,YES,YES,NO,YES,YES,9.2,LONG,2.88,YES,8571523,2022173,,,34358181.5
5/12/2022,CVNA,-68.43,-60.17,60.17,175.5,-0.342842,0.3428,-1.97,0.2103,41295244,4.791022,16.95,37.42,37.42,6.5,A,Medium,,,1.65%,-0.86%,YES,YES,NO,YES,YES,28.3,LONG,2.13,YES,1375605,98077,,,13017405.45
5/12/2022,BYND,-9.03,-23.5,23.5,39,-0.602494,0.6025,-19.64,0.5201,22070463,2.110766,8.9,30.27,30.27,6.5,B,Medium,,,1.65%,-0.86%,YES,YES,YES,YES,YES,13.74,LONG,1.71,YES,3318912,1434332,,,4194712.591
10/24/2022,KWEB,-8.13,-32.07,32.07,79,-0.405962,0.406,-13.01,0.7212,71034382,17.412,2.2,12.79,12.79,6,A,ETF,,,1.11%,0.43%,NO,YES,YES,YES,YES,5.8,LONG,5.53,YES,9535636,3408838,,,23412930.9
10/24/2022,LI,-11.35,-47.55,47.55,79,-0.601889,0.6019,-9.34,0.146,36732849,25.645,3.83,30.59,30.59,7.5,A,Medium,,,1.11%,0.43%,NO,YES,YES,YES,YES,11.36,LONG,4.19,YES,3150596,865297,,,12298857.62
1/6/2023,TSLA,-72.98,-41.75,41.75,104,-0.401448,0.4014,-7.44,0.4331,218478594,175.863,21.17,20.79,20.79,13,C,Large,,,1.74%,0.85%,NO,YES,NO,YES,YES,8.72,LONG,4.79,YES,24859906,15841671,,,161660171
