date,t,ticker,trade_grade,news_type,setup_type,size,bp,npl,pct_to_52wk_high,pct_to_ath,pct_to_30d_high,pct_to_60d_high,pct_to_90d_high,days_since_52wk_high,days_since_ath,consolidation_days,range_contraction_atr,bb_width_percentile_6mo,bollinger_width,upper_band_distance,vol_dry_up_ratio,up_down_vol_ratio_30d,prior_day_range_atr,prior_day_close_vs_high_pct,consecutive_up_days,pct_from_9ema,pct_from_10mav,pct_from_20mav,pct_from_50mav,pct_from_200mav,atr_distance_from_50mav,ma_stack_aligned,ma_50_slope_5d,consecutive_days_above_50ma,rs_vs_spy_30d,rs_vs_spy_90d,rs_vs_spy_252d,rs_vs_qqq_30d,rs_vs_qqq_90d,d1_close_at_high_pct,d1_rvol,d1_range_atr,d1_thrust_atr,overnight_gap_d1_to_d2_pct,pm_d2_holds_above_d1_high,days_since_ipo,pct_to_ipo_high,pct_off_ipo_low,avg_daily_vol,premarket_vol,vol_in_first_5_min,vol_in_first_10_min,vol_in_first_15_min,vol_in_first_30_min,vol_on_breakout_day,vol_one_day_before,vol_two_day_before,vol_three_day_before,percent_of_premarket_vol,percent_of_vol_in_first_5_min,percent_of_vol_in_first_10_min,percent_of_vol_in_first_15_min,percent_of_vol_in_first_30_min,percent_of_vol_on_breakout_day,percent_of_vol_one_day_before,percent_of_vol_two_day_before,percent_of_vol_three_day_before,vol_ratio_5min_to_pm,rvol_score,day_of_range_pct,one_day_before_range_pct,two_day_before_range_pct,three_day_before_range_pct,gap_pct,gap_from_pm_high,time_of_high_bucket,atr_pct,pct_change_3,pct_change_15,pct_change_30,pct_change_90,pct_change_120,spy_open_close_pct,move_together,spy_5day_return,uvxy_close,float_shares,short_interest_pct,days_to_cover,breakout_duration,breakout_open_high_pct,breakout_open_close_pct,breakout_open_post_high_pct,breakout_open_to_day_after_open_pct,breaks_fifty_two_wk,breaks_ath,close_at_highs,pivot_to_high_pct,pivot_to_close_pct,atr_max_extension,atr_at_close,held_above_pivot_at_close,pulled_back_to_pivot_intraday,pivot_source,time_of_breakout,time_of_high,atr_pct_move,closed_outside_upper_band
2/9/2024,1.0,SOXL,B,pos_news,"ATH_breakout,news_day2",12000.0,462360.0,11976.0,-0.060207437,-0.499393613,-0.060207437,-0.060207437,-0.060207437,10.0,526.0,1.0,1.036579622,0.436507937,0.356506298,-0.05623638,0.897010907,1.233826773,0.979423696,0.653679654,2.0,0.10937408,0.137743504,0.164602448,0.318457065,0.710233503,4.060519555,True,0.04144863,61.0,0.107500596,0.803018084,1.039389726,0.10183712,0.760733886,0.653679654,0.83414614,0.982136892,0.599486155,0.019111709,False,,,,70563244.45,5680068.0,2784890.0,4270626.0,5547793.0,9619180.0,65547189.0,59516892.0,63261793.0,62828908.0,0.080496129,0.039466581,0.060521962,0.078621569,0.136319979,0.928914047,0.835910234,0.886631991,0.877886342,0.490291666,0.928914047,1.016150291,1.102543208,0.833489747,1.129691309,0.019111709,-0.0140625,4.0,0.063486671,0.119125037,0.019935345,0.343982961,0.891108891,0.830754352,0.004730976,False,0.008030747,176.5,,,,0 days 04:38:00,0.04437401,0.038563127,0.041732699,0.040940306,True,True,True,0.064333782,0.058411844,1.016150291,0.922613444,True,False,prior_close_fallback_from_ath,2024-02-09 10:09:00-05:00,2024-02-09 14:47:00-05:00,0.60742084,False
2/8/2024,1.0,ARM,A,earnings,"ATH_breakout,IPO_high_breakout,news_day2",727.0,85059.0,12645.19,-0.036652489,-0.036652489,-0.036652489,-0.036652489,-0.036652489,12.0,12.0,3.0,0.9941915898294824,,0.159044067,-0.020309731,1.2236354135662257,0.8824804755065688,1.526255154,0.871794872,1.0,0.554454776,0.653819522,0.688430347,0.787711627,-0.096665885,8.388819239,False,0.019530976,52.0,0.013672176780373142,0.22544480672575876,,0.007478770714927668,0.1811753522350418,0.8717948717948737,3.530759655472628,0.8211858206862757,0.5925773138285604,0.2259446825087649,True,102.0,-0.036652489,0.656129032,11748862.0,6407849.0,8870563.0,13686973.0,16623837.0,25857237.0,106033354.0,22802796.0,6830507.0,7258066.0,0.545401674,0.755014656,1.164961594,1.414931676,2.200829068,9.024989314,3.123942254,1.057628132,1.10271846,1.384327721,9.024989314,7.456096531,1.584337362,1.070666055,0.969240543,0.225944683,-0.062646136,2.0,0.046453493,0.288521905,0.246501188,0.313439065,0.806198584,0.726591075,0.000441678,False,0.018192968,178.5,,,,0 days 00:36:00,0.340800763,0.206334075,0.236627476,0.122656498,True,True,False,0.583500125,0.42469352,7.015423554,5.106091321,True,False,ath,2024-02-08 09:31:00-05:00,2024-02-08 10:07:00-05:00,4.44173436,False
2/7/2024,1.0,NVDA,C,upgrade,"ATH_breakout,news_day2",1000.0,685818.94,5150.0,-0.021948562,-0.021948562,-0.021948562,-0.021948562,-0.021948562,0.0,0.0,4.0,1.615235274,0.904761905,0.302871163,-0.01503809,1.084855099,2.859489981,1.606632234,0.556745802,0.0,0.070317299,0.086567996,0.151091873,0.314652856,0.57122866,7.696615747,True,0.031317929,64.0,0.347572343,0.447015246,2.029674992,0.343984493,0.402113454,0.556745802,1.397345607,1.581760492,-0.644336136,0.00140715,False,,,,497927932.3,16847650.0,23866880.0,35238880.0,45890440.0,82591370.0,477014240.0,683010610.0,679845010.0,476527650.0,0.033871809,0.047983708,0.070843814,0.092258508,0.166044855,0.939899483,1.391580368,1.390869226,1.002629766,1.416629619,0.957998556,1.199829904,1.639297579,1.682034369,1.883166997,0.00140715,-0.001840894,4.0,0.031511933,-0.014610858,0.141065255,0.3074656,0.45514377,0.491746364,0.003647061,False,0.022987078,179.5,,,,0 days 05:59:00,0.027825349,0.026054246,0.038817898,0.025688315,True,True,True,0.00668062,0.004945953,0.213404861,0.157992869,True,True,ath,2024-02-07 09:48:00-05:00,2024-02-07 17:23:00-05:00,0.826805683,False
2/6/2024,0.0,PLTR,A,earnings,"52wk_breakout,gap_n_go,news_day1",10000.0,202300.0,14169.0,-0.234782609,-0.628444444,-0.088843234,-0.234782609,-0.234782609,50.0,760.0,0.0,1.231207365,0.007936508,0.086650054,-0.040004391,1.440331177,0.708192861,2.100018056,0.172661871,0.0,0.252065578,0.293898028,0.308284425,0.267312703,0.412248614,4.180582239,False,-0.02069894,0.0,-0.082597529,0.041161291,0.793614426,-0.093664997,-0.011885443,,,,,,,,,,65769316.19,27568316.0,30228936.0,50465882.0,69494017.0,104369585.0,417873450.0,167698349.0,57532675.0,40454381.0,0.477247211,0.523306304,0.873636444,1.203040358,1.806785737,6.360293398,3.49395161,1.353870841,0.97210584,1.096510066,6.353623151,4.879013985,1.820886864,1.254210564,0.685290556,0.214114833,-0.001475652,4.0,0.039587265,0.214114833,0.153409091,0.217756449,0.097890752,0.152754117,0.00093208,False,0.003381613,186.5,,,,0 days 05:30:00,0.092610837,0.077339901,0.088669951,0.064039409,True,False,True,0.326555024,0.308014354,4.879013985,4.60200037,True,False,prior_close_fallback_from_52wk_high,2024-02-06 09:38:00-05:00,2024-02-06 15:08:00-05:00,1.953656118,False
2/2/2024,1.0,NVDA,B,upgrade,"ATH_breakout,news_day2",,,,-0.007339392,-0.007339392,-0.007339392,-0.007339392,-0.007339392,2.0,2.0,10.0,1.010660342,0.944444444,0.316945799,-0.052778264,0.8450767,2.470286542,0.850322026,0.8935756,1.0,0.072425983,0.075077887,0.14149088,0.276131474,0.511450257,7.595398058,True,0.025657066,61.0,0.222095196,0.378143717,1.818607105,0.222245263,0.335975919,0.8935756,0.795042147,0.812191532,0.488579851,0.015025307,True,,,,460539439.5,17355030.0,21143990.0,37058660.0,51322790.0,87948860.0,456038510.0,369145790.0,453794870.0,410709050.0,0.037684134,0.045911356,0.08046794,0.111440597,0.190969225,0.995535519,0.790926357,0.97735382,0.888637331,1.218320568,0.990226831,1.883166997,0.985882114,1.222486064,0.746058364,0.015025307,-0.005920286,4.0,0.028753623,0.019116195,0.120247956,0.344867456,0.398308234,0.431569996,0.009598693,True,0.003672473,198.5,,,,0 days 03:05:00,0.041047926,0.034170132,0.03931269,0.06644887,True,True,True,0.048934528,0.04200463,1.637559435,1.405655299,True,False,ath,2024-02-02 09:37:00-05:00,2024-02-02 12:42:00-05:00,1.188376567,False
1/31/2024,1.0,PLUG,B,upgrade,news_day2,,,,-0.802436441,-0.950589482,-0.25250501,-0.463695183,-0.53081761,248.0,757.0,0.0,1.019034627,0.833333333,0.701296996,-0.238064186,0.999906904,0.567798918,0.561907125,0.380952381,0.0,0.313897342,0.427518065,0.337940567,0.218008405,-0.354511749,1.796584058,False,-0.018379261,0.0,-0.261293516,-0.658055143,-0.98798912,-0.275609046,-0.70561277,0.380952381,0.67397549,0.435510392,0.04147718,0.09919571,False,,,,55723432.95,7126892.0,4032548.0,6420838.0,8846366.0,16382377.0,126435588.0,34548523.0,41212353.0,30746939.0,0.127897576,0.072367185,0.115226892,0.158754864,0.294120016,2.273786131,0.664431286,0.803974046,0.611264643,0.565821399,2.268984183,2.301983498,0.494891174,1.150710933,0.61775244,0.09919571,-0.012048193,4.0,0.100194971,0.081794195,0.348684211,-0.106753813,-0.346092504,-0.372128637,-0.01174737,False,0.011331095,187.0,,,,0 days 03:53:00,0.180487805,0.085365854,0.124390244,0.214634146,False,False,False,0.25388601,0.152849741,2.032381827,1.223576814,True,False,d1_high,2024-01-31 09:41:00-05:00,2024-01-31 13:34:00-05:00,0.85199739,False
1/24/2024,1.0,AMD,B,upgrade,"ATH_breakout,1DBreakoutIB,news_day2",,,,-0.036057692,-0.036057692,-0.036057692,-0.036057692,-0.036057692,1.0,1.0,6.0,1.524846333,0.944444444,0.303969193,-0.026862017,1.52708131,2.235418061,0.806899988,0.774268177,1.0,0.097621978,0.118959983,0.186699087,0.31884729,0.584590042,5.731740734,True,0.042234494,56.0,0.253873862,0.477754782,0.99046174,0.227338525,0.431979077,0.774268177,1.038916229,0.703696445,0.252075071,0.024522028,True,,,,79951697.35,2476274.0,4243430.0,6157883.0,8259041.0,19283128.0,122679366.0,76830455.0,122973822.0,140280929.0,0.030972125,0.053074921,0.077020041,0.103300384,0.241184723,1.538643945,1.018498003,1.662875737,1.988745471,1.713635082,1.534418531,1.59647545,0.755572248,1.423792283,1.735352116,0.024522028,-0.000868558,4.0,0.039440582,0.025984065,0.156036446,0.203193641,0.842105263,0.79814506,-0.004960948,False,0.026615003,180.75,,,,0 days 03:27:00,0.046537236,0.03326572,0.041205448,0.062938279,True,True,True,0.033539377,0.020432692,0.769354123,0.468702085,True,True,ath,2024-01-24 09:30:00-05:00,2024-01-24 12:57:00-05:00,0.843438877,False
1/22/2024,0.0,DWAC,B,pos_news,"52wk_breakout,gap_n_go,news_day1",,,,-0.080836237,-0.849257143,-0.080836237,-0.080836237,-0.080836237,2.0,562.0,1.0,3.933199834,1.0,0.632203058,0.067194458,3.74868887,14.80448471,1.959710859,0.431972789,5.0,0.840244095,1.155986944,1.461447939,1.7314971,2.244120032,9.445313229,True,0.048063026,44.0,0.469167118,0.538670981,0.448613609,0.438231934,0.497165848,,,,,,,,,,3809620.833,655667.0,1011907.0,1512271.0,1753594.0,2252451.0,29622938.0,5407490.0,7780399.0,15611072.0,0.172108204,0.265618823,0.396961027,0.460306702,0.591253329,7.775823185,2.738056129,4.536379416,11.6386882,1.543324584,7.775823185,7.070227363,1.731099223,2.289694959,6.352184695,0.111827142,-0.021681121,4.0,0.056869648,0.111827142,0.701276102,0.614199229,0.983096687,0.77973301,-0.001157001,False,0.0120626,199.0,,,,0 days 06:25:00,0.711558132,0.694169792,0.749062393,0.687009887,True,False,True,0.74912892,0.731358885,6.381607402,6.230229738,True,False,52wk_high,2024-01-22 09:31:00-05:00,2024-01-22 17:24:00-05:00,12.39963785,True
1/22/2024,1.0,RUM,A,partnership,"1DBreakoutIB,gap_n_go,news_day2",,,,-0.680888889,-0.791642484,-0.320075758,-0.32518797,-0.502770083,152.0,335.0,0.0,1.451543534,0.888888889,0.473563464,-0.31604739,1.498433954,0.606321984,1.066611924,0.8,1.0,0.239438189,0.272401434,0.170237815,0.091851754,-0.289731112,1.158378025,False,-0.025678886,0.0,-0.257015737,-0.556235201,-0.841773923,-0.287950921,-0.597740334,0.8,1.073692225,0.692644119,0.221646118,0.119777159,False,337.0,-0.680888889,0.078078078,3004390.333,1044323.0,614867.0,1054806.0,1389826.0,3299704.0,23525921.0,1817096.0,1525102.0,2612865.0,0.347598975,0.204656164,0.351088202,0.462598346,1.098294041,7.830514145,1.05503095,0.90115776,1.559760959,0.588770907,7.830514144,3.823395539,0.901341712,1.189771059,1.413201809,0.119777159,-0.086363636,4.0,0.065288866,0.119777159,-0.069444444,-0.196,-0.202380952,-0.144680851,-0.001157001,False,0.0120626,199.0,,,,0 days 05:53:00,0.236318408,0.21641791,0.519900498,0.487562189,False,False,True,0.365384615,0.343406593,3.684866715,3.463220597,True,False,d1_high,2024-01-22 09:51:00-05:00,2024-01-22 19:12:00-05:00,3.314775162,False
1/19/2024,0.0,SMCI,A,earnings_prelim,"ATH_breakout,gap_n_go,news_day1",,,,-0.130031565,-0.130031565,-0.130031565,-0.130031565,-0.130031565,5.0,5.0,0.0,1.308492771,0.5,0.279354595,-0.114084641,1.200512798,1.142015521,1.561996992,0.180530331,0.0,0.257392467,0.275585959,0.365985623,0.463053871,0.731332488,4.969363628,True,0.029110543,24.0,0.125933081,0.040155788,2.731657256,0.100252498,0.001210135,,,,,,,,,,42294931.5,8144750.0,16266340.0,25888990.0,32448060.0,53985880.0,229670140.0,48751260.0,35857720.0,47328550.0,0.192570356,0.384593128,0.612106205,0.767185543,1.276414882,5.431355291,1.488778564,1.08088197,1.423074142,1.99715645,5.430204799,4.294366179,1.419046041,1.141203291,1.608923569,0.115977395,-0.020957746,4.0,0.056591555,0.065122123,0.203462604,0.150556144,0.363568598,0.501079727,0.010007328,True,0.000293902,206.25,,,,0 days 05:17:00,0.233427322,0.21809184,0.234319254,0.313010703,True,True,True,0.19749155,0.182602866,2.589438711,2.3942236,True,True,ath,2024-01-19 09:34:00-05:00,2024-01-19 16:24:00-05:00,3.853787725,False
