feature,n,rho,p,abs_rho,profile,y,sig_p10,sig_p05
pct_from_9ema,14,0.855,0.0001,0.855,D1_news_break,breakout_open_high_pct,True,True
pct_from_20mav,14,0.824,0.0003,0.824,D1_news_break,breakout_open_high_pct,True,True
pct_from_10mav,14,0.811,0.0004,0.811,D1_news_break,breakout_open_high_pct,True,True
pct_from_50mav,14,0.697,0.0056,0.697,D1_news_break,breakout_open_high_pct,True,True
range_contraction_atr,13,0.604,0.0287,0.604,D1_news_break,breakout_open_high_pct,True,True
rvol_score,14,0.604,0.0221,0.604,D1_news_break,breakout_open_high_pct,True,True
day_of_range_pct,14,0.569,0.0336,0.569,D1_news_break,breakout_open_high_pct,True,True
gap_from_pm_high,14,-0.556,0.0389,0.556,D1_news_break,breakout_open_high_pct,True,True
prior_day_close_vs_high_pct,14,0.525,0.0537,0.525,D1_news_break,breakout_open_high_pct,True,False
atr_distance_from_50mav,13,0.522,0.0673,0.522,D1_news_break,breakout_open_high_pct,True,False
percent_of_vol_in_first_30_min,14,0.521,0.0562,0.521,D1_news_break,breakout_open_high_pct,True,False
pct_change_15,14,0.521,0.0562,0.521,D1_news_break,breakout_open_high_pct,True,False
spy_open_close_pct,14,-0.516,0.0586,0.516,D1_news_break,breakout_open_high_pct,True,False
vol_dry_up_ratio,13,0.505,0.078,0.505,D1_news_break,breakout_open_high_pct,True,False
pct_change_30,14,0.477,0.0846,0.477,D1_news_break,breakout_open_high_pct,True,False
rs_vs_spy_252d,10,-0.455,0.1869,0.455,D1_news_break,breakout_open_high_pct,False,False
percent_of_vol_two_day_before,14,0.451,0.1059,0.451,D1_news_break,breakout_open_high_pct,False,False
percent_of_vol_three_day_before,14,0.42,0.1351,0.42,D1_news_break,breakout_open_high_pct,False,False
bb_width_percentile_6mo,11,0.415,0.2049,0.415,D1_news_break,breakout_open_high_pct,False,False
has_IPO_high_breakout,14,0.405,0.1508,0.405,D1_news_break,breakout_open_high_pct,False,False
percent_of_vol_in_first_15_min,14,0.393,0.164,0.393,D1_news_break,breakout_open_high_pct,False,False
percent_of_vol_in_first_10_min,14,0.393,0.164,0.393,D1_news_break,breakout_open_high_pct,False,False
