date,ticker,is_capitulation,capitulation_score,large_down_move,volume_spike,close_at_lows,range_expansion,vix_spike,trade_grade,cap,setup,pct_change_3,gap_pct,reversal_open_close_pct,reversal_open_low_pct
2018-09-05,AMD,True,65,True,False,True,True,False,A,Medium,2DBreakoutIB,0.15,0.04811119,-0.030601836,-0.087385243
2020-02-27,MRNA,True,65,True,False,True,True,False,A,Medium,3DGapFade,0.93006993,0.230452675,-0.27090301,-0.357580825
2020-02-28,ZM,True,65,True,False,True,True,False,B,Medium,2DGapFade,0.130649981,0.066226332,-0.13273313,-0.195754522
2020-02-28,VIR,True,65,True,False,True,True,False,C,Small,GapDownTrendBreak,2.274275196,0.181893688,-0.34645116,-0.461700632
2020-02-28,CODX,True,65,True,False,True,True,False,A,Micro,3DGapFade,4.022016222,0.357769424,-0.389478542,-0.492385787
2020-02-28,AHPI,True,65,True,False,True,True,False,C,Micro,2DGapFade,11.15249267,1.670103093,-0.420849421,-0.617519305
2020-02-28,APT,True,65,True,False,True,True,False,B,Micro,3DGapFade,2.723,0.474455446,-0.435938759,-0.553854418
2020-06-09,NKLA,True,65,True,False,True,True,False,A,Medium,2DGapFade,0.271052272,0.271052272,-0.143884892,-0.388006013
2020-07-06,WKHS,True,65,True,False,True,True,False,B,Small,GapDownTrendBreak,0.012912482,0.012912482,-0.168555241,-0.182247403
2020-11-13,XPEV,True,65,True,False,True,True,False,B,Medium,2DBreakoutIB,0.45775076,0.072211044,-0.124478732,-0.207673061
2020-11-13,NIO,True,65,True,False,True,True,False,B,Medium,2DBreakoutIB,0.234416366,0.061904762,-0.131214662,-0.209397543
2020-11-13,LI,True,65,True,False,True,True,False,B,Medium,2DGapFade,0.535657686,0.219634991,-0.19504644,-0.223168215
2020-11-24,XPEV,False,45,True,False,False,True,False,B,Medium,2DGapFade,0.0,0.0,-0.021338506,-0.13024664
2020-11-24,LI,True,65,True,False,True,True,False,B,Medium,3DGapFade,0.090284143,0.090284143,-0.076082388,-0.127784784
2020-11-24,BLNK,True,75,True,False,True,True,True,C,Small,GapDownTrendBreak,-0.077037478,-0.077037478,-0.093780213,-0.194005801
2020-11-24,FCEL,True,65,True,False,True,True,False,A,Small,2DBreakoutIB,0.166081871,0.166081871,-0.230692076,-0.34002006
2020-11-27,PLTR,True,65,True,False,True,True,False,A,Medium,3DGapFade,0.309403862,0.073666093,-0.1131773,-0.1625521
2020-12-01,MRNA,True,65,True,False,True,True,False,A,Medium,3DGapFade,0.398567268,0.163153071,-0.206292919,-0.266407745
2020-12-23,QS,True,75,True,False,True,True,True,B,Medium,GapDownTrendBreak,0.285774499,-0.073289284,-0.092034093,-0.155056548
2020-12-28,BLNK,True,65,True,False,True,True,False,B,Small,2DBreakoutIB,0.076565657,0.076565657,-0.119909927,-0.150309627
2021-01-15,PLUG,True,75,True,False,True,True,True,C,Medium,ConsolidationBreakdown,-0.043471675,-0.050946799,-0.047664291,-0.092319873
2021-01-25,CCIV,True,65,True,False,True,True,False,B,Medium,2DBreakoutIB,0.197762864,0.197762864,-0.067986552,-0.307060142
2021-01-25,BBBY,True,90,True,True,True,True,False,A,Medium,3DGapFade,0.15326051,0.15326051,-0.119402985,-0.130022962
2021-01-25,SPCE,False,55,True,True,False,False,False,A,Medium,3DGapFade,0.027129522,0.027129522,0.022436808,-0.086875888
2021-01-27,AMC,True,70,True,True,False,True,False,A,Medium,1DMeanRevert,3.601796941,3.100806452,-0.021632252,-0.458702065
2021-01-28,PLTR,True,65,True,False,True,True,False,B,Medium,GapDownTrendBreak,0.091360751,0.013846154,-0.098128477,-0.16287304
2021-01-28,BBBY,True,75,True,False,True,True,True,B,Medium,GapDownTrendBreak,0.345501956,-0.219512195,-0.185077519,-0.271317829
2021-01-28,GME,True,75,True,False,True,True,True,A,Medium,2DBreakoutIB,2.450970178,-0.237432016,-0.269433962,-0.576415094
2021-01-28,AMC,True,75,True,False,True,True,True,A,Medium,GapDownTrendBreak,1.710402403,-0.39798995,-0.279632721,-0.456594324
2021-02-02,INO,True,65,True,False,True,True,False,A,Small,2DBreakoutIB,0.118514151,0.118514151,-0.204533474,-0.271481286
2021-02-02,SPCE,True,65,True,False,True,True,False,A,Medium,2DBreakoutIB,0.089235917,0.089235917,-0.170848268,-0.192694999
2021-02-04,SPCE,False,50,True,False,True,False,False,C,Medium,1DBreakoutIB,0.05967652,-0.00210084,-0.04,-0.067192982
2021-02-19,CCIV,False,50,True,False,True,False,False,C,Medium,GapDownTrendBreak,0.140227704,0.035142119,-0.118988184,-0.162589449
2021-03-10,GME,False,45,True,False,False,True,False,A,Medium,3DGapFade,0.385244216,0.091251519,-0.016442119,-0.361615262
2021-06-03,AMC,True,75,True,False,True,True,True,A,Medium,2DBreakoutIB,0.813358146,-0.071143086,-0.116351119,-0.351807229
2021-06-03,BB,True,65,True,False,True,True,False,A,Medium,2DBreakoutIB,0.638408304,0.241967213,-0.16156283,-0.28405491
2021-06-03,BBBY,True,75,True,False,True,True,True,B,Medium,GapDownTrendBreak,0.413426266,-0.128083277,-0.172073709,-0.175966779
2021-06-09,WISH,True,65,True,False,True,True,False,A,Medium,2DGapFade,0.890463918,0.261392949,-0.277436946,-0.30129516
2021-06-09,CLOV,True,65,True,False,True,True,False,A,Medium,3DGapFade,1.348993289,0.264108352,-0.395714286,-0.4
2021-06-29,SPCE,True,75,True,False,True,True,True,B,Medium,ConsolidationBreakdown,-0.046316557,-0.046316557,-0.100956023,-0.121032505
2021-07-02,SPCE,True,90,True,True,True,True,False,A,Medium,1DMeanRevert,0.132071459,0.232461218,-0.155739245,-0.172647004
2021-07-12,SPCE,True,90,True,True,True,True,False,B,Medium,ConsolidationBreakdown,0.007113821,0.007113821,-0.178809284,-0.196569122
2021-08-10,MRNA,True,65,True,False,True,True,False,B,Large,2DBreakoutIB,0.002126035,0.002126035,-0.059196704,-0.064881565
2021-11-17,LCID,True,65,True,False,True,True,False,C,Medium,2DBreakoutIB,0.252228164,0.012247839,-0.064946619,-0.10480427
2022-03-07,BBBY,True,90,True,True,True,True,False,A,Medium,1DMeanRevert,0.854140915,0.854140915,-0.276333333,-0.359666667
2022-03-08,CEI,True,65,True,False,True,True,False,B,Micro,3DGapFade,0.3046875,0.3046875,-0.25748503,-0.401197605
2022-03-08,USEG,True,90,True,True,True,True,False,C,Micro,3DGapFade,0.587025316,0.587025316,-0.266201396,-0.36889332
2022-03-08,USWS,True,90,True,True,True,True,False,A,Micro,3DGapFade,0.828571429,0.828571429,-0.453125,-0.55
2022-03-08,IMPP,True,65,True,False,True,True,False,B,Micro,3DGapFade,0.217333333,0.217333333,-0.534501643,-0.593647317
2022-03-08,HUSA,True,65,True,False,True,True,False,A,Micro,2DGapFade,0.407964602,0.407964602,-0.563167819,-0.628535512
2022-03-08,INDO,True,65,True,False,True,True,False,A,Micro,GapDownTrendBreak,0.201788618,0.201788618,-0.580570965,-0.583006359
2022-03-29,AMC,False,45,True,False,False,True,False,A,Medium,2DBreakoutIB,0.023865488,0.023866348,-0.01964702,-0.120546121
2022-03-29,GME,True,65,True,False,True,True,False,A,Medium,2DBreakoutIB,-0.007120629,-0.007120629,-0.044305142,-0.134084148
2022-08-04,COIN,True,90,True,True,True,True,False,A,Medium,3DGapFade,0.692185008,0.312956317,-0.162111216,-0.18204524
2022-12-05,BILI,True,65,True,False,True,True,False,A,Medium,2DBreakoutIB,0.126008065,0.126008065,-0.118621307,-0.133393017
2023-01-17,EH,True,65,True,False,True,True,False,B,Small,2DBreakoutIB,0.013617525,0.013617525,-0.205607477,-0.232476636
2023-01-18,AAL,True,65,True,False,True,True,False,B,Medium,1DBreakoutIB,0.026346604,0.026346604,-0.050770108,-0.053337136
2023-01-18,UAL,True,65,True,False,True,True,False,B,Medium,1DBreakoutIB,0.037109375,0.037109375,-0.079849341,-0.086252354
