ticker,date,cap,detected,score,rec,live_up_days,live_gap,live_9ema,csv_gap,csv_9ema,csv_up_days,miss_reason
MRNA,2020-02-27,Medium,3DGapFade,4,GO,3,0.23,0.639,0.23,0.583,3,
CODX,2020-02-28,Micro,3DGapFade,4,GO,4,0.358,2.172,0.358,1.681,4,
PLTR,2020-11-27,Medium,3DGapFade,5,GO,3,0.074,0.497,0.074,0.509,3,
MRNA,2020-12-01,Medium,3DGapFade,4,GO,3,0.163,0.579,0.163,0.51,3,
BBBY,2021-01-25,Medium,3DGapFade,4,GO,2,0.153,0.374,0.153,0.807,1,
GME,2021-03-10,Medium,3DGapFade,3,CAUTION,5,0.091,0.774,0.091,0.997,5,
CLOV,2021-06-09,Medium,3DGapFade,5,GO,6,0.264,1.42,0.264,1.283,6,
USWS,2022-03-08,Micro,3DGapFade,2,NO-GO,6,0.829,1.237,0.829,1.228,6,
GME,2022-03-29,Medium,Generic,4,GO,10,-0.007,0.389,-0.007,0.381,10,gap=-0.007<0.04
COIN,2022-08-04,Medium,3DGapFade,4,GO,2,0.313,0.588,0.313,0.633,2,
SMH,2023-05-30,ETF,Generic,5,GO,2,0.022,0.117,0.022,0.103,2,"gap=0.022<0.04; 9ema=0.117<0.30; 50mav=0.186<0.4; atr=0.025 outside [.04,.20]"
AVGO,2023-05-30,Large,Generic,5,GO,2,0.028,0.183,0.028,0.271,2,"gap=0.028<0.04; 9ema=0.183<0.30; 50mav=0.305<0.4; atr=0.034 outside [.04,.20]"
SMCI,2024-02-16,Large,3DGapFade,4,GO,9,0.041,0.334,0.041,0.369,9,
NVDA,2024-03-08,Large,Generic,3,CAUTION,6,0.027,0.129,0.027,0.147,6,gap=0.027<0.04; 9ema=0.129<0.30
KWEB,2024-09-30,ETF,Generic,4,GO,2,0.049,0.202,0.049,0.18,1,"9ema=0.202<0.30; 50mav=0.341<0.4; atr=0.031 outside [.04,.20]"
VXX,2024-08-05,ETF,3DGapFade,5,GO,2,0.437,0.797,0.437,0.581,1,
TEM,2024-08-20,Medium,Generic,3,CAUTION,5,0.007,0.247,0.007,0.528,5,gap=0.007<0.04; 9ema=0.247<0.30
DJT,2024-10-29,Medium,3DGapFade,4,GO,2,0.135,0.506,0.135,0.407,2,
DXYZ,2024-11-11,Small,3DGapFade,4,GO,4,0.312,1.555,1.149,1.141,3,
MSTR,2024-11-21,Medium,3DGapFade,3,CAUTION,4,0.13,0.444,0.13,0.443,4,
CRCL,2025-06-23,Medium,Generic,3,CAUTION,2,-0.008,0.502,-0.008,0.664,2,gap=-0.008<0.04
OPEN,2025-07-21,Small,3DGapFade,1,NO-GO,5,0.236,1.113,0.685,1.933,4,
GLD,2025-10-17,ETF,Generic,3,CAUTION,5,0.002,0.053,0.002,0.047,5,"gap=0.002<0.04; 9ema=0.053<0.30; 50mav=0.18<0.4; atr=0.017 outside [.04,.20]"
GLD,2026-01-29,ETF,Generic,5,NO-GO,7,0.03,0.112,0.03,0.094,7,"gap=0.03<0.04; 9ema=0.112<0.30; 50mav=0.255<0.4; atr=0.023 outside [.04,.20]"
EWY,2026-02-26,ETF,Generic,3,CAUTION,2,0.03,0.106,0.03,0.094,2,"gap=0.03<0.04; 9ema=0.106<0.30; 50mav=0.344<0.4; atr=0.031 outside [.04,.20]"
