cik,company_name,tickers,close_date,super8k_date,super8k_adsh,items,sic_at_filing,form,ticker_current,exchange,sic_current,sic_desc,entity_name,former_names,ann_date,ann_source,n_vote_8ks,vote_8k_date,vote_date,has_425,sic_6770_at_close,name_change_near_close,target_name,old_ticker_edgar,new_ticker_edgar,redeemed_shares,remaining_shares,redemption_pct_stated,trust_per_share,redemption_source,mentions_trust,is_spac,redemption_pct,new_ticker,flip_date,flip_ticker,old_ticker,n_ticker_events,polygon_active,list_date,sic_code,sic_description,polygon_name,market_cap_now,delisted_utc,public_shares_pre_vote,enrich_status,flip_source,redemption_pct_final,post_redeem_float_est,redemption_pct_best,sector,sector_margin,is_hightech
1478454,"Eagle Bancorp Montana, Inc.",EBMT,2020-01-01,2020-01-02,0001171843-20-000007,"2.01,7.01,9.01",6022.0,8-K,EBMT,Nasdaq,6022.0,State Commercial Banks,"Eagle Bancorp Montana, Inc.",,2017-09-06,425,13,2019-05-20,2019-05-16,True,False,False,Western Holding Company of Wolf Point,EBMT,EBMT,,,,,,False,False,,EBMT,,EBMT,EBMT,2.0,True,2000-04-06,6022.0,STATE COMMERCIAL BANKS,"Eagle Bancorp Montana, Inc",185992813.85,,6440000.0,no_flip_event,,,,,fintech,1,True
1412707,Level One Bancorp Inc,,2020-01-02,2020-01-02,0001412707-20-000004,"2.01,5.02,7.01,9.01",6022.0,8-K,,,6022.0,State Commercial Banks,Level One Bancorp Inc,,,,1,2019-05-17,2019-05-15,False,False,False,"Merger, dated as of August 12, 2019",,,,,,,,False,False,,,,,,,,,,,,,,,no_ticker,,,,,other,0,False
859070,FIRST COMMUNITY BANKSHARES INC /VA/,FCBC,2019-12-31,2020-01-02,0001437749-20-000056,"2.01,8.01,9.01",6022.0,8-K,FCBC,Nasdaq,6022.0,State Commercial Banks,FIRST COMMUNITY BANKSHARES INC /VA/,FIRST COMMUNITY BANCSHARES INC /NV/; FCFT INC,2019-09-11,425,10,2019-05-28,2019-05-21,True,False,False,"Highlands Bankshares, Inc",FCBC,FCBC,,,,,,False,False,,FCBC,,FCBC,FCBC,1.0,True,1995-02-01,6022.0,STATE COMMERCIAL BANKS,"First Community Bankshares, Inc. (VA)",830136076.0,,15760000.0,no_flip_event,,,,,fintech,1,True
8868,AVON PRODUCTS INC,,2020-01-03,2020-01-03,0000950157-20-000022,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",2844.0,8-K,,,2844.0,"Perfumes, Cosmetics & Other Toilet Preparations",AVON PRODUCTS INC,,2019-05-22,425,16,2019-11-13,2019-11-13,True,False,False,"Mergers, dated as of May 22, 2019",AVP,AVP,,,,,,False,False,,AVP,,AVP,AVP,0.0,,,,,,,,443010000.0,no_flip_event,,,,,other,0,False
870385,CAROLINA FINANCIAL CORP,,2019-12-31,2020-01-03,0001552781-20-000048,"2.01,5.02,9.01",6022.0,8-K,,,6022.0,State Commercial Banks,CAROLINA FINANCIAL CORP,,2017-10-24,425,6,2019-04-26,2019-04-24,True,False,False,"Carolina Trust BancShares, Inc",CARO,CARO,,,,,,False,False,,CARO,,CARO,CARO,0.0,True,,6022.0,STATE COMMERCIAL BANKS,Carolina Financial Corp.,,,22310000.0,no_flip_event,,,,,fintech,1,True
1113481,MEDICINES CO /DE,,2020-01-06,2020-01-06,0001104659-20-001367,"1.01,2.01,2.04,3.03,5.01,5.02,5.03,8.01,9.01",2834.0,8-K,,,2834.0,Pharmaceutical Preparations,MEDICINES CO /DE,MEDICINES CO/ MA,,,11,2019-06-05,2019-05-30,False,False,False,,MDCO,MDCO,,,,,,False,False,,MDCO,,MDCO,MDCO,0.0,,,,,,,,73890000.0,no_flip_event,,,,,other,1,False
764897,"Broad Street Realty, Inc.",BRST,2019-12-31,2020-01-06,0001437749-20-000232,"2.01,3.02,9.01",6500.0,8-K,BRST,OTC,6500.0,Real Estate,"Broad Street Realty, Inc.",MedAmerica Properties Inc.; Banyan Rail Services Inc.; BHIT INC; BANYAN HOTEL INVESTMENT FUND,,,2,2019-05-17,2019-05-16,False,False,True,"May 28, 2019",,,4700000.0,,0.25,,near8k,False,True,0.25,BRST,,BRST,,2.0,True,,,,BROAD STREET REALTY INC,,,,no_flip_event,,,,0.25,real_estate,1,False
1359931,"ArTara Therapeutics, Inc.",TARA,2020-01-06,2020-01-10,0001104659-20-003115,"2.01,5.01,5.02,5.03,5.05,5.07,5.08,8.01,9.01",2836.0,8-K,TARA,Nasdaq,2836.0,"Biological Products, (No Diagnostic Substances)","Protara Therapeutics, Inc.","Protara Therapeutics, Inc.; ArTara Therapeutics, Inc.; PROTEON THERAPEUTICS INC",2019-09-23,425,6,2020-01-10,2020-01-06,True,False,True,"ArTara Subsidiary, Inc",PRTO,TARA,,,,,,False,False,,TARA,2020-01-10,TARA,PRTO,1.0,True,2020-01-10,2836.0,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)","Protara Therapeutics, Inc. Common Stock",242802303.84,,22180000.0,ok,first_aggs_bar,,,,biotech_health,10,False
1413507,SRC Energy Inc.,,2020-01-13,2020-01-14,0001104659-20-003821,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",1311.0,8-K,,,1311.0,Crude Petroleum & Natural Gas,SRC Energy Inc.,"SYNERGY RESOURCES CORP; SYNERGY RESOURCES Corp; Brishlin Resources, Inc.; Blue Star Energy Inc",2019-08-26,425,10,2020-01-13,2020-01-13,True,False,False,"PDC Energy, Inc",SRCI,SRCI,,,,,,False,False,,SRCI,,SRCI,SRCI,0.0,,,,,,,,243570000.0,no_flip_event,,,,,other,1,False
1713952,"Vivint Smart Home, Inc.",,2020-01-17,2020-01-24,0001193125-20-014373,"2.01,3.02,3.03,4.01,5.01,5.02,5.03,5.06,9.01",6770.0,8-K,,,7381.0,"Services-Detective, Guard & Armored Car Services","Vivint Smart Home, Inc.",Mosaic Acquisition Corp.,2019-09-16,425,4,2020-01-24,2020-01-17,True,True,True,Legacy Vivint Smart Home surviving as the surviving company,MOSC,VVNT,31074592.0,,,10.0,super8k,True,True,,VVNT,2020-01-21,VVNT,MOSC,0.0,True,2020-01-21,6770.0,BLANK CHECKS,"Vivint Smart Home, Inc. Class A Common Stock",2440035580.5,,34500000.0,ok,first_aggs_bar,90.1,3425408.0,90.1,consumer,1,False
707886,UNITED COMMUNITY FINANCIAL CORP,,2020-01-31,2020-02-03,0001193125-20-022208,"2.01,3.01,3.03,5.01,5.02,8.01,9.01",6036.0,8-K,,,6036.0,"Savings Institutions, Not Federally Chartered",UNITED COMMUNITY FINANCIAL CORP,,2019-09-09,425,12,2019-12-10,2019-12-10,True,False,False,UCFC with and into FDEF,UCFC,UCFC,,,,,,False,False,,UCFC,,UCFC,UCFC,0.0,,,,,,,,48110000.0,no_flip_event,,,,,other,0,False
946647,FIRST DEFIANCE FINANCIAL CORP,PFC,2020-01-31,2020-02-03,0001193125-20-022210,"2.01,3.03,5.03,8.01,9.01",6035.0,8-K,,,6022.0,State Commercial Banks,PREMIER FINANCIAL CORP,FIRST DEFIANCE FINANCIAL CORP,2019-09-09,425,13,2019-12-10,2019-12-10,True,False,True,United Community Financial Corp,FDEF,FDEF,,,,,,False,False,,PFC,,FDEF,FDEF,0.0,,,,,,,,19730000.0,no_flip_event,,,,,other,0,False
1642380,OncoCyte Corp,OCX,2020-01-31,2020-02-05,0001493152-20-001618,"2.01,3.02,7.01,9.01",2835.0,8-K,IMDX,Nasdaq,2835.0,In Vitro & In Vivo Diagnostic Substances,Insight Molecular Diagnostics Inc.,OncoCyte Corp; Oncocyte Corp,,,4,2019-07-23,2019-07-17,False,False,False,,OCX,OCX,,,,,,False,False,,IMDX,,OCX,OCX,2.0,True,2015-12-30,2835.0,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,Insight Molecular Diagnostics Inc. Common Stock,164034048.36,,51970000.0,no_flip_event,,,,,biotech_health,6,False
1674101,Vertiv Holdings Co,VRT,2020-02-07,2020-02-07,0001193125-20-028315,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.06,9.01",3679.0,8-K,VRT,NYSE,3679.0,"Electronic Components, NEC",Vertiv Holdings Co,GS Acquisition Holdings Corp,2019-12-10,PREM14A,1,2020-02-06,2020-02-06,False,False,True,"Merger, dated as of December 10, 2019",GSAH,VRT,250.0,,,,llm,False,True,0.0,VRT,2020-02-10,VRT,GSAH,1.0,True,2018-07-30,3679.0,"ELECTRONIC COMPONENTS, NEC",Vertiv Holdings Co Class A Common Stock,122476937069.76,,69000000.0,ok,ticker_event,0.0,68999750.0,0.0,industrial,1,False
1643988,"Interlink Plus, Inc.",LPTV,2020-01-31,2020-02-07,0001393905-20-000041,"1.01,2.01,3.02,5.01,5.02,5.03,7.01,8.01,9.01",7363.0,8-K,,,7363.0,Services-Help Supply Services,"Loop Media, Inc.","Interlink Plus, Inc.",,,0,,,False,False,True,"Mesa Energy, Inc",,,,,,,,False,False,,LPTV,,LPTV,,0.0,,,,,,,,,no_flip_event,,,,,other,0,False
1720592,Repay Holdings Corp,RPAY,2020-02-10,2020-02-10,0001193125-20-029800,"1.01,2.01,2.03,7.01,9.01",7389.0,8-K,RPAY,Nasdaq,7389.0,"Services-Business Services, NEC",Repay Holdings Corp,Thunder Bridge Acquisition Ltd,2019-01-22,425,1,2019-07-10,2019-07-10,True,False,True,,RPAY,RPAY,0.0,,,11.5,llm,False,True,,RPAY,,RPAY,RPAY,1.0,True,2018-07-17,7389.0,"SERVICES-BUSINESS SERVICES, NEC",Repay Holdings Corporation Class A Common Stock,337827884.16,,,no_flip_event,,,,,fintech,8,True
1610114,New Senior Investment Group Inc.,,2020-02-10,2020-02-11,0001193125-20-031374,"1.01,1.02,2.01,2.03,8.01,9.01",6798.0,8-K,,,6798.0,Real Estate Investment Trusts,New Senior Investment Group Inc.,,,,5,2019-06-13,2019-06-12,False,False,False,,SNR,SNR,,,,,,False,False,,SNR,,SNR,SNR,0.0,True,,6798.0,REAL ESTATE INVESTMENT TRUSTS,NEW SENIOR INVESTMENT GROUP INC.,,,82210000.0,no_flip_event,,,,,real_estate,3,False
1358633,"Intelligent Buying, Inc.",SNBH,2020-02-12,2020-02-14,0001553350-20-000166,"1.01,1.02,2.01,3.02,4.01,5.01,5.02,5.06,9.01",5734.0,8-K,SNBH,OTC,5734.0,Retail-Computer & Computer Software Stores,SENTIENT BRANDS HOLDINGS INC.,"Intelligent Buying, Inc.",,,0,,,False,False,True,,,,,,,,,False,False,,SNBH,,SNBH,,1.0,True,,,,SENTIENT BRANDS HLDGS INC,,,,no_flip_event,,,,,consumer,2,False
1751143,"ATLAS TECHNICAL CONSULTANTS, INC.",,2020-02-14,2020-02-14,0001213900-20-004006,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.06,9.01",6770.0,8-K,,,8742.0,Services-Management Consulting Services,"ATLAS TECHNICAL CONSULTANTS, INC.",Boxwood Merger Corp.,2019-08-20,PREM14A,5,2020-02-10,2020-02-10,False,True,True,,BWMC,ATCX,,,3.0,10.26,super8k,False,True,3.0,ATCX,2020-02-18,ATCX,BWMC,2.0,True,2018-07-03,,,Atlas Critical Minerals Corporation Common Stock,18940320.34,,20250000.0,ok,first_aggs_bar,,,3.0,energy,1,False
1720821,PAE Inc,,2020-02-10,2020-02-14,0001193125-20-038383,"1.01,2.01,2.03,3.02,3.03,4.01,5.02,5.06,9.01",8700.0,8-K,,,8700.0,"Services-Engineering, Accounting, Research, Management",PAE Inc,"Gores Holdings III, Inc.",2019-11-22,PREM14A,1,2020-02-13,2020-02-07,False,False,True,Shay continuing as the surviving corporation,GRSH,PAE,0.0,,,,llm,True,True,,PAE,2020-02-11,PAE,GRSH,0.0,True,2018-10-29,8700.0,"SERVICES-ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT",PAE Incorporated Class A Common Stock,628541329.5,,40000000.0,ok,first_aggs_bar,0.0,40000000.0,0.0,industrial,0,False
1451512,Terra Tech Corp.,,2020-02-14,2020-02-18,0001477932-20-000778,"1.01,2.01,3.02,3.03,5.02,8.01,9.01",3510.0,8-K,,,5900.0,Retail-Miscellaneous Retail,"Unrivaled Brands, Inc.","Terra Tech Corp.; PRIVATE SECRETARY, INC.",,,4,2019-09-24,2019-09-23,False,False,False,OneQor as the surviving company in the proposed merger,,,,,,,,False,False,,,,,,,,,,,,,,,no_ticker,,,,,consumer,2,False
789570,MGM Resorts International,MGM,2020-02-14,2020-02-18,0001193125-20-040601,"1.01,2.01,2.03,9.01",7011.0,8-K,MGM,NYSE,7011.0,Hotels & Motels,MGM Resorts International,MGM MIRAGE; MGM GRAND INC,1999-01-21,S-4,10,2019-05-03,2019-05-01,False,False,False,,MGM,MGM,,,,,,False,False,,MGM,,MGM,MGM,2.0,True,1997-11-12,7011.0,HOTELS & MOTELS,MGM RESORTS INTERNATIONAL,11994305896.8,,536920000.0,no_flip_event,,,,,real_estate,2,False
1029730,LADENBURG THALMANN FINANCIAL SERVICES INC.,,2020-02-14,2020-02-18,0001493152-20-002589,"1.01,2.01,2.03,3.01,3.03,5.01,5.02,7.01,9.01",6211.0,8-K,,,6211.0,"Security Brokers, Dealers & Flotation Companies",LADENBURG THALMANN FINANCIAL SERVICES INC.,LADENBURG THALMANN FINANCIAL SERVICES INC; THALMANN FINANCIAL SERVICES INC; GBI CAPITAL MANAGEMENT CORP; FROST HANNA CAPITAL GROUP INC,1999-07-02,PREM14A,12,2020-01-31,2020-01-31,False,False,False,,LTS,LTS,,,10.75,25.0,super8k,False,False,10.75,LTS,,LTSF,LTS,0.0,,,,,,,,149170000.0,no_flip_event,,,,10.75,other,0,False
1656936,MGM Growth Properties LLC,,2020-02-14,2020-02-18,0001193125-20-040600,"1.01,2.01,2.03,3.02,9.01",6798.0,8-K,,,6798.0,Real Estate Investment Trusts,MGM Growth Properties LLC,,2018-01-16,425,3,2019-05-03,2019-05-01,True,False,False,,MGP,MGP,,,3.0,,near8k,False,True,3.0,MGP,,MGP,MGP,0.0,True,2016-04-20,6798.0,REAL ESTATE INVESTMENT TRUSTS,MGM Growth Properties LLC  Class A common shares representing limited liability company interests,3874222424.82,,90460000.0,no_flip_event,,,,3.0,real_estate,5,False
1738758,GLORY STAR NEW MEDIA GROUP HOLDINGS Ltd,"CHR, GSMGW",2020-02-14,2020-02-21,0001213900-20-004520,"1.01,2.01,3.02,4.01,5.01,5.02,5.03,5.06,9.01",6770.0,8-K,CHR,Nasdaq,7374.0,Services-Computer Processing & Data Preparation,"Cheer Holding, Inc.",GLORY STAR NEW MEDIA GROUP HOLDINGS Ltd; TKK SYMPHONY ACQUISITION Corp,,,1,2019-12-26,2019-12-23,False,True,True,,TKKS,GSMG,,,,,,False,True,,CHR,2020-02-19,GSMG,TKKS,1.0,True,2018-09-12,7374.0,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"Cheer Holding, Inc. Class A Ordinary Share",3543269.76,,31450000.0,ok,first_aggs_bar,,,,software_ai,2,True
1108645,FRONTIER OILFIELD SERVICES INC,CIPI,2020-02-28,2020-03-06,0001387131-20-002634,"1.01,2.01,3.03,5.01,5.03,8.01,9.01",1382.0,8-K,,,8711.0,Services-Engineering Services,Correlate Energy Corp.,"Correlate Infrastructure Partners, Inc.; TRICCAR INC.; FRONTIER OILFIELD SERVICES INC; TBX RESOURCES INC",,,0,,,False,False,False,,,,,,56.0,,super8k,False,False,56.0,CIPI,,CIPI,,3.0,True,,,,CORRELATE ENERGY CORP,,,,no_flip_event,,,,56.0,energy,0,False
1743725,"GRID DYNAMICS HOLDINGS, INC.",GDYN,2020-03-05,2020-03-09,0001213900-20-005742,"2.01,3.01,3.03,5.01,5.02,5.06,9.01",7372.0,8-K,GDYN,Nasdaq,7372.0,Services-Prepackaged Software,"GRID DYNAMICS HOLDINGS, INC.",ChaSerg Technology Acquisition Corp,2019-11-27,PREM14A,2,2020-03-05,2020-03-04,False,False,True,"Merger, dated as of November 13, 2019",CTAC,GDYN,51715.0,,,10.21,super8k,False,True,,GDYN,2020-03-06,GDYN,CTAC,1.0,True,2020-03-06,7372.0,SERVICES-PREPACKAGED SOFTWARE,"Grid Dynamics Holdings, Inc. Class A Common Stock",490884936.98,,22640000.0,ok,ticker_event,0.2,22588285.0,0.2,software_ai,0,True
730708,SEACOAST BANKING CORP OF FLORIDA,SBCF,2020-03-13,2020-03-13,0000730708-20-000018,"2.01,8.01,9.01",6022.0,8-K,SBCF,Nasdaq,6022.0,State Commercial Banks,SEACOAST BANKING CORP OF FLORIDA,,2018-06-12,425,12,2019-05-29,2019-05-24,True,False,False,First Bank of the Palm Beaches,SBCF,SBCF,,,,,,False,False,,SBCF,,SBCF,SBCF,1.0,True,1984-02-02,6022.0,STATE COMMERCIAL BANKS,Seacoast Banking Corp of Florida,3201363734.24,,51410000.0,no_flip_event,,,,,fintech,1,True
1561660,Pattern Energy Group Inc.,,2020-03-16,2020-03-16,0001193125-20-075014,"2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",4911.0,8-K,,,4911.0,Electric Services,Pattern Energy Group Inc.,,2019-12-13,PREM14A,7,2020-03-12,2020-03-10,False,False,False,Company Common Stock,,,,,,,,False,False,,,,,,,,,,,,,,,no_ticker,,,,,other,0,False
