cik,company_name,tickers,close_date,super8k_date,super8k_adsh,items,sic_at_filing,form,ticker_current,exchange,sic_current,sic_desc,entity_name,former_names,ann_date,ann_source,n_vote_8ks,vote_8k_date,vote_date,has_425,sic_6770_at_close,name_change_near_close,target_name,old_ticker_edgar,new_ticker_edgar,redeemed_shares,remaining_shares,redemption_pct_stated,trust_per_share,redemption_source,mentions_trust,is_spac,redemption_pct,new_ticker,flip_date,flip_ticker,old_ticker,n_ticker_events,polygon_active,list_date,sic_code,sic_description,polygon_name,market_cap_now,delisted_utc,public_shares_pre_vote,enrich_status,flip_source,redemption_pct_final,post_redeem_float_est,redemption_pct_best,sector,sector_margin,is_hightech,ann_day0_date,ann_prev_close,ann_gap_pct,ann_day0_ret_pct,ann_2d_high_ret_pct,ann_day0_vol_mult,ann_to_vote_ret_pct,vote_day_close,last_old_date,last_old_close,vote_to_lastold_ret_pct,flip_day0_date,flip_open,flip_close,flip_high,flip_volume,flip_gap_pct,flip_day_ret_pct,flip_high_ret_pct,post_flip_ret_1d_pct,post_flip_ret_3d_pct,post_flip_ret_5d_pct,post_flip_ret_10d_pct,max_runup_10d_pct,max_drawdown_10d_pct,untraded_gap_days,flip_lag_cal_days,split_at_flip,theme,year,era,premium_entry,high_redemption,ann_popped
1713952,"Vivint Smart Home, Inc.",,2020-01-17,2020-01-24,0001193125-20-014373,"2.01,3.02,3.03,4.01,5.01,5.02,5.03,5.06,9.01",6770.0,8-K,,,7381.0,"Services-Detective, Guard & Armored Car Services","Vivint Smart Home, Inc.",Mosaic Acquisition Corp.,2019-09-16,425,4,2020-01-24,2020-01-17,True,True,True,Legacy Vivint Smart Home surviving as the surviving company,MOSC,VVNT,31074592.0,,,10.0,super8k,True,True,,VVNT,2020-01-21,VVNT,MOSC,0.0,True,2020-01-21,6770.0,BLANK CHECKS,"Vivint Smart Home, Inc. Class A Common Stock",2440035580.5,,34500000.0,ok,first_aggs_bar,90.1,3425408.0,90.1,consumer,1,False,2019-09-16,10.3,0.68,0.49,0.68,298.6,-4.35,9.9,2020-01-17,9.9,0.0,2020-01-21,11.05,10.4,12.6,493299.0,11.62,5.05,27.27,16.16,18.38,19.19,29.8,141.01,4.65,1.0,4.0,False,other,2020,2020-21,False,True,False
1674101,Vertiv Holdings Co,VRT,2020-02-07,2020-02-07,0001193125-20-028315,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.06,9.01",3679.0,8-K,VRT,NYSE,3679.0,"Electronic Components, NEC",Vertiv Holdings Co,GS Acquisition Holdings Corp,2019-12-10,PREM14A,1,2020-02-06,2020-02-06,False,False,True,"Merger, dated as of December 10, 2019",GSAH,VRT,250.0,,,,llm,False,True,0.0,VRT,2020-02-10,VRT,GSAH,1.0,True,2018-07-30,3679.0,"ELECTRONIC COMPONENTS, NEC",Vertiv Holdings Co Class A Common Stock,122476937069.76,,69000000.0,ok,ticker_event,0.0,68999750.0,0.0,industrial,1,False,2019-12-10,10.45,2.49,1.63,6.22,254.9,21.09,12.86,2020-02-07,12.88,0.16,2020-02-10,13.2,13.0,13.43,738952.0,2.48,0.93,4.27,-1.01,-1.63,3.57,-2.95,6.75,-6.13,0.0,3.0,False,other,2020,2020-21,True,False,True
1751143,"ATLAS TECHNICAL CONSULTANTS, INC.",,2020-02-14,2020-02-14,0001213900-20-004006,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.06,9.01",6770.0,8-K,,,8742.0,Services-Management Consulting Services,"ATLAS TECHNICAL CONSULTANTS, INC.",Boxwood Merger Corp.,2019-08-20,PREM14A,5,2020-02-10,2020-02-10,False,True,True,,BWMC,ATCX,,,3.0,10.26,super8k,False,True,3.0,ATCX,2020-02-18,ATCX,BWMC,2.0,True,2018-07-03,,,Atlas Critical Minerals Corporation Common Stock,18940320.34,,20250000.0,ok,first_aggs_bar,,,3.0,energy,1,False,2019-08-20,10.0416,-0.02,0.08,0.15,114.8,0.54,10.1047,2020-02-14,10.0756,-0.29,2020-02-18,10.4767,13.0,14.1445,120742.0,3.98,29.02,40.38,18.6,-3.54,-5.71,-0.45,40.38,-12.86,1.0,4.0,False,nuclear,2020,2020-21,False,False,False
1720821,PAE Inc,,2020-02-10,2020-02-14,0001193125-20-038383,"1.01,2.01,2.03,3.02,3.03,4.01,5.02,5.06,9.01",8700.0,8-K,,,8700.0,"Services-Engineering, Accounting, Research, Management",PAE Inc,"Gores Holdings III, Inc.",2019-11-22,PREM14A,1,2020-02-13,2020-02-07,False,False,True,Shay continuing as the surviving corporation,GRSH,PAE,0.0,,,,llm,True,True,,PAE,2020-02-11,PAE,GRSH,0.0,True,2018-10-29,8700.0,"SERVICES-ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT",PAE Incorporated Class A Common Stock,628541329.5,,40000000.0,ok,first_aggs_bar,0.0,40000000.0,0.0,industrial,0,False,2019-11-22,10.25,0.29,0.2,0.29,0.3,7.69,11.06,2020-02-10,11.15,0.81,2020-02-11,11.15,11.5,11.5921,1385316.0,0.0,3.14,3.97,4.04,4.04,5.02,1.61,14.44,-1.26,0.0,1.0,False,other,2020,2020-21,True,False,False
1738758,GLORY STAR NEW MEDIA GROUP HOLDINGS Ltd,"CHR, GSMGW",2020-02-14,2020-02-21,0001213900-20-004520,"1.01,2.01,3.02,4.01,5.01,5.02,5.03,5.06,9.01",6770.0,8-K,CHR,Nasdaq,7374.0,Services-Computer Processing & Data Preparation,"Cheer Holding, Inc.",GLORY STAR NEW MEDIA GROUP HOLDINGS Ltd; TKK SYMPHONY ACQUISITION Corp,,,1,2019-12-26,2019-12-23,False,True,True,,TKKS,GSMG,,,,,,False,True,,CHR,2020-02-19,GSMG,TKKS,1.0,True,2018-09-12,7374.0,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,"Cheer Holding, Inc. Class A Ordinary Share",3543269.76,,31450000.0,ok,first_aggs_bar,,,,software_ai,2,True,,,,,,,,,2020-02-18,6.9,,2020-02-19,3.69,2.305,3.74,547175.0,-46.52,-66.59,-45.8,-70.36,-72.46,-75.94,-73.91,-45.8,-78.84,0.0,5.0,False,ai,2020,2020-21,False,False,False
1743725,"GRID DYNAMICS HOLDINGS, INC.",GDYN,2020-03-05,2020-03-09,0001213900-20-005742,"2.01,3.01,3.03,5.01,5.02,5.06,9.01",7372.0,8-K,GDYN,Nasdaq,7372.0,Services-Prepackaged Software,"GRID DYNAMICS HOLDINGS, INC.",ChaSerg Technology Acquisition Corp,2019-11-27,PREM14A,2,2020-03-05,2020-03-04,False,False,True,"Merger, dated as of November 13, 2019",CTAC,GDYN,51715.0,,,10.21,super8k,False,True,,GDYN,2020-03-06,GDYN,CTAC,1.0,True,2020-03-06,7372.0,SERVICES-PREPACKAGED SOFTWARE,"Grid Dynamics Holdings, Inc. Class A Common Stock",490884936.98,,22640000.0,ok,ticker_event,0.2,22588285.0,0.2,software_ai,0,True,2019-11-27,10.73,0.19,2.05,2.52,4.1,9.59,12.0,2020-03-05,12.0,0.0,2020-03-06,12.49,11.71,12.49,361549.0,4.08,-2.42,4.08,-17.08,-24.33,-31.17,-52.5,4.08,-61.58,0.0,1.0,False,media,2020,2020-21,True,False,False
1772757,DraftKings Inc.,,2020-04-23,2020-04-29,0001104659-20-052633,"1.01,2.01,3.02,4.01,5.01,5.02,5.06,9.01",7990.0,8-K,,,7990.0,Services-Miscellaneous Amusement & Recreation,DraftKings Holdings Inc.,DraftKings Inc.; Diamond Eagle Acquisition Corp. \ DE,2019-12-23,425,1,2020-04-23,2020-04-23,True,False,True,"March 12, 2020, by and among DEAC and DEAC NV",DEAC,DKNG,8928.0,,,10.12,llm,False,True,,DKNG,2020-04-24,DKNG,DEAC,1.0,True,2020-04-24,7990.0,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,DraftKings Inc. Class A Common Stock,13135010430.075,,40000000.0,ok,first_aggs_bar,0.0,39991072.0,0.0,media_gaming,4,False,2019-12-23,10.17,6.19,6.59,8.55,421.6,61.72,17.53,2020-04-23,17.53,0.0,2020-04-24,20.4937,19.35,20.75,11475270.0,16.91,10.38,18.37,11.35,10.67,14.77,33.77,53.17,0.4,0.0,1.0,False,betting_gaming,2020,2020-21,True,False,True
1753673,Scienjoy Holding Corp,SJ,2020-05-07,2020-05-13,0001213900-20-011974,"1.01,2.01,3.02,4.01,5.01,5.02,5.03,5.06,9.01",7374.0,8-K,SJ,Nasdaq,7374.0,Services-Computer Processing & Data Preparation,Scienjoy Holding Corp,Wealthbridge Acquisition Ltd,2019-12-06,PREM14A,1,2020-05-05,2020-05-05,False,False,True,,HHHH,SJ,5208150.0,,,,llm,False,True,,SJ,2020-05-11,SJ,HHHH,1.0,True,2020-05-11,7374.0,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,Scienjoy Holding Corporation Class A Ordinary Shares,45010534.080000006,,7460000.0,ok,ticker_event,69.8,2251850.0,69.8,media_gaming,6,False,2019-12-06,10.12,0.1,0.2,0.3,0.3,-12.23,8.9,2020-05-08,9.55,7.3,2020-05-11,9.89,8.95,9.91,19062.0,3.56,-6.28,3.77,-14.4,-26.6,-31.52,-34.24,3.77,-41.88,0.0,4.0,False,media,2020,2020-21,False,False,False
1731289,Nikola Corp,NKLA,2020-06-03,2020-06-08,0001104659-20-070923,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.06,9.01",3711.0,8-K,,,3711.0,Motor Vehicles & Passenger Car Bodies,Nikola Corp,Nikola Corp; VectoIQ Acquisition Corp.,2020-03-03,425,2,2020-06-02,2020-06-02,True,False,True,Legacy Nikola surviving as the surviving company and as,VTIQ,,7000000.0,,5.0,10.0,super8k,False,True,5.0,NKLA,2020-06-04,NKLA,VTIQ,0.0,True,2020-06-04,3711.0,MOTOR VEHICLES & PASSENGER CAR BODIES,Nikola Corporation Common Stock,12206560530.0,,29640000.0,ok,first_aggs_bar,23.6,22640000.0,23.6,ev_mobility,1,True,2020-03-03,10.35,12.46,11.11,49.28,356.6,172.78,31.37,2020-06-03,33.97,8.29,2020-06-04,37.55,33.75,38.88,16566609.0,10.54,-0.65,14.45,5.89,134.71,78.1,99.38,176.69,-8.01,0.0,1.0,False,other,2020,2020-21,True,False,True
1647088,WillScot Mobile Mini Holdings Corp.,WSC,2020-06-30,2020-07-01,0001104659-20-079826,"1.01,1.02,2.01,2.03,3.01,3.02,5.03,9.01",7350.0,8-K,WSC,Nasdaq,7350.0,Services-Miscellaneous Equipment Rental & Leasing,WillScot Holdings Corp,WillScot Mobile Mini Holdings Corp.; WillScot Corp; Double Eagle Acquisition Corp.; Double Eagle Acquisitions Corp.,2020-03-02,425,7,2020-06-24,2020-06-24,True,False,True,,WSC,WSC,,,5.875,,super8k,False,True,5.875,WSC,2020-07-02,WSC,WSC,1.0,True,2011-07-14,7350.0,SERVICES-MISCELLANEOUS EQUIPMENT RENTAL & LEASING,WillScot Holdings Corporation Class A Common Stock,4749300376.96,,110560000.0,ok,ticker_event,,,5.875,industrial,1,False,2020-03-02,17.54,-0.23,-2.34,3.59,15.3,-16.35,14.33,2020-07-01,13.115,-8.48,2020-07-02,13.45,13.15,13.75,3779283.0,2.55,0.27,4.84,0.34,-5.6,-6.21,8.65,8.73,-11.02,0.0,2.0,False,space,2020,2020-21,True,False,False
