cik,ticker_current,exchange,sic_current,sic_desc,entity_name,former_names,ann_date,ann_source,n_vote_8ks,vote_8k_date,vote_date,has_425,sic_6770_at_close,name_change_near_close,target_name,old_ticker_edgar,new_ticker_edgar,redeemed_shares,remaining_shares,redemption_pct_stated,trust_per_share,redemption_source,mentions_trust,is_spac,redemption_pct
1478454,EBMT,Nasdaq,6022,State Commercial Banks,"Eagle Bancorp Montana, Inc.",,2017-09-06,425,13,2019-05-20,2019-05-16,True,False,False,Western Holding Company of Wolf Point,EBMT,EBMT,,,,,,False,False,
1412707,,,6022,State Commercial Banks,Level One Bancorp Inc,,,,1,2019-05-17,2019-05-15,False,False,False,"Merger, dated as of August 12, 2019",,,,,,,,False,False,
859070,FCBC,Nasdaq,6022,State Commercial Banks,FIRST COMMUNITY BANKSHARES INC /VA/,FIRST COMMUNITY BANCSHARES INC /NV/; FCFT INC,2019-09-11,425,10,2019-05-28,2019-05-21,True,False,False,"Highlands Bankshares, Inc",FCBC,FCBC,,,,,,False,False,
8868,,,2844,"Perfumes, Cosmetics & Other Toilet Preparations",AVON PRODUCTS INC,,2019-05-22,425,16,2019-11-13,2019-11-13,True,False,False,"Mergers, dated as of May 22, 2019",AVP,AVP,,,,,,False,False,
870385,,,6022,State Commercial Banks,CAROLINA FINANCIAL CORP,,2017-10-24,425,6,2019-04-26,2019-04-24,True,False,False,"Carolina Trust BancShares, Inc",CARO,CARO,,,,,,False,False,
1113481,,,2834,Pharmaceutical Preparations,MEDICINES CO /DE,MEDICINES CO/ MA,,,11,2019-06-05,2019-05-30,False,False,False,,MDCO,MDCO,,,,,,False,False,
764897,BRST,OTC,6500,Real Estate,"Broad Street Realty, Inc.",MedAmerica Properties Inc.; Banyan Rail Services Inc.; BHIT INC; BANYAN HOTEL INVESTMENT FUND,,,2,2019-05-17,2019-05-16,False,False,True,"May 28, 2019",,,4700000.0,,0.25,,near8k,False,True,0.25
1359931,TARA,Nasdaq,2836,"Biological Products, (No Diagnostic Substances)","Protara Therapeutics, Inc.","Protara Therapeutics, Inc.; ArTara Therapeutics, Inc.; PROTEON THERAPEUTICS INC",2019-09-23,425,6,2020-01-10,2020-01-06,True,False,True,"ArTara Subsidiary, Inc",PRTO,TARA,,,,,,False,False,
1413507,,,1311,Crude Petroleum & Natural Gas,SRC Energy Inc.,"SYNERGY RESOURCES CORP; SYNERGY RESOURCES Corp; Brishlin Resources, Inc.; Blue Star Energy Inc",2019-08-26,425,10,2020-01-13,2020-01-13,True,False,False,"PDC Energy, Inc",SRCI,SRCI,,,,,,False,False,
1713952,,,7381,"Services-Detective, Guard & Armored Car Services","Vivint Smart Home, Inc.",Mosaic Acquisition Corp.,2019-09-16,425,4,2020-01-24,2020-01-17,True,True,True,Legacy Vivint Smart Home surviving as the surviving company,MOSC,VVNT,31074592.0,,,10.0,super8k,True,True,
