cik,company_name,tickers,close_date,super8k_date,super8k_adsh,items,sic_at_filing,form
1478454,"Eagle Bancorp Montana, Inc.",EBMT,2020-01-01,2020-01-02,0001171843-20-000007,"2.01,7.01,9.01",6022,8-K
1412707,Level One Bancorp Inc,,2020-01-02,2020-01-02,0001412707-20-000004,"2.01,5.02,7.01,9.01",6022,8-K
859070,FIRST COMMUNITY BANKSHARES INC /VA/,FCBC,2019-12-31,2020-01-02,0001437749-20-000056,"2.01,8.01,9.01",6022,8-K
8868,AVON PRODUCTS INC,,2020-01-03,2020-01-03,0000950157-20-000022,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",2844,8-K
870385,CAROLINA FINANCIAL CORP,,2019-12-31,2020-01-03,0001552781-20-000048,"2.01,5.02,9.01",6022,8-K
1113481,MEDICINES CO /DE,,2020-01-06,2020-01-06,0001104659-20-001367,"1.01,2.01,2.04,3.03,5.01,5.02,5.03,8.01,9.01",2834,8-K
764897,"Broad Street Realty, Inc.",BRST,2019-12-31,2020-01-06,0001437749-20-000232,"2.01,3.02,9.01",6500,8-K
1359931,"ArTara Therapeutics, Inc.",TARA,2020-01-06,2020-01-10,0001104659-20-003115,"2.01,5.01,5.02,5.03,5.05,5.07,5.08,8.01,9.01",2836,8-K
1413507,SRC Energy Inc.,,2020-01-13,2020-01-14,0001104659-20-003821,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",1311,8-K
1713952,"Vivint Smart Home, Inc.",,2020-01-17,2020-01-24,0001193125-20-014373,"2.01,3.02,3.03,4.01,5.01,5.02,5.03,5.06,9.01",6770,8-K
707886,UNITED COMMUNITY FINANCIAL CORP,,2020-01-31,2020-02-03,0001193125-20-022208,"2.01,3.01,3.03,5.01,5.02,8.01,9.01",6036,8-K
946647,FIRST DEFIANCE FINANCIAL CORP,PFC,2020-01-31,2020-02-03,0001193125-20-022210,"2.01,3.03,5.03,8.01,9.01",6035,8-K
1642380,OncoCyte Corp,OCX,2020-01-31,2020-02-05,0001493152-20-001618,"2.01,3.02,7.01,9.01",2835,8-K
1674101,Vertiv Holdings Co,VRT,2020-02-07,2020-02-07,0001193125-20-028315,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.06,9.01",3679,8-K
1643988,"Interlink Plus, Inc.",LPTV,2020-01-31,2020-02-07,0001393905-20-000041,"1.01,2.01,3.02,5.01,5.02,5.03,7.01,8.01,9.01",7363,8-K
1720592,Repay Holdings Corp,RPAY,2020-02-10,2020-02-10,0001193125-20-029800,"1.01,2.01,2.03,7.01,9.01",7389,8-K
1610114,New Senior Investment Group Inc.,,2020-02-10,2020-02-11,0001193125-20-031374,"1.01,1.02,2.01,2.03,8.01,9.01",6798,8-K
1358633,"Intelligent Buying, Inc.",SNBH,2020-02-12,2020-02-14,0001553350-20-000166,"1.01,1.02,2.01,3.02,4.01,5.01,5.02,5.06,9.01",5734,8-K
1751143,"ATLAS TECHNICAL CONSULTANTS, INC.",,2020-02-14,2020-02-14,0001213900-20-004006,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.06,9.01",6770,8-K
1720821,PAE Inc,,2020-02-10,2020-02-14,0001193125-20-038383,"1.01,2.01,2.03,3.02,3.03,4.01,5.02,5.06,9.01",8700,8-K
1451512,Terra Tech Corp.,,2020-02-14,2020-02-18,0001477932-20-000778,"1.01,2.01,3.02,3.03,5.02,8.01,9.01",3510,8-K
789570,MGM Resorts International,MGM,2020-02-14,2020-02-18,0001193125-20-040601,"1.01,2.01,2.03,9.01",7011,8-K
1029730,LADENBURG THALMANN FINANCIAL SERVICES INC.,,2020-02-14,2020-02-18,0001493152-20-002589,"1.01,2.01,2.03,3.01,3.03,5.01,5.02,7.01,9.01",6211,8-K
1656936,MGM Growth Properties LLC,,2020-02-14,2020-02-18,0001193125-20-040600,"1.01,2.01,2.03,3.02,9.01",6798,8-K
1738758,GLORY STAR NEW MEDIA GROUP HOLDINGS Ltd,"CHR, GSMGW",2020-02-14,2020-02-21,0001213900-20-004520,"1.01,2.01,3.02,4.01,5.01,5.02,5.03,5.06,9.01",6770,8-K
1108645,FRONTIER OILFIELD SERVICES INC,CIPI,2020-02-28,2020-03-06,0001387131-20-002634,"1.01,2.01,3.03,5.01,5.03,8.01,9.01",1382,8-K
1743725,"GRID DYNAMICS HOLDINGS, INC.",GDYN,2020-03-05,2020-03-09,0001213900-20-005742,"2.01,3.01,3.03,5.01,5.02,5.06,9.01",7372,8-K
730708,SEACOAST BANKING CORP OF FLORIDA,SBCF,2020-03-13,2020-03-13,0000730708-20-000018,"2.01,8.01,9.01",6022,8-K
1561660,Pattern Energy Group Inc.,,2020-03-16,2020-03-16,0001193125-20-075014,"2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",4911,8-K
18498,GENESCO INC,GCO,2020-03-24,2020-03-24,0000018498-20-000012,"1.01,2.01,8.01,9.01",5661,8-K
1630856,Professional Holding Corp.,,2020-03-26,2020-03-27,0001104659-20-039271,"2.01,5.02,8.01,9.01",6021,8-K
1362988,Aircastle LTD,AYR,2020-03-27,2020-03-27,0001140361-20-007240,"2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",7359,8-K
