count,win_rate,avg_pnl,median_pnl,total_pnl,max_win,max_loss,profit_factor,avg_winner,avg_loser,filter,threshold,improvement
7,100.0,40.09,38.95,280.6,58.06,26.94,inf,40.09,0.0,spy_5day_return <= -0.02,-0.02,26.84
9,100.0,35.35,27.96,318.2,58.06,17.08,inf,35.35,0.0,spy_5day_return <= -0.01,-0.01,22.1
12,91.7,27.1,27.45,325.2,58.06,-15.47,22.02,30.97,-15.47,pct_from_9ema >= 1.0,1.0,13.85
13,92.3,25.14,26.94,326.8,58.06,-15.47,22.12,28.52,-15.47,pct_change_15 >= 2.0,2.0,11.89
14,92.9,24.37,25.01,341.2,58.06,-15.47,23.05,27.44,-15.47,pct_change_15 >= 1.5,1.5,11.12
15,93.3,23.77,23.07,356.5,58.06,-15.47,24.04,26.57,-15.47,pct_from_9ema >= 0.75,0.75,10.52
18,94.4,23.37,18.62,420.7,58.06,-15.47,28.2,25.66,-15.47,gap_pct >= 0.2,0.2,10.12
15,93.3,23.04,23.07,345.6,58.06,-15.47,23.34,25.79,-15.47,pct_change_15 >= 1.25,1.25,9.79
16,93.8,22.83,23.12,365.2,58.06,-15.47,24.61,25.38,-15.47,pct_change_30 >= 2.0,2.0,9.58
13,92.3,22.76,23.07,295.9,58.06,-15.47,20.13,25.95,-15.47,pct_from_50mav >= 2.0,2.0,9.51
15,93.3,22.3,26.94,334.6,56.32,-15.47,22.63,25.0,-15.47,day_of_range_pct >= 4.0,4.0,9.05
16,100.0,22.24,18.62,355.9,56.32,2.16,inf,22.24,0.0,percent_of_premarket_vol >= 0.4,0.4,8.99
22,100.0,22.06,18.62,485.3,58.06,1.96,inf,22.06,0.0,prior_day_range_atr >= 3.0,3.0,8.81
15,86.7,22.05,23.07,330.7,58.06,-15.47,13.74,27.44,-12.98,pct_from_20mav >= 1.5,1.5,8.8
16,87.5,21.78,20.4,348.5,58.06,-15.47,14.43,26.74,-12.98,pct_from_50mav >= 1.5,1.5,8.53
22,95.5,21.78,21.85,479.2,58.06,-15.47,31.97,23.55,-15.47,day_of_range_pct >= 3.5,3.5,8.53
12,91.7,21.36,18.73,256.3,58.06,-15.47,17.57,24.71,-15.47,pct_from_50mav >= 2.5,2.5,8.11
23,95.7,21.32,17.73,490.3,58.06,-15.47,32.69,22.99,-15.47,gap_pct >= 0.15,0.15,8.07
27,96.3,21.28,19.5,574.6,58.06,-15.47,38.14,22.69,-15.47,pct_change_3 >= 0.2,0.2,8.03
23,100.0,21.23,17.73,488.4,58.06,1.96,inf,21.23,0.0,prior_day_range_atr >= 2.5,2.5,7.98
14,92.9,21.17,20.07,296.4,56.32,-15.47,20.16,23.99,-15.47,rvol_score >= 4.0,4.0,7.92
20,95.0,21.13,21.76,422.6,58.06,-10.48,41.33,22.79,-10.48,spy_5day_return <= 0,0,7.88
9,88.9,20.54,16.21,184.9,56.32,-15.47,12.95,25.05,-15.47,gap_pct >= 0.3,0.3,7.29
17,94.1,20.41,19.5,347.0,45.31,-15.47,23.43,22.65,-15.47,pct_change_3 >= 0.5,0.5,7.16
