ticker,ipo_date,ipo_price,shares_outstanding,market_cap_at_ipo_price,first_print_price,market_cap_at_open,pct_open_vs_ipo,day_high,time_to_day_high_min,drawdown_from_high_pct,ipo_session_close,next_day_regular_open,pct_move_d1close_to_d2open,pct_move_1m,spy_pct_move_1m,pct_move_2m,spy_pct_move_2m,pct_move_3m,spy_pct_move_3m,pct_move_4m,spy_pct_move_4m,pct_move_5m,spy_pct_move_5m,pct_move_6m,spy_pct_move_6m,pct_move_7m,spy_pct_move_7m,pct_move_8m,spy_pct_move_8m,pct_move_9m,spy_pct_move_9m,pct_move_10m,spy_pct_move_10m,pct_move_15m,spy_pct_move_15m,pct_move_30m,spy_pct_move_30m,corr_ipo_spy_30m
SPOT,4/3/2018,132,208.4852,27520.0464,165.9,34587.69468,0.256818182,169,2,0.123076923,149.94,139.78,-0.067760438,0.016139843,3.88E-05,-0.002833032,3.88E-05,0.00596745,3.88E-05,-0.006690778,7.75E-05,-0.019710669,3.88E-05,-0.009041591,-0.00042639,-0.010395419,-0.000232576,-0.011452682,-0.000232576,-0.021000603,-0.000232576,-0.031766124,-0.000232576,-0.032374925,0.000155051,-0.033453888,-0.000310102,-0.035763697
LYFT,3/29/2019,72,397.9109,28649.5848,87.24,34713.74692,0.211666667,88.6,1,0.129006772,78.36,74.88,-0.044410413,-0.006304448,0,-0.009743237,0,-0.018110958,0,-0.00343879,0,-0.010087116,7.11E-05,-0.008482348,0,-0.009743237,7.11E-05,-0.008321871,0.000106583,0,0.000106583,-0.009628611,0.000106583,-0.014557542,0.000177639,-0.050090555,-0.000177639,0.185551645
UBER,5/10/2019,45,2085.419,93843.855,42,87587.598,-0.066666667,45,0,0.087555556,41.55,38.6546,-0.069684717,0.038547619,-0.001047486,0.033571429,-0.000872905,0.024761905,-0.000872905,0.01452381,-0.000803073,-0.003095238,-0.000803073,-0.020716667,-0.000803073,0.003571429,-0.000803073,0.018809524,-0.001326816,0.007619048,-0.001256983,0.010714286,-0.001326816,0.039285714,-0.001501397,0.06,0.000349162,0.314283023
BIGC,8/5/2020,24,66,1584,68,4488,1.833333333,94.44,17,0.259212198,72,84.15,0.16875,0.125661765,-0.000180805,0.167647059,-0.000210939,0.167647059,-0.000210939,0.167647059,-0.000210939,0.167647059,-0.000331475,0.167647059,-0.000421877,0.161985294,-0.000753352,0.229088235,-0.00066295,0.252794118,-0.000753352,0.279411765,-0.00066295,0.35,-0.000753352,0.176323529,-0.002139521,0.166839812
SNOW,9/16/2020,120,333.7,40044,245,81756.5,1.041666667,319,7,0.275517241,253.93,230.76,-0.091245619,0.127428571,-0.000146473,0.127428571,-5.86E-05,0.127428571,-5.86E-05,0.127428571,2.93E-05,0.127428571,0.000468713,0.127428571,0.000468713,0.219061224,0.000761659,0.157122449,0.000761659,0.195917959,0.000908132,0.177306122,0.001054605,0.13644898,0.001845559,0.009183673,0.002314272,0.227672244
U,9/18/2020,52,422.5179,21970.9308,75,31688.8425,0.442307692,76.79,1,0.127490559,68.35,67.11,-0.018141917,0.006666667,-0.000538101,-0.010666667,-0.000179367,-0.035056,-0.000179367,-0.054266667,-0.000179367,-0.056666667,-2.99E-05,-0.076933333,-0.000119578,-0.068,2.99E-05,-0.064533333,0.000119578,-0.056,0.00026905,-0.061333333,0.000298945,-0.089466667,0.001315357,-0.098,0.001464829,-0.21069359
GDRX,9/23/2020,33,98.58067,3253.16211,46,4534.71082,0.393939394,51.78,217,0.072035535,50.5,49.12,-0.027326733,0.017402174,0.000120882,0.027173913,0.000120882,0.021702174,0.000120882,0.006086957,0.000120882,0,-0.000211544,0.010652174,-0.000211544,0.019347826,-0.000211544,0.04173913,-0.000695074,0.043478261,-0.000695074,0.042391304,-0.000695074,0.063586957,-0.000543971,0.053695652,0.000664853,-0.185978735
DASH,12/9/2020,102,398.6805,40665.411,182,72559.851,0.784313725,195.5,3,0.114066496,189.51,179.71,-0.051712311,0.004285714,-0.000107744,0.027472527,0,0.042728571,-0.000107744,0.027472527,-5.39E-05,0.002967033,5.39E-05,-0.001373626,5.39E-05,0.012472527,5.39E-05,0.000384615,5.39E-05,0.007554945,5.39E-05,0.03510989,-2.69E-05,0.004120879,-0.000296296,-0.024945055,-0.000646465,0.150262444
ABNB,12/10/2020,68,433.0349,29446.3732,146,63223.0954,1.147058824,165,6,0.143939394,144.71,146.55,0.012715085,0.019749315,0.000408608,0.041165068,0.000408608,0.061369863,0.00051757,0.095890411,0.000653773,0.118013699,0.000653773,0.122808219,0.001253065,0.075821918,0.001171343,0.089041096,0.001988559,0.08890411,0.001988559,0.067739726,0.001988559,0.043972603,0.001852356,0.017808219,0.002315445,0.079135152
RBLX,3/10/2021,45,645.033,29026.485,64.5,41604.6285,0.433333333,74.83,17,0.088734465,69.5,74.93,0.078129496,0.02248062,-0.000232252,0.030852713,-0.000335475,0.034573643,-0.000877397,0.060155039,-0.000567727,0.069767442,-0.000154835,0.085271318,-0.000309669,0.100784496,-0.000309669,0.129924031,-0.000232252,0.12124031,-0.000232252,0.117829457,-0.000567727,0.125426357,0.000103223,0.088373643,0.000232252,-0.243120531
CPNG,3/11/2021,35,1665.262,58284.17,63.5,105744.137,0.814285714,69,0,0.285652174,49.25,52.54,0.06680203,-0.016062992,0.000918367,-0.025502362,0.000918367,-0.024411024,0.000969388,-0.043307087,0.000561224,-0.049448819,0.000714286,-0.077743307,0.000739796,-0.076220472,0.000739796,-0.084566929,0.000739796,-0.102677165,0.000867347,-0.105984252,0.000841837,-0.103464567,0.001377551,-0.133543307,0.001428571,-0.215249134
COIN,4/14/2021,250,215.1591,53789.775,381,81975.6171,0.524,429.54,9,0.278297714,328.28,348.9,0.062812233,0.036101312,0.000217949,0.04976378,0.000217949,0.062834646,0.000217949,0.07511811,0.000217949,0.089238845,0.000339032,0.089133858,0.000339032,0.110183727,0.000508548,0.114732283,0.000508548,0.114855643,0.000484332,0.063599475,0.000484332,0.051784777,0.000581198,0.005249081,0.000702281,0.119927656
DOCS,6/24/2021,26,136.4976,3548.9376,41.17,5619.606192,0.583461538,53.96,163,0.061341735,53,50,-0.056603774,0.084406121,0.00080219,0.076026233,0.001085315,0.030847705,0.001085315,0.034976925,0.000849377,0.045421423,0.001321253,0.028661647,0.001321253,0.01348069,0.001321253,0.030361914,0.001321253,0.043206218,0.001321253,0.02744717,0.001321253,0.038134564,0.001061721,0.015788195,0.001462816,-0.258604862
HOOD,7/29/2021,38,773.9637,29410.6206,38,29410.6206,0,40.25,1,0.171428571,34.82,34.93,0.003159104,0.016660526,0.000706263,-0.005773684,0.000842959,-0.018684211,0.000842959,-0.026578947,0.000842959,-0.028157895,0.000842959,-0.034210526,0.000842959,-0.048026316,0.000478436,-0.056205263,0.000706263,-0.067455263,0.000706263,-0.073423684,0.000706263,-0.094094737,0.000706263,-0.072105263,0.000660698,0.030961439
RIVN,11/10/2021,78,1209.522,94342.716,106.75,129116.4735,0.368589744,119.46,15,0.203080529,100.73,114.625,0.137943016,0.006088993,0.000685945,0.047868852,0.00055733,0.027728337,0.00055733,0.010117096,0.000450151,0.020936768,0.000450151,0.02941452,0.000900302,0.032880562,0.000793123,0.060515222,0.000793123,0.053489461,0.000793123,0.0929274,0.000793123,0.07756534,0.000171486,0.008430913,-6.43E-05,0.03522045
ARM,9/14/2023,52,1059.264,55081.728,56.1,59424.7104,0.078846154,68.1,443,0.011013216,63.59,68.63,0.079257745,-0.006506239,0.000849751,-0.00285205,0.000939198,-0.005176471,0.000939198,0.007130125,0.000939198,0.014616756,0.000894474,0.025668449,0.001252264,0.033511586,0.001252264,0.038680927,0.001252264,0.04741533,0.000760303,0.049554367,0.000760303,0.094652406,0.000693218,0.067023173,4.47E-05,-0.004542541
CRCL,6/5/2025,31,207.6506,6437.1686,69,14327.8914,1.225806452,103.75,13,0.266506024,83.23,96.39,0.158116064,0.1,0.00139145,0.1,0.001324392,0.1,0.001575859,0.1,0.001575859,0.1,0.001709975,0.288115942,0.001709975,0.288115942,0.001709975,0.288115942,0.001508801,0.288115942,0.001508801,0.288115942,0.001508801,0.230724638,0.001357921,0.207028986,0.001894384,-0.008559023
FIG,7/31/2025,33,407.6809,13453.4697,85,34652.8765,1.575757576,148.8,263,0.145026882,115.5,134.82,0.167272727,0.1,0.000889735,0.1,0.000858516,0.1,0.000561938,0.1,0.000593157,0.182235294,0.000811688,0.221529412,0.000639985,0.171436471,0.000952173,0.200823529,0.000952173,0.280411765,0.000796079,0.326705882,0.000827298,0.268192941,0.000639985,0.219647059,0.000733641,-0.042287903
