date,ticker,release_type,2m_delayed_return,2m_quick_return,2m_delayed_exit_time,2m_quick_exit_time,2m_delayed_potential_npl,2m_quick_potential_npl,ism_number,expectations,pct_beat_miss,prices_paid,prices_paid_expectations,pp_pct_beat_miss
1/7/2025,QQQ,Services,0.550027692,0.57676515,2025-01-07 10:20:00-05:00,2025-01-07 10:12:00-05:00,60503.04616,63444.16646,54.1,53.5,0.011214953,64.4,57.5,0.12
1/7/2025,SPY,Services,0.467853909,0.503068719,2025-01-07 10:20:00-05:00,2025-01-07 10:12:00-05:00,51463.92997,55337.55911,54.1,53.5,0.011214953,64.4,57.5,0.12
1/7/2025,IWM,Services,1.129468043,1.142755902,2025-01-07 10:18:00-05:00,2025-01-07 10:10:00-05:00,124241.4847,125703.1492,54.1,53.5,0.011214953,64.4,57.5,0.12
1/7/2025,TNA,Services,3.276481149,3.366247756,2025-01-07 10:18:00-05:00,2025-01-07 10:10:00-05:00,189800,195000,54.1,53.5,0.011214953,64.4,57.5,0.12
1/7/2025,SPXL,Services,1.393826533,1.467185825,2025-01-07 10:20:00-05:00,2025-01-07 10:12:00-05:00,153320.9187,161390.4407,54.1,53.5,0.011214953,64.4,57.5,0.12
1/7/2025,TQQQ,Services,1.60566706,1.676505313,2025-01-07 10:20:00-05:00,2025-01-07 10:12:00-05:00,176623.3766,184415.5844,54.1,53.5,0.011214953,64.4,57.5,0.12
1/7/2025,SOXL,Services,1.827040195,2.070645554,2025-01-07 10:12:00-05:00,2025-01-07 10:12:00-05:00,78000,88400,54.1,53.5,0.011214953,64.4,57.5,0.12
12/4/2024,QQQ,Services,-0.1,-0.1,2024-12-04 10:02:00-05:00,2024-12-04 10:02:00-05:00,-2748.520028,-2114.246175,52.1,55.7,-0.064631957,58.2,57,0.021052632
12/4/2024,SPY,Services,0.009902951,0.031359345,2024-12-04 10:10:00-05:00,2024-12-04 10:06:00-05:00,1089.324619,3449.527959,52.1,55.7,-0.064631957,58.2,57,0.021052632
12/4/2024,IWM,Services,0.012425447,-0.1,2024-12-04 10:10:00-05:00,2024-12-04 10:04:00-05:00,1366.799205,-1366.799205,52.1,55.7,-0.064631957,58.2,57,0.021052632
12/4/2024,TNA,Services,0.07213706,0.018034265,2024-12-04 10:10:00-05:00,2024-12-04 10:04:00-05:00,7935.076646,1983.769161,52.1,55.7,-0.064631957,58.2,57,0.021052632
12/4/2024,SPXL,Services,-0.1,0.053316272,2024-12-04 10:10:00-05:00,2024-12-04 10:06:00-05:00,-1172.957987,5864.789934,52.1,55.7,-0.064631957,58.2,57,0.021052632
12/4/2024,TQQQ,Services,-0.1,-0.1,2024-12-04 10:02:00-05:00,2024-12-04 10:02:00-05:00,-9075.907591,-7779.349364,52.1,55.7,-0.064631957,58.2,57,0.021052632
12/4/2024,SOXL,Services,-0.1,-0.1,2024-12-04 10:02:00-05:00,2024-12-04 10:02:00-05:00,-24700,-5200,52.1,55.7,-0.064631957,58.2,57,0.021052632
12/2/2024,QQQ,Manufacturing,0.075922753,0.073976016,2024-12-02 10:08:00-05:00,2024-12-02 10:08:00-05:00,8351.502881,8137.361782,48.4,47.5,0.018947368,50.3,55,-0.085454545
12/2/2024,SPY,Manufacturing,-0.1,-0.1,2024-12-02 10:18:00-05:00,2024-12-02 10:02:00-05:00,-4195.20122,-5654.401645,48.4,47.5,0.018947368,50.3,55,-0.085454545
12/2/2024,IWM,Manufacturing,-0.1,-0.1,2024-12-02 10:02:00-05:00,2024-12-02 10:02:00-05:00,-10523.25098,-8693.120373,48.4,47.5,0.018947368,50.3,55,-0.085454545
12/2/2024,TNA,Manufacturing,1.058587333,-0.1,2024-12-02 10:24:00-05:00,2024-12-02 10:02:00-05:00,75400,-18200,48.4,47.5,0.018947368,50.3,55,-0.085454545
12/2/2024,SPXL,Manufacturing,0.124506036,0.124506036,2024-12-02 10:18:00-05:00,2024-12-02 10:02:00-05:00,13695.66394,13695.66394,48.4,47.5,0.018947368,50.3,55,-0.085454545
12/2/2024,TQQQ,Manufacturing,0.17129573,0.208001958,2024-12-02 10:18:00-05:00,2024-12-02 10:08:00-05:00,18842.53028,22880.21534,48.4,47.5,0.018947368,50.3,55,-0.085454545
12/2/2024,SOXL,Manufacturing,-0.1,-0.1,2024-12-02 10:16:00-05:00,2024-12-02 10:02:00-05:00,-6500,-6500,48.4,47.5,0.018947368,50.3,55,-0.085454545
11/5/2024,QQQ,Services,-0.1,0.034631682,2024-11-05 10:10:00-05:00,2024-11-05 10:02:00-05:00,-11652.54237,3809.485007,56,53.8,0.040892193,58.1,58,0.001724138
11/5/2024,SPY,Services,-0.1,-0.1,2024-11-05 10:18:00-05:00,2024-11-05 10:08:00-05:00,-958.1714604,-6323.931639,56,53.8,0.040892193,58.1,58,0.001724138
11/5/2024,IWM,Services,-0.1,-0.1,2024-11-05 10:02:00-05:00,2024-11-05 10:02:00-05:00,-16387.52201,-5959.098912,56,53.8,0.040892193,58.1,58,0.001724138
11/5/2024,TNA,Services,-0.1,-0.1,2024-11-05 10:02:00-05:00,2024-11-05 10:02:00-05:00,-24700,-9100,56,53.8,0.040892193,58.1,58,0.001724138
11/5/2024,SPXL,Services,-0.1,-0.1,2024-11-05 10:22:00-05:00,2024-11-05 10:08:00-05:00,-29269.80198,-20420.79208,56,53.8,0.040892193,58.1,58,0.001724138
11/5/2024,TQQQ,Services,-0.1,0.082895828,2024-11-05 10:10:00-05:00,2024-11-05 10:02:00-05:00,-34954.40729,9118.541033,56,53.8,0.040892193,58.1,58,0.001724138
11/5/2024,SOXL,Services,-0.1,-0.1,2024-11-05 10:06:00-05:00,2024-11-05 10:04:00-05:00,-23400,-1300,56,53.8,0.040892193,58.1,58,0.001724138
11/1/2024,QQQ,Manufacturing,-0.1,0.065588555,2024-11-01 10:06:00-04:00,2024-11-01 10:06:00-04:00,-7665.662342,7214.741028,46.5,47.6,-0.023109244,54.8,50,0.096
11/1/2024,SPY,Manufacturing,-0.1,0,2024-11-01 10:06:00-04:00,2024-11-01 10:06:00-04:00,-12475.35463,0,46.5,47.6,-0.023109244,54.8,50,0.096
11/1/2024,IWM,Manufacturing,0.08168081,0.176975087,2024-11-01 10:06:00-04:00,2024-11-01 10:06:00-04:00,8984.88905,19467.25961,46.5,47.6,-0.023109244,54.8,50,0.096
11/1/2024,TNA,Manufacturing,0.208285119,0.46285582,2024-11-01 10:06:00-04:00,2024-11-01 10:06:00-04:00,11700,26000,46.5,47.6,-0.023109244,54.8,50,0.096
11/1/2024,SPXL,Manufacturing,-0.1,0.024840092,2024-11-01 10:06:00-04:00,2024-11-01 10:06:00-04:00,-32105.81879,2732.41011,46.5,47.6,-0.023109244,54.8,50,0.096
11/1/2024,TQQQ,Manufacturing,-0.1,0.210881485,2024-11-01 10:06:00-04:00,2024-11-01 10:06:00-04:00,-20104.03487,23196.96331,46.5,47.6,-0.023109244,54.8,50,0.096
11/1/2024,SOXL,Manufacturing,-0.1,0.383264133,2024-11-01 10:06:00-04:00,2024-11-01 10:06:00-04:00,-6500,15600,46.5,47.6,-0.023109244,54.8,50,0.096
