ticker,date,exp,dte,strike,spot,open_iv,close_iv,open_ts,close_ts
AAL,2023-01-11,2023-01-20,9,15.0,15.0,0.55775,0.54915,2023-01-11 10:30:00-05:00,2023-01-11 15:30:00-05:00
AAL,2023-01-09,2023-01-20,11,14.5,14.5,0.5242,0.5226,2023-01-09 10:30:00-05:00,2023-01-09 15:30:00-05:00
AAL,2023-01-06,2023-01-13,7,14.0,14.0,0.5019,0.50075,2023-01-06 10:30:00-05:00,2023-01-06 15:30:00-05:00
AAL,2023-01-12,2023-01-20,8,16.0,16.0,0.4982,0.50695,2023-01-12 10:30:00-05:00,2023-01-12 15:30:00-05:00
AAL,2023-01-10,2023-01-20,10,14.5,14.5,0.5631999999999999,0.5554,2023-01-10 10:30:00-05:00,2023-01-10 15:30:00-05:00
AAL,2023-01-13,2023-01-20,7,16.5,16.5,0.46185,0.44335,2023-01-13 10:30:00-05:00,2023-01-13 15:30:00-05:00
AAL,2023-01-17,2023-01-27,10,17.0,17.0,0.6078,0.5578000000000001,2023-01-17 10:30:00-05:00,2023-01-17 15:30:00-05:00
AI,2023-06-07,2023-06-16,9,38.5,38.5,1.30555,1.2799,2023-06-07 10:30:00-04:00,2023-06-07 15:30:00-04:00
AI,2023-06-06,2023-06-16,10,35.0,35.0,1.2741500000000001,1.24845,2023-06-06 10:30:00-04:00,2023-06-06 15:30:00-04:00
AI,2023-06-08,2023-06-16,8,36.0,36.0,1.2095,1.0829499999999999,2023-06-08 10:30:00-04:00,2023-06-08 15:30:00-04:00
AI,2023-06-12,2023-06-23,11,37.0,37.0,1.16815,1.1848999999999998,2023-06-12 10:30:00-04:00,2023-06-12 15:30:00-04:00
AI,2023-06-09,2023-06-16,7,38.0,38.0,1.1709,1.1231499999999999,2023-06-09 10:30:00-04:00,2023-06-09 15:30:00-04:00
AAL,2023-01-05,2023-01-13,8,13.5,13.5,0.53515,0.5195000000000001,2023-01-05 10:30:00-05:00,2023-01-05 15:30:00-05:00
AI,2023-06-14,2023-06-23,9,41.0,41.0,1.2885,1.19415,2023-06-14 10:30:00-04:00,2023-06-14 15:30:00-04:00
AI,2023-06-13,2023-06-23,10,38.0,38.0,1.1873,1.2355,2023-06-13 10:30:00-04:00,2023-06-13 15:30:00-04:00
AI,2023-06-15,2023-06-23,8,41.5,41.5,1.45835,1.2468,2023-06-15 10:30:00-04:00,2023-06-15 15:30:00-04:00
