ticker,date,top_bucket,t_top,has_series,open_iv,prior_close_iv,iv_gap_open,n_controls,ctrl_gap_mean,ctrl_gap_std,iv_gap_z,open_iv_pctile,iv_runup_chg,iv_ramp_slope,iv_ramp_final2d,iv_ramp_final2d_pctile,iv_lead,iv_lead_pre,t_vel_zero_cross,accel_sign_pre,iv_base,iv_at_top,iv_runup_slope,iv_divergence,win_bars,rvol_score,atr_pct,atr_pct_move,gap_pct,consecutive_up_days,uvxy_close,pct_change_3,pct_change_15,pct_from_20mav,day_of_range_pct,percent_of_premarket_vol,vol_ratio_5min_to_pm,spy_5day_return,gap_from_pm_high,reversal_duration,reversal_open_low_pct,reversal_open_close_pct,setup,trade_grade,cap
AMD,2018-09-05,open30,2018-09-05 09:32:00-04:00,True,0.856316,0.72905,0.1745641588368425,8.0,0.05961105699583686,0.1244515099824683,0.9236778393223135,100.0,0.5505104210974052,0.020528244018147956,0.32844387755102056,80.0,,,,,,,,,30.0,2.275649339,0.0348,0.1367,0.04811119,2,106125.0,0.181599036,0.469030969,0.342661106,2.7,0.100734625,1.535074623,-0.000379415,-0.005410889,0 days 00:11:00,-0.087385243,-0.030601836,2DBreakoutIB,A,Medium
MRNA,2020-02-27,premarket,2020-02-27 04:01:00-05:00,True,2.104940666666667,1.55985,0.3494506950454639,8.0,0.10225076067546401,0.12737237553160105,1.9407656749612057,100.0,1.3885613658984766,0.14161748858820175,0.4989909667499519,80.0,,,,,,,,,,4.703756871,0.0577,0.1624,0.230452675,3,43550.0,0.93006993,0.789526185,0.713286297,4.255688727,0.451121454,0.989362629,-0.075530494,-0.037811746,0 days 01:58:00,-0.357580825,-0.27090301,3DGapFade,A,Medium
ZM,2020-02-28,premarket,2020-02-28 09:04:00-05:00,True,1.8114905,1.62515,0.11466049287758051,8.0,0.2333563751606343,0.3130540519223662,-0.3791545950425487,100.0,2.3312493594342523,0.16802882870326005,0.14997877158222472,40.0,,,,,,,,,,3.176523202,0.0457,0.0681,0.066226332,1,54275.0,0.130649981,0.387462755,0.280125146,3.138841521,0.106757032,1.541311375,-0.10786254,-0.021656566,0 days 01:27:00,-0.195754522,-0.13273313,2DGapFade,B,Medium
VIR,2020-02-28,premarket,2020-02-28 07:55:00-05:00,False,,,,,,,,,,,,,,,,,,,,,,2.825791179,0.0654,0.3664,0.181893688,4,54275.0,2.274275196,2.699947998,2.04174152,4.370236689,0.308197137,0.683364948,-0.10786254,-0.15297619,0 days 00:48:00,-0.461700632,-0.34645116,GapDownTrendBreak,C,Small
NKLA,2020-06-09,premarket,2020-06-09 08:27:00-04:00,True,4.278856166666667,3.4282,0.24813492989518338,3.0,0.27391170936145326,0.3165218980096292,-0.08143758655676235,100.0,,,,,,,,,,,,,,1.941740943,0.268358836,0.3198,0.271052272,2,71175.0,1.759407407,1.759407407,4621.610577,1.729041304,0.14631608,0.447807301,0.049078162,-0.043937994,0 days 00:30:00,-0.388006013,-0.143884892,2DGapFade,A,Medium
WKHS,2020-07-06,premarket,2020-07-06 08:32:00-04:00,True,2.3034419999999995,2.02285,0.13871122426279725,8.0,0.047594115893005474,0.12416610649284349,0.7338323713568603,37.5,-0.023603233980934113,0.016136475987734374,-0.3075869859145287,0.0,,,,,,,,,,1.356268575,0.065,0.4043,0.012912482,11,75925.0,0.217941346,4.603174603,1.529229863,1.519947678,0.09367446,0.669860516,0.040593234,-0.039455782,0 days 04:38:00,-0.182247403,-0.168555241,GapDownTrendBreak,B,Small
XPEV,2020-11-13,open30,2020-11-13 09:59:00-05:00,True,1.9942549999999999,1.85715,0.07382548528659494,8.0,0.05242456425933173,0.07321947856869084,0.29228453200723004,87.5,0.599681295490762,0.034716621967514696,0.14444615621629953,60.0,2.0,-17.0,-8.0,0.0,2.0110638966666667,2.1105594,0.08566590900832549,False,54.0,2.893373884,0.0454,0.2879,0.072211044,2,35925.0,0.45775076,1.39201995,0.941640946,2.51530262,0.208416456,0.588441992,0.008710304,-0.04784594,0 days 04:13:00,-0.207673061,-0.124478732,2DBreakoutIB,B,Medium
NIO,2020-11-13,post10,2020-11-13 10:01:00-05:00,True,1.98583925,1.5961,0.2441822254244721,8.0,0.07229987104527366,0.11846478951908927,1.4509151206612454,100.0,0.49981206540124035,0.061052579394310066,0.004310209218184813,40.0,18.0,-20.0,,0.0019434671314131416,2.0137610249999995,2.108086,0.07083144369674668,False,57.0,2.657649965,0.0505,0.1923,0.061904762,2,35925.0,0.234416366,0.888438881,0.560745241,2.840790843,0.086911494,0.805643275,0.008710304,-0.027308932,0 days 04:17:00,-0.209397543,-0.131214662,2DBreakoutIB,B,Medium
LI,2020-11-13,premarket,2020-11-13 07:19:00-05:00,True,2.4797933,2.1494,0.1537141993114357,8.0,0.055443655422177315,0.09023933499206628,1.088998981407589,100.0,0.9741905855338688,0.07204975105210841,0.6080499756854825,100.0,,,,,,,,,,7.155983783,0.0528,0.1457,0.219634991,1,35925.0,0.535657686,1.106521739,0.772264327,3.188743132,0.766105391,0.675609706,0.008710304,-0.070503597,0 days 04:23:00,-0.223168215,-0.19504644,2DGapFade,B,Medium
XPEV,2020-11-24,premarket,2020-11-24 07:50:00-05:00,True,2.1029875000000002,1.9006,0.10648610964958438,8.0,0.011583531584371785,0.2277059090599911,0.41677696664520764,100.0,0.16483314436306817,3.2332097466815483e-05,0.7664389609182585,100.0,,,,,,,,,,2.02886057,0.054,0.4361,0.0,3,30750.0,0.500103928,2.24943719,0.956890097,1.378812923,0.136114037,1.163275945,-0.008762686,-0.07474359,0 days 00:43:00,-0.13024664,-0.021338506,2DGapFade,B,Medium
LI,2020-11-24,premarket,2020-11-24 08:07:00-05:00,True,1.7261370454545455,1.54515,0.11713234666831407,8.0,0.03472180526924307,0.2079004234740063,0.3963942931043368,87.5,0.2565259819468162,0.01296325642167955,0.4330164618594947,60.0,,,,,,,,,,1.69425184,0.0594,0.1799,0.090284143,4,30750.0,0.295046271,0.978378378,0.605222863,1.389622657,0.18697611,0.958024904,-0.008762686,-0.03410475,0 days 00:10:00,-0.127784784,-0.076082388,3DGapFade,B,Medium
BLNK,2020-11-24,premarket,2020-11-24 04:09:00-05:00,True,2.1164224000000003,2.02625,0.044502109808760126,8.0,0.0556173618316295,0.17209316306155908,-0.06458857414860437,87.5,0.32720901290364846,0.06300378792492353,0.39924728955182665,80.0,,,,,,,,,,4.120443568,0.0419,0.6242,-0.077037478,6,30750.0,0.691930207,2.391256831,1.44116413,2.530497597,0.438317897,0.80977436,-0.008762686,-0.147527473,0 days 01:14:00,-0.194005801,-0.093780213,GapDownTrendBreak,C,Small
FCEL,2020-11-24,open30,2020-11-24 09:33:00-05:00,True,2.8033469999999996,2.2475,0.24731790878754145,8.0,0.04069313250518615,0.13205862800638035,1.5646442750591982,100.0,0.9813982191660053,0.07713449586471363,0.05719930382426264,20.0,,,,,,,,,31.0,3.406449082,0.0395,0.7511,0.166081871,7,30750.0,0.860074627,3.297413793,2.185691149,4.399678429,0.254016427,1.23223719,-0.008762686,-0.011892963,0 days 04:38:00,-0.34002006,-0.230692076,2DBreakoutIB,A,Small
PLTR,2020-11-27,open30,2020-11-27 09:36:00-05:00,True,2.7915725,1.7974,0.5531170023367085,8.0,0.1341399448893297,0.09399045728477033,4.457655272151414,100.0,0.8851539147307148,0.079876735594348,0.45314900153609816,100.0,,,,,,,,,34.0,2.804692832,0.0452,0.2366,0.073666093,3,28250.0,0.482414449,1.625420875,1.012072435,2.664947124,0.17157558,1.384396871,0.013639667,-0.020722135,0 days 01:52:00,-0.1625521,-0.1131773,3DGapFade,A,Medium
MRNA,2020-12-01,premarket,2020-12-01 09:29:00-05:00,True,1.52454475,1.3091,0.1645747078145292,8.0,0.17609756958068123,0.21984327739877996,-0.05241398282673152,100.0,0.8546433378196496,0.10349693636357828,0.7689345314505776,100.0,,,,,,,,,,4.717889215,0.065527831,-3.148172569,0.163153071,3,27875.0,0.627221103,1.285310008,0.882742581,3.876424387,0.27688265,0.871620569,0.012868573,-0.005096041,0 days 04:33:00,-0.266407745,-0.206292919,3DGapFade,A,Medium
QS,2020-12-23,premarket,2020-12-23 07:00:00-05:00,True,2.3962100625,2.08605,0.14868294743654253,8.0,0.13436301610295118,0.23215165903943522,0.06168351926857802,87.5,0.12869278216643232,0.008063731298394832,0.7136695966483202,100.0,,,,,,,,,,1.316904955,0.0712,0.6524,-0.073289284,6,29925.0,0.654957277,2.235746486,15.69820173,1.923906649,0.077577597,1.045038704,-0.007915282,-0.115797101,0 days 00:18:00,-0.155056548,-0.092034093,GapDownTrendBreak,B,Medium
BLNK,2020-12-28,post10,2020-12-28 10:01:00-05:00,True,1.8441825,1.50245,0.22745016473093949,8.0,0.064323244483937,0.04944898474982185,3.298893214336219,100.0,0.21808747821152075,0.022525787684491337,-0.011220796314577175,20.0,-19.0,-19.0,,0.08231391581205566,1.8655645666666665,1.9106040000000002,0.024475405468180025,False,59.0,1.930798134,0.0921,0.1322,0.076565657,1,26900.0,0.098989482,1.226911826,0.752654591,1.961412796,0.076011262,1.462948901,-0.000487567,-0.004297459,0 days 03:12:00,-0.150309627,-0.119909927,2DBreakoutIB,B,Small
PLUG,2021-01-15,open30,2021-01-15 09:32:00-05:00,True,1.4027607083333333,1.38025,0.01630915293123225,8.0,0.12361643525959122,0.17221008162159207,-0.6231184685467599,62.5,0.3936288368336027,0.06561837183522728,0.019838924190926477,20.0,,,,,,,,,30.0,1.467741819,0.0595,0.2003,-0.050946799,0,26225.0,-0.043471675,0.747371334,0.523925632,1.509054561,0.060428009,1.375586565,-0.00734407,-0.024710425,0 days 00:51:00,-0.092319873,-0.047664291,ConsolidationBreakdown,C,Medium
CCIV,2021-01-25,premarket,2021-01-25 04:01:00-05:00,True,2.15174155,1.71605,0.25389210687334285,7.0,0.001005333199862198,0.10638072148832568,2.3771861116887867,100.0,-0.0461619698738257,-0.03685362302414189,0.21662531017369724,100.0,,,,,,,,,,2.236481057,0.079680199,-0.853242746,0.197762864,0,25000.0,0.482281285,1.674325674,0.941333333,3.459474725,0.253355172,0.04081184,0.01527242,-0.064313177,0 days 00:39:00,-0.307060142,-0.067986552,2DBreakoutIB,B,Medium
