ticker,date,low_bucket,t_low,has_series,open_iv,prior_close_iv,iv_gap_open,n_controls,ctrl_gap_mean,ctrl_gap_std,iv_gap_z,open_iv_pctile,iv_runup_chg,iv_ramp_slope,iv_ramp_final2d,iv_ramp_final2d_pctile,iv_lead,iv_lead_pre,t_vel_zero_cross,accel_sign_pre,iv_base,iv_at_top,iv_runup_slope,iv_divergence,win_bars,prior_close_iv_pctile,selloff_total_pct,consecutive_down_days,gap_pct,rvol_score,atr_pct_move,pct_off_30d_high,closed_outside_lower_band,uvxy_close,bounce_open_low_pct,bounce_open_close_pct,bounce_duration,trade_grade,cap,Setup
XPEV,2020-12-02,open30,2020-12-02 09:33:00-05:00,True,1.4210511666666668,1.4741,-0.03598726906813188,8.0,0.09499560453290286,0.1225752240387324,-1.068591753580198,12.5,0.3700450764440728,0.00797555704597951,-0.00790793148702762,40.0,,,,,,,,,29.0,28.57142857142857,-0.1854387056627256,2.0,-0.102177235,1.046588537,1.929726609,-0.3689085783326621,False,28225.0,-0.02127207,0.191235907,0 days 03:43:00,A,Medium,3DGapFade_strongstock
AMC,2021-01-27,post10,2021-01-27 10:02:00-05:00,True,7.83185,3.8149,1.052963380429369,8.0,0.09458823533041892,0.2592764379174351,3.6963449235758876,100.0,1.5701677558445057,0.11925471461225345,0.4652967159592858,80.0,,,,,,,,,28.0,85.71428571428571,0.0,0.0,3.100806452,7.306693256,-1.098083858,2.9190751445086707,False,26375.0,-0.458702065,-0.021632252,,A,Medium,IntradayCapitch_strongstock
GME,2021-01-28,post10,2021-01-28 11:24:00-05:00,True,8.215684428571429,7.47675,0.09883096647225442,8.0,0.15264224573506033,0.3574966938940903,-0.15052245288385155,100.0,1.9078269324258628,0.18578005563055217,0.5067257796362536,60.0,,,,,,,,,27.0,100.0,0.0,0.0,-0.237432016,0.987336776,-4.177270729,-0.3026315789473684,False,34675.0,-0.576415094,-0.269433962,,A,Medium,IntradayCapitch_strongstock
NIO,2021-02-23,open30,2021-02-23 09:39:00-05:00,True,1.5532367749999998,1.1873,0.30820919312726325,8.0,0.16119891857209387,0.2699570273709754,0.5445691708300953,100.0,0.599703583939639,0.06423447994867444,0.45386640543684575,100.0,,,,,,,,,33.0,100.0,-0.0792151162790697,1.0,-0.099842147,1.947926548,1.007925349,-0.3190028362442155,True,23400.0,-0.086804033,0.076501534,0 days 04:57:00,A,Medium,IntradayCapitch_strongstock
GME,2021-03-10,post10,2021-03-10 12:40:00-05:00,True,3.9089601625,3.69005,0.05932444343572585,8.0,-0.0017871258228516762,0.19057461217396957,0.32067004393423976,50.0,-0.36879602466622763,-0.06436009724210884,0.36681174182794707,100.0,22.0,-24.0,,-0.13903178531898822,4.417063982526882,,-0.042213618269430014,True,60.0,42.857142857142854,0.0,0.0,0.091251519,1.808956339,-0.104195938,-0.4421739130434782,False,21000.0,-0.361615262,-0.016442119,0 days 02:29:00,A,Medium,2DGapFade_strongstock
QQQ,2022-01-24,post10,2022-01-24 12:17:00-05:00,True,0.4526575454545454,0.36495,0.240327566665421,8.0,0.14416839837205694,0.21823181388827098,0.44062855263896145,100.0,0.6668189084265821,0.08516085565100218,0.3732831608654752,80.0,4.0,0.0,,0.05393918031876695,0.4826551383512545,0.5216959999999999,0.011972738593062674,False,91.0,100.0,-0.0745243546222467,4.0,-0.043721663,2.763550898,0.994358233,-0.1450269415196006,True,3777.5,-0.033983319,0.021378702,,A,ETF,3DGapFade_strongstock
COIN,2022-05-12,open30,2022-05-12 09:40:00-04:00,True,2.40876875,1.7777500000000002,0.35495359302489105,8.0,0.04448124977400335,0.08785676361788773,3.533846803203609,100.0,0.27730277338698106,0.057375119744108846,-0.026956759715380252,20.0,,,,,,,,,38.0,71.42857142857143,-0.5872454859777181,5.0,-0.096425912,4.780937674,1.056599356,-0.7647457955702032,True,4575.0,-0.158838072,0.205191595,0 days 01:01:00,A,Medium,3DGapFade_weakstock
MSTR,2022-05-12,open30,2022-05-12 09:40:00-04:00,True,3.3103656249999998,2.1911,0.5108236159919675,8.0,0.08204879607089398,0.17090274052228596,2.5088820612865517,100.0,1.1128200183211994,0.11702527326997754,0.28487656130886063,60.0,,,,,,,,,38.0,100.0,-0.2541681447321745,1.0,-0.089239001,5.002658146,0.624658851,-0.7031201550387597,True,4575.0,-0.124681768,0.117435864,0 days 00:58:00,A,Small,3DGapFade_weakstock
ARKK,2022-05-12,open30,2022-05-12 09:40:00-04:00,True,1.1884394999999999,1.0472,0.1348734721161191,8.0,0.042017324772971106,0.06456600190179848,1.43815854486975,100.0,0.19721047216188392,0.028768042531019698,0.08563134978229314,60.0,,,,,,,,,38.0,100.0,-0.2956322716002288,5.0,-0.027349039,2.266360081,0.928996804,-0.5004172461752434,True,4575.0,-0.022828508,0.085467706,0 days 01:23:00,A,ETF,3DGapFade_weakstock
CVNA,2022-05-12,open30,2022-05-12 09:39:00-04:00,True,2.4547805,2.2453000000000003,0.09329733220505032,8.0,0.07330467248098213,0.10313293603073442,0.19385329743846544,100.0,0.5052458686689238,0.06849549022368721,0.3301146293060042,80.0,,,,,,,,,30.0,100.0,-0.4970662196144174,5.0,-0.019666667,3.171454031,0.959986929,-0.7878755093944968,False,4575.0,-0.036042163,0.271676301,0 days 01:56:00,A,Medium,3DGapFade_weakstock
