ticker,date,status,exp,dte,spot935,fixed_strike,n_strikes,strikes,n_bars,valid_frac,extrap_frac,err,top_bucket,t_top,path
AMD,2018-09-05,ok,2018-09-14,9,29.5,29.5,8,22.5|24.5|26.5|28.5|29.5|31.0|33.0|35.0,389,1.0,0.0,,open30,2018-09-05 09:32:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\AMD_20180905.pkl
MRNA,2020-02-27,ok,2020-03-06,8,33.5,33.5,7,25.5|27.0|28.5|30.5|32.0|33.5|35.0,379,0.974,0.135,,premarket,2020-02-27 04:01:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\MRNA_20200227.pkl
ZM,2020-02-28,ok,2020-03-06,7,120.0,120.0,8,90.0|97.0|106.0|116.0|120.0|125.0|135.0|145.0,389,1.0,0.0,,premarket,2020-02-28 09:04:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\ZM_20200228.pkl
VIR,2020-02-28,no_chain,,,,,0,,0,0.0,0.0,,premarket,2020-02-28 07:55:00-05:00,
NKLA,2020-06-09,ok,2020-06-19,10,70.0,70.0,7,53.0|56.0|58.0|61.0|64.0|70.0|85.0,371,0.954,0.059,,premarket,2020-06-09 08:27:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\NKLA_20200609.pkl
WKHS,2020-07-06,ok,2020-07-17,11,20.0,20.0,7,15.0|17.5|19.0|20.0|22.0|24.0|25.0,389,1.0,0.0,,premarket,2020-07-06 08:32:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\WKHS_20200706.pkl
XPEV,2020-11-13,ok,2020-11-20,7,50.0,50.0,5,40.0|45.0|50.0|55.0|60.0,386,0.992,0.08,,open30,2020-11-13 09:59:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\XPEV_20201113.pkl
NIO,2020-11-13,ok,2020-11-20,7,52.0,52.0,8,39.0|42.0|45.0|48.0|52.0|53.0|59.0|65.0,387,0.995,0.0,,post10,2020-11-13 10:01:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\NIO_20201113.pkl
LI,2020-11-13,ok,2020-11-20,7,40.0,40.0,4,30.0|35.0|40.0|45.0,389,1.0,0.0,,premarket,2020-11-13 07:19:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\LI_20201113.pkl
XPEV,2020-11-24,ok,2020-12-04,10,65.0,65.0,7,49.0|54.0|59.0|65.0|70.0|75.0|80.0,388,0.997,0.0,,premarket,2020-11-24 07:50:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\XPEV_20201124.pkl
