ticker,date,status,exp,dte,spot935,fixed_strike,n_strikes,strikes,n_bars,valid_frac,extrap_frac,err,low_bucket,t_low,path
XPEV,2020-12-02,ok,2020-12-11,9,46.0,46.0,8,35.0|39.0|41.5|44.5|46.0|47.5|51.0|57.0,387,0.995,0.036,,open30,2020-12-02 09:33:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\XPEV_20201202.pkl
AMC,2021-01-27,ok,2021-02-05,9,5.5,5.5,5,4.5|5.0|5.5|6.0|6.5,347,0.892,0.003,,post10,2021-01-27 10:02:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\AMC_20210127.pkl
GME,2021-01-28,ok,2021-02-05,8,385.0,385.0,7,290.0|307.5|330.0|350.0|385.0|420.0|480.0,284,0.73,0.831,,post10,2021-01-28 11:24:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\GME_20210128.pkl
NIO,2021-02-23,ok,2021-03-05,10,45.0,45.0,8,34.0|38.0|43.0|45.0|47.0|51.0|54.0|56.0,385,0.99,0.0,,open30,2021-02-23 09:39:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\NIO_20210223.pkl
GME,2021-03-10,ok,2021-03-19,9,280.0,280.0,7,210.0|230.0|260.0|280.0|300.0|330.0|350.0,352,0.905,0.0,,post10,2021-03-10 12:40:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\GME_20210310.pkl
QQQ,2022-01-24,ok,2022-01-31,7,346.0,346.0,8,300.0|345.0|346.0|368.0|386.0|400.0|414.0|432.0,389,1.0,0.0,,post10,2022-01-24 12:17:00-05:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\QQQ_20220124.pkl
COIN,2022-05-12,ok,2022-05-20,8,46.0,46.0,7,35.0|39.0|42.0|46.0|50.0|53.0|57.0,389,1.0,0.131,,open30,2022-05-12 09:40:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\COIN_20220512.pkl
MSTR,2022-05-12,ok,2022-05-20,8,145.0,145.0,7,110.0|125.0|145.0|155.0|162.5|172.5|180.0,389,1.0,0.093,,open30,2022-05-12 09:40:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\MSTR_20220512.pkl
ARKK,2022-05-12,ok,2022-05-20,8,35.0,35.0,7,27.0|30.0|32.0|35.0|38.0|40.0|43.0,389,1.0,0.0,,open30,2022-05-12 09:40:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\ARKK_20220512.pkl
CVNA,2022-05-12,ok,2022-05-20,8,29.0,29.0,7,22.0|24.0|27.0|29.0|31.0|34.0|36.0,360,0.925,0.878,,open30,2022-05-12 09:39:00-04:00,C:\Users\zmbur\PycharmProjects\backtester\data\iv_study\CVNA_20220512.pkl
