ticker,date,node,px,short_pnl_pct,below_hod_pct,vs_vwap_pct,vwap_slope15,below_open,made_new_hod,mae_pct,dist_to_pm_high_pct,fwd_to_low_pct,fwd_30min_pct,eod_close_pct,setup,grade,cap
MRNA,2020-02-27,09:30,34.67,3.37,-3.69,-1.23,,True,False,0.33,-9.55,33.52,6.69,24.59,3DGapFade,A,Medium
MRNA,2020-02-27,09:45,34.72,3.23,-3.56,1.14,-2.21,True,False,0.33,-9.42,33.61,2.72,24.7,3DGapFade,A,Medium
MRNA,2020-02-27,10:00,32.35,9.84,-10.14,-5.56,-0.21,True,False,0.33,-15.6,28.75,-0.87,19.18,3DGapFade,A,Medium
MRNA,2020-02-27,10:30,32.63,9.06,-9.36,-3.89,-0.28,True,False,0.33,-14.87,29.36,7.88,19.87,3DGapFade,A,Medium
MRNA,2020-02-27,11:00,30.06,16.22,-16.5,-10.48,-0.79,True,False,0.33,-21.58,23.32,15.83,13.02,3DGapFade,A,Medium
MRNA,2020-02-27,11:30,25.3,29.49,-29.72,-21.31,-3.28,True,False,0.33,-33.99,1.19,-1.3,-3.34,3DGapFade,A,Medium
MRNA,2020-02-27,12:00,25.63,28.57,-28.81,-18.45,-0.84,True,False,0.33,-33.13,2.46,-5.77,-2.01,3DGapFade,A,Medium
MRNA,2020-02-27,13:00,25.57,28.73,-28.97,-16.96,-0.36,True,False,0.33,-33.29,2.23,0.85,-2.25,3DGapFade,A,Medium
MRNA,2020-02-27,14:00,25.38,29.27,-29.5,-16.33,-0.31,True,False,0.33,-33.79,0.2,-3.04,-3.02,3DGapFade,A,Medium
MRNA,2020-02-27,15:00,26.22,26.94,-27.18,-12.88,-0.15,True,False,0.33,-31.61,0.4,-2.35,0.27,3DGapFade,A,Medium
MRNA,2020-02-27,15:45,27.22,24.15,-24.4,-8.91,-0.17,True,False,0.33,-29.0,4.06,3.93,3.93,3DGapFade,A,Medium
ZM,2020-02-28,09:30,117.29,3.13,-3.13,-1.03,,True,False,0.0,-5.22,16.98,-2.87,10.55,2DGapFade,B,Medium
ZM,2020-02-28,09:45,119.68,1.15,-1.85,0.32,0.68,True,True,0.71,-3.29,18.64,1.74,12.34,2DGapFade,B,Medium
ZM,2020-02-28,10:00,120.65,0.35,-1.05,0.78,0.34,True,True,0.71,-2.51,19.3,4.27,13.05,2DGapFade,B,Medium
ZM,2020-02-28,10:30,115.5,4.6,-5.27,-2.72,-0.52,True,True,0.71,-6.67,15.7,1.45,9.17,2DGapFade,B,Medium
ZM,2020-02-28,11:00,113.82,5.98,-6.65,-3.54,-0.38,True,True,0.71,-8.02,14.46,2.05,7.83,2DGapFade,B,Medium
ZM,2020-02-28,11:30,111.5,7.91,-8.56,-3.75,-0.3,True,True,0.71,-9.9,12.67,8.09,5.91,2DGapFade,B,Medium
ZM,2020-02-28,12:00,102.47,15.36,-15.96,-9.0,-1.79,True,True,0.71,-17.2,4.36,-2.53,-2.38,2DGapFade,B,Medium
ZM,2020-02-28,13:00,103.88,14.2,-14.81,-6.58,-0.38,True,True,0.71,-16.06,5.66,0.36,-1.0,2DGapFade,B,Medium
ZM,2020-02-28,14:00,102.62,15.24,-15.84,-7.3,-0.12,True,True,0.71,-17.08,4.5,0.61,-2.23,2DGapFade,B,Medium
ZM,2020-02-28,15:00,100.26,17.19,-17.77,-8.8,-0.23,True,True,0.71,-18.98,2.25,-0.7,-4.64,2DGapFade,B,Medium
ZM,2020-02-28,15:45,103.25,14.72,-15.32,-5.3,-0.23,True,True,0.71,-16.57,0.48,-1.61,-1.61,2DGapFade,B,Medium
VIR,2020-02-28,09:30,68.51,3.71,-4.79,0.03,,True,False,1.14,-18.44,44.1,37.11,33.29,GapDownTrendBreak,C,Small
VIR,2020-02-28,09:45,47.43,33.34,-34.09,-21.46,-11.82,True,False,1.14,-43.54,19.25,5.8,3.65,GapDownTrendBreak,C,Small
VIR,2020-02-28,10:00,43.08,39.45,-40.13,-17.22,-13.82,True,False,1.14,-48.71,11.1,4.76,-6.07,GapDownTrendBreak,C,Small
VIR,2020-02-28,10:30,41.03,42.33,-42.98,-15.16,-3.95,True,False,1.14,-51.15,4.96,-24.3,-11.37,GapDownTrendBreak,C,Small
VIR,2020-02-28,11:00,51.0,28.31,-29.12,6.04,0.55,True,False,1.14,-39.28,23.54,15.44,10.4,GapDownTrendBreak,C,Small
VIR,2020-02-28,11:30,43.13,39.38,-40.06,-10.22,-0.11,True,False,1.14,-48.65,9.58,-2.27,-5.96,GapDownTrendBreak,C,Small
VIR,2020-02-28,12:00,44.11,38.0,-38.7,-7.25,-0.5,True,False,1.14,-47.49,11.59,-1.39,-3.6,GapDownTrendBreak,C,Small
VIR,2020-02-28,13:00,40.28,43.39,-44.03,-14.6,-0.36,True,False,1.14,-52.05,3.17,-1.69,-13.47,GapDownTrendBreak,C,Small
