ticker,date,setup,grade,cap,status,open_px,close_px,day_low,pm_high,open_to_low_pct,n_rth_bars,overnight_gap_pct,next_day_open_to_low_pct,hold_cc_pct,csv_open_low
MRNA,2020-02-27,3DGapFade,A,Medium,OK,35.88,26.14,23.05,38.33,35.76,352,10.58,5.84,0.82,-35.8
ZM,2020-02-28,2DGapFade,B,Medium,OK,121.07,104.91,97.37,123.75,19.58,390,-4.23,6.26,-7.82,-19.6
VIR,2020-02-28,GapDownTrendBreak,C,Small,OK,71.15,45.7,38.3,84.0,46.17,356,13.5,3.21,1.53,-46.2
CODX,2020-02-28,3DGapFade,A,Micro,OK,650.1,396.0,330.0,780.0,49.24,364,-27.43,16.41,-34.93,-49.2
AHPI,2020-02-28,2DGapFade,C,Micro,OK,41.44,24.67,15.85,67.2,61.75,278,3.57,45.36,36.56,-61.8
APT,2020-02-28,3DGapFade,B,Micro,OK,37.23,19.98,16.61,49.0,55.39,342,1.95,35.63,19.92,-55.4
NKLA,2020-06-09,2DGapFade,A,Medium,OK,2793.9,2383.2,1709.85,2922.3,38.8,378,4.95,13.98,18.16,-38.8
WKHS,2020-07-06,GapDownTrendBreak,B,Small,OK,63540.0,52950.0,51960.0,66150.0,18.22,390,10.65,10.53,4.53,-18.2
LI,2020-11-13,2DGapFade,B,Medium,OK,38.76,31.15,30.11,41.7,22.32,390,-0.59,1.15,-14.14,-22.3
XPEV,2020-11-24,2DGapFade,B,Medium,OK,72.17,70.66,62.77,78.0,13.02,390,8.51,2.54,9.04,-13.0
LI,2020-11-24,3DGapFade,B,Medium,OK,47.58,43.95,41.5,49.26,12.78,390,10.22,1.8,7.35,-12.8
BLNK,2020-11-24,GapDownTrendBreak,C,Small,OK,31.03,28.12,25.01,36.99,19.4,390,11.1,3.8,10.1,-19.4
PLTR,2020-11-27,3DGapFade,A,Medium,OK,31.19,27.66,26.12,31.89,16.26,211,-2.1,14.62,1.99,-16.3
MRNA,2020-12-01,3DGapFade,A,Medium,OK,177.66,141.06,130.33,178.57,26.64,390,1.72,7.6,-1.38,-26.6
