ticker,date,cap,node,px,short_pnl_pct,below_hod_pct,vs_vwap_pct,made_new_hod,mae_pct,fwd_to_low_pct,fwd_30min_pct
MRNA,2020-02-27,Medium,09:30,34.67,3.37,-3.69,-1.23,False,0.33,33.52,6.69
MRNA,2020-02-27,Medium,09:45,34.72,3.23,-3.56,1.14,False,0.33,33.61,2.72
MRNA,2020-02-27,Medium,10:00,32.35,9.84,-10.14,-5.56,False,0.33,28.75,-0.87
MRNA,2020-02-27,Medium,10:30,32.63,9.06,-9.36,-3.89,False,0.33,29.36,7.88
MRNA,2020-02-27,Medium,11:00,30.06,16.22,-16.5,-10.48,False,0.33,23.32,15.83
MRNA,2020-02-27,Medium,11:30,25.3,29.49,-29.72,-21.31,False,0.33,1.19,-1.3
MRNA,2020-02-27,Medium,12:00,25.63,28.57,-28.81,-18.45,False,0.33,2.46,-5.77
MRNA,2020-02-27,Medium,13:00,25.57,28.73,-28.97,-16.96,False,0.33,2.23,0.85
MRNA,2020-02-27,Medium,14:00,25.38,29.27,-29.5,-16.33,False,0.33,0.2,-3.04
MRNA,2020-02-27,Medium,15:00,26.22,26.94,-27.18,-12.88,False,0.33,0.4,-2.35
MRNA,2020-02-27,Medium,15:45,27.22,24.15,-24.4,-8.91,False,0.33,4.06,3.93
CODX,2020-02-28,Micro,09:30,578.13,11.07,-11.4,-3.49,False,0.37,42.92,7.06
CODX,2020-02-28,Micro,09:45,583.8,10.2,-10.53,1.73,False,0.37,43.47,5.65
CODX,2020-02-28,Micro,10:00,537.3,17.35,-17.66,-4.5,False,0.37,38.58,-4.97
CODX,2020-02-28,Micro,10:30,564.0,13.24,-13.56,1.23,False,0.37,41.49,2.18
CODX,2020-02-28,Micro,11:00,551.7,15.14,-15.45,-0.87,False,0.37,40.18,10.7
CODX,2020-02-28,Micro,11:30,492.68,24.22,-24.49,-10.73,False,0.37,33.02,29.43
CODX,2020-02-28,Micro,12:00,347.7,46.52,-46.71,-33.92,False,0.37,5.09,-14.41
CODX,2020-02-28,Micro,13:00,372.75,42.66,-42.87,-25.47,False,0.37,9.86,-2.78
CODX,2020-02-28,Micro,14:00,393.9,39.41,-39.63,-19.29,False,0.37,6.7,-8.23
CODX,2020-02-28,Micro,15:00,404.1,37.84,-38.07,-16.05,False,0.37,9.06,7.38
