date,ticker,bucket,cap,recommendation,score,prediction_correct,outcome_pct,max_favorable_pct,atr_move,open,high,low,close,volume,mfe_atr,rvol,tradeable,tradeable_detail,gap_pct,pct_change_3,pct_from_9ema,prior_day_range_atr,prior_day_rvol,atr_pct,tradeable_b,dir_ok,score_num,pct_change_3_f,gap_pct_f
2026-03-18,MU,reversal,Large,GO,4/5,True,-0.006519,0.0139,0.12,464.76,471.34,458.3,461.73,58967786.57315,0.26,,False,direction OK; MFE only 0.3 ATR (<1.0),0.012476,0.138991,0.10337,0.677978,1.339435,0.053251,False,True,4,0.138991,0.012476
2026-03-18,SNDK,reversal,Large,GO,4/5,False,0.032431,0.019883,0.51,730.015,761.52,715.5,753.69,20661147.259478,0.31,,False,direction wrong; MFE only 0.3 ATR (<1.0),0.047676,0.163779,0.155098,0.544693,0.765368,0.063293,False,False,4,0.163779,0.047676
2026-03-18,LITE,reversal,Medium,CAUTION,3/5,True,-0.011761,0.018543,0.11,709.15,743.86,696,700.81,9636039.8194,0.18,,False,direction OK; MFE only 0.2 ATR (<1.0),0.084627,0.054326,0.096338,1.339855,1.571649,0.105283,False,True,3,0.054326,0.084627
2026-03-18,WDC,reversal,Medium,CAUTION,3/5,True,-0.015022,0.028913,0.24,309.55,319.62,300.6,304.9,12451864.600241,0.47,,False,direction OK; MFE only 0.5 ATR (<1.0),-0.010946,0.201509,0.113585,1.589056,1.627118,0.062011,False,True,3,0.201509,-0.010946
2026-03-19,WDC,reversal,Large,CAUTION,3/5,False,0.085117,0.010408,1.34,292.07,319.2,289.03,316.93,9090759.201277,0.16,,False,direction wrong; MFE only 0.2 ATR (<1.0),0.027747,0.119762,0.103561,1.005969,1.354605,0.063362,False,False,3,0.119762,0.027747
2026-03-19,SNDK,reversal,Large,CAUTION,3/5,False,0.091833,0.021424,1.39,707.15,776,692,772.09,21263629.758954,0.33,,False,direction wrong; MFE only 0.3 ATR (<1.0),-0.009387,0.139158,0.108898,0.964708,1.082064,0.065862,False,False,3,0.139158,-0.009387
2026-03-23,PL,reversal,Medium,GO,4/5,True,-0.01971,0.094783,0.24,34.5,34.84,31.23,33.82,29097241.296073,1.14,,True,direction OK; MFE 1.1 ATR,-0.001478,0.36316,0.181444,1.283699,2.173979,0.083152,True,True,4,0.36316,-0.001478
2026-03-24,PL,reversal,Medium,GO,4/5,True,-0.05577,0.077128,0.58,33.71,36.09,31.11,31.83,23141612.35655,0.8,,False,direction OK; MFE only 0.8 ATR (<1.0),0.011938,0.180638,0.10184,1.624667,1.594065,0.0963,False,True,4,0.180638,0.011938
2026-03-25,PL,reversal,Medium,CAUTION,3/5,False,0.091667,0.039198,0.98,32.4,37.05,31.13,35.37,24864585.821674,0.42,1.6,False,direction wrong; MFE only 0.4 ATR (<1.0); RVOL 1.6x (elevated),0.007351,0.045522,0.169718,1.797698,1.626718,0.092425,False,False,3,0.045522,0.007351
2026-03-26,AMD,reversal,Large,CAUTION,3/5,True,-0.065185,0.066745,1.68,217.979,221,203.43,203.77,49238667.460165,1.72,1.5,True,direction OK; MFE 1.7 ATR; RVOL 1.5x (elevated),-0.017115,0.094074,0.05439,1.167173,1.474065,0.038881,True,True,3,0.094074,-0.017115
2026-03-30,BE,bounce,Medium,GO,5/6,False,-0.103619,0.003263,0.93,133.325,133.76,116.505,119.51,13266155.518058,0.03,1.3,False,direction wrong; MFE only 0.0 ATR (<1.0); RVOL 1.3x (elevated),0.000638,-0.204433,,1.511802,,0.111913,False,False,5,-0.204433,0.000638
