signal_date,session,target_date,ticker,bucket,cap,recommendation,score,atr_pct,entry_open,d0_pct,d1_pct,d2_pct,d3_pct,mfe_atr_d0,mfe_atr_3d,mae_atr_3d,adverse_before_fav_atr,days_to_1atr,dir_correct_d0,dir_correct_final,tradeable_d0,tradeable_3d,days_available,complete,episode_id,episode_signal_num,pct_from_9ema,pct_change_3,gap_pct,prior_day_range_atr,prior_day_rvol,premarket_rvol,selloff_total_pct,pct_off_30d_high,pct_off_52wk_high
2026-03-18,evening,2026-03-19,LITE,reversal,Medium,CAUTION,3/5,0.105283,678.985,0.137183,0.040303,0.073588,0.18116,0.13,0.13,1.74,,,False,False,False,False,4,True,LITE_reversal_2026-03-19,1,0.096338,0.054326,0.084627,1.339855,1.571649,0.187718,,,
2026-03-18,evening,2026-03-19,MU,reversal,Large,GO,4/5,0.053251,424.97,0.045415,-0.004871,-0.048521,-0.069275,0.17,1.59,1.43,1.43,2,False,True,False,True,4,True,MU_reversal_2026-03-19,1,0.10337,0.138991,0.012476,0.677978,1.339435,0.098212,,,
2026-03-19,morning,2026-03-19,SNDK,reversal,Large,CAUTION,3/5,0.065862,707.15,0.091833,0.00362,-0.00659,-0.006604,0.33,0.61,1.51,,,False,True,False,False,4,True,SNDK_reversal_2026-03-19,1,0.061943,0.139158,-0.051334,0.964708,1.082064,0.0,,,
2026-03-19,morning,2026-03-19,WDC,reversal,Large,CAUTION,3/5,0.063362,292.07,0.085117,0.003527,0.009313,0.030746,0.16,0.64,1.47,,,False,False,False,False,4,True,WDC_reversal_2026-03-19,1,0.043234,0.119762,-0.028436,1.005969,1.354605,0.0,,,
2026-03-19,evening,2026-03-20,LITE,reversal,Medium,CAUTION,3/5,0.100823,785.49,-0.100752,-0.071981,0.021006,-0.010592,1.32,1.32,0.29,0.02,0,True,True,True,True,4,True,LITE_reversal_2026-03-19,2,0.144814,0.125799,0.06877,0.648654,1.633915,0.046053,,,
2026-03-19,evening,2026-03-20,PL,reversal,Medium,CAUTION,3/5,0.084015,33.55,0.008346,0.008048,-0.051267,0.054247,0.46,0.87,1.24,,,False,False,False,False,4,True,PL_reversal_2026-03-20,1,0.043287,0.000807,0.064087,1.040672,1.493658,0.058012,,,
2026-03-19,evening,2026-03-20,SNDK,reversal,Large,GO,4/5,0.065862,772.7,-0.081519,-0.090863,-0.090876,-0.122738,1.46,2.65,0.1,0.1,0,True,True,True,True,4,True,SNDK_reversal_2026-03-19,2,0.108898,0.139158,-0.009387,0.964708,1.082064,0.063022,,,
2026-03-20,morning,2026-03-20,WDC,reversal,Large,CAUTION,3/5,0.069325,309.515,-0.053035,-0.047574,-0.027349,-0.043213,0.85,1.37,0.35,0.35,1,True,True,False,True,4,True,WDC_reversal_2026-03-19,2,0.080645,0.107334,-0.009308,1.502384,0.987451,0.0,,,
2026-03-20,evening,2026-03-23,SNDK,reversal,Large,CAUTION,3/5,0.074474,716,-0.018869,-0.018883,-0.053268,-0.157584,0.7,2.14,0.61,0.61,2,True,True,False,True,4,True,SNDK_reversal_2026-03-19,3,0.02236,0.097295,-0.082296,1.651872,1.1267,0.038658,,,
2026-03-20,evening,2026-03-23,WDC,reversal,Large,CAUTION,3/5,0.069325,298.61,-0.012793,0.008171,-0.008272,-0.084592,0.75,1.25,0.88,0.88,3,True,True,False,True,4,True,WDC_reversal_2026-03-19,3,0.014786,0.107334,-0.069684,1.502384,0.987451,0.061674,,,
2026-03-24,morning,2026-03-24,PL,reversal,Medium,GO,4/5,0.0963,33.71,-0.05577,0.049244,-0.038861,-0.084545,0.8,0.98,1.03,,,True,True,False,False,4,True,PL_reversal_2026-03-20,2,0.176896,0.36316,-0.005322,1.283699,2.173979,0.000766,,,
2026-03-24,evening,2026-03-25,AXTI,reversal,Medium,CAUTION,3/5,0.109355,67.26,0.001338,-0.130092,-0.098573,-0.216027,0.37,2.44,0.58,0.49,1,False,True,False,True,4,True,AXTI_reversal_2026-03-25,1,0.2566,0.178172,0.016072,0.959345,1.252394,0.056442,,,
2026-03-25,morning,2026-03-25,PL,reversal,Medium,CAUTION,3/5,0.093501,32.4,0.091667,-0.0,-0.047531,-0.139198,0.42,1.7,1.53,1.53,3,False,True,False,True,4,True,PL_reversal_2026-03-20,3,0.120312,0.180638,0.028904,1.624667,1.594065,0.001695,,,
2026-03-26,morning,2026-03-26,AMD,reversal,Large,CAUTION,3/5,0.038881,217.979,-0.065185,-0.073351,-0.100647,-0.066745,1.72,2.96,0.36,0.36,0,True,True,True,True,4,True,AMD_reversal_2026-03-26,1,0.05439,0.094074,-0.017115,1.167173,1.474065,0.002884,,,
2026-03-25,evening,2026-03-26,AXTI,reversal,Medium,CAUTION,3/5,0.114222,65.18,-0.102332,-0.069807,-0.19101,-0.125805,0.96,2.13,0.85,0.85,2,True,True,False,True,4,True,AXTI_reversal_2026-03-25,2,0.163801,0.241704,-0.002227,0.828589,0.763892,0.063877,,,
2026-03-25,evening,2026-03-26,PL,reversal,Medium,CAUTION,3/5,0.092425,34.97,-0.073492,-0.117529,-0.202459,-0.200743,0.88,2.69,0.22,0.22,1,True,True,False,True,4,True,PL_reversal_2026-03-20,4,0.169718,0.045522,0.007351,1.797698,1.626718,0.029722,,,
2026-03-31,morning,2026-03-31,BE,bounce,Medium,CAUTION,4/6,0.116904,123.44,0.097618,0.072991,0.098752,0.093649,0.85,1.26,0.1,0.1,1,True,True,False,True,4,True,BE_bounce_2026-03-31,1,,-0.104928,,1.235041,,,-0.190421,-0.339358,-0.339358
2026-03-30,evening,2026-03-31,FIG,bounce,Medium,CAUTION,4/6,0.088661,20.31,0.040867,0.005416,0.047267,0.054653,0.64,0.77,0.34,,,True,True,False,False,4,True,FIG_bounce_2026-03-31,1,,-0.044097,0.000991,1.012636,,,-0.255814,-0.382589,-0.858942
2026-03-31,morning,2026-03-31,NBIS,bounce,Medium,CAUTION,4/6,0.109872,97.98,0.058992,0.040518,0.110635,0.148602,0.55,1.47,0.21,0.21,2,True,True,False,True,4,True,NBIS_bounce_2026-03-31,1,,-0.129376,,1.24176,,,-0.210576,-0.302646,-0.346137
2026-04-02,morning,2026-04-02,AXTI,bounce,Medium,CAUTION,4/6,0.198012,44.52,0.186882,-0.056828,0.021114,0.194519,0.96,1.47,0.55,0.55,3,True,True,False,True,4,True,AXTI_bounce_2026-04-02,1,,-0.106012,,1.454844,,,-0.272531,-0.340606,-0.340606
2026-04-01,evening,2026-04-02,SNDK,reversal,Medium,CAUTION,3/5,0.088163,642.09,0.092666,0.128549,0.10701,0.216185,0.02,0.02,2.93,,,False,False,False,False,4,True,SNDK_reversal_2026-04-02,1,0.064963,0.124872,0.004663,1.071586,1.185553,0.06723,,,
2026-04-02,morning,2026-04-02,WDC,reversal,Large,CAUTION,3/5,0.086803,278.17,0.060395,0.093396,0.121472,0.217888,0.01,0.01,2.89,,,False,False,False,False,4,True,WDC_reversal_2026-04-02,1,-4.7e-05,0.081318,-0.052833,0.998833,1.455889,0.004266,,,
2026-04-03,evening,2026-04-06,AMD,reversal,Large,CAUTION,3/5,0.047193,219.28,0.004104,0.010261,0.057187,0.079168,0.15,0.38,1.72,,,False,False,False,False,4,True,AMD_reversal_2026-04-06,1,0.050852,0.109467,0.0,1.67177,1.126969,0.0,,,
2026-04-02,evening,2026-04-06,LITE,reversal,Medium,CAUTION,3/5,0.097549,828.48,-0.067835,-0.015365,0.081523,0.079242,0.76,0.76,1.63,,,True,False,False,False,4,True,LITE_reversal_2026-04-06,1,0.121232,0.262817,0.000738,1.483202,1.052316,0.064957,,,
2026-04-03,evening,2026-04-06,PL,reversal,Medium,CAUTION,3/5,0.115289,35.92,-0.025056,-0.02088,0.017539,-0.047049,0.41,0.76,0.55,,,True,True,False,False,4,True,PL_reversal_2026-04-06,1,0.151493,0.286483,0.0,1.59553,1.440506,0.0,,,
2026-04-02,evening,2026-04-06,SNDK,reversal,Large,CAUTION,3/5,0.088913,720.34,0.005956,-0.013244,0.084071,0.182178,0.15,0.51,2.1,,,False,False,False,False,4,True,SNDK_reversal_2026-04-02,2,0.056969,0.225485,-0.000983,1.064039,0.91204,0.063158,,,
